"MEASUREMENTS","CELL_LINES","CONDITIONS","STIM_DAYS","Plate","Date","Dilution_Factor","IL2_concentration","IL2_concentration_DILUTION_FACTOR"
0.396,"3E10_GFP","STIM",1,1,2022-06-23,5,381.098915879052,1905.49457939526
0.918,"69","STIM",1,1,2022-06-23,5,883.456577719619,4417.2828885981
0.658,"590_L","STIM",1,1,2022-06-23,5,633.24011779903,3166.20058899515
0.135,"614_H","STIM",1,1,2022-06-23,5,129.920084958768,649.600424793838
0.229,"614_L","STIM",1,1,2022-06-23,5,220.382958930058,1101.91479465029
0.02,"T6BD_H","STIM",1,1,2022-06-23,5,19.2474199938915,96.2370999694575
0.012,"T6BD_L","STIM",1,1,2022-06-23,5,11.5484519963349,57.7422599816745
0.436,"3E10_GFP","STIM",1,1,2022-06-23,5,419.593755866834,2097.96877933417
0.875,"69","STIM",1,1,2022-06-23,5,842.074624732753,4210.37312366376
0.635,"590_L","STIM",1,1,2022-06-23,5,611.105584806055,3055.52792403027
0.134,"614_H","STIM",1,1,2022-06-23,5,128.957713959073,644.788569795365
0.224,"614_L","STIM",1,1,2022-06-23,5,215.571103931585,1077.85551965792
0.02,"T6BD_H","STIM",1,1,2022-06-23,5,19.2474199938915,96.2370999694575
0.011,"T6BD_L","STIM",1,1,2022-06-23,5,10.5860809966403,52.9304049832016
0.44,"3E10_GFP","STIM",1,1,2022-06-23,5,423.443239865613,2117.21619932806
0.902,"69","STIM",1,1,2022-06-23,5,868.058641724506,4340.29320862253
0.604,"590_L","STIM",1,1,2022-06-23,5,581.272083815523,2906.36041907761
0.134,"614_H","STIM",1,1,2022-06-23,5,128.957713959073,644.788569795365
0.235,"614_L","STIM",1,1,2022-06-23,5,226.157184928225,1130.78592464113
0.018,"T6BD_H","STIM",1,1,2022-06-23,5,17.3226779945023,86.6133899725117
0.006,"T6BD_L","STIM",1,1,2022-06-23,5,5.77422599816745,28.8711299908372
0.034,"3E10_GFP","UNSTIM",1,1,2022-06-23,5,32.7206139896155,163.603069948078
0.035,"69","UNSTIM",1,1,2022-06-23,5,33.6829849893101,168.414924946551
0.033,"590_L","UNSTIM",1,1,2022-06-23,5,31.758242989921,158.791214949605
0.09,"614_H","UNSTIM",1,1,2022-06-23,5,86.6133899725117,433.066949862558
0.1,"614_L","UNSTIM",1,1,2022-06-23,5,96.2370999694575,481.185499847287
0.015,"T6BD_H","UNSTIM",1,1,2022-06-23,5,14.4355649954186,72.1778249770931
0.054,"T6BD_L","UNSTIM",1,1,2022-06-23,5,51.968033983507,259.840169917535
0.043,"3E10_GFP","UNSTIM",1,1,2022-06-23,5,41.3819529868667,206.909764934334
0.042,"69","UNSTIM",1,1,2022-06-23,5,40.4195819871721,202.097909935861
0.033,"590_L","UNSTIM",1,1,2022-06-23,5,31.758242989921,158.791214949605
0.075,"614_H","UNSTIM",1,1,2022-06-23,5,72.1778249770931,360.889124885465
0.106,"614_L","UNSTIM",1,1,2022-06-23,5,102.011325967625,510.056629838124
0.016,"T6BD_H","UNSTIM",1,1,2022-06-23,5,15.3979359951132,76.989679975566
0.007,"T6BD_L","UNSTIM",1,1,2022-06-23,5,6.73659699786202,33.6829849893101
0.038,"3E10_GFP","UNSTIM",1,1,2022-06-23,5,36.5700979883938,182.850489941969
0.049,"69","UNSTIM",1,1,2022-06-23,5,47.1561789850342,235.780894925171
0.035,"590_L","UNSTIM",1,1,2022-06-23,5,33.6829849893101,168.414924946551
0.079,"614_H","UNSTIM",1,1,2022-06-23,5,76.0273089758714,380.136544879357
0.11,"614_L","UNSTIM",1,1,2022-06-23,5,105.860809966403,529.304049832016
0.016,"T6BD_H","UNSTIM",1,1,2022-06-23,5,15.3979359951132,76.989679975566
0.008,"T6BD_L","UNSTIM",1,1,2022-06-23,5,7.6989679975566,38.494839987783
0.362,"3E10_GFP","STIM",2,1,2022-06-23,5,348.378301889436,1741.89150944718
0.757,"69","STIM",2,1,2022-06-23,5,728.514846768793,3642.57423384396
0.38,"590_L","STIM",2,1,2022-06-23,5,365.700979883938,1828.50489941969
0.428,"614_H","STIM",2,1,2022-06-23,5,411.894787869278,2059.47393934639
0.284,"614_L","STIM",2,1,2022-06-23,5,273.313363913259,1366.5668195663
0.012,"T6BD_H","STIM",2,1,2022-06-23,5,11.5484519963349,57.7422599816745
0.009,"T6BD_L","STIM",2,1,2022-06-23,5,8.66133899725117,43.3066949862558
0.343,"3E10_GFP","STIM",2,1,2022-06-23,5,330.093252895239,1650.4662644762
0.806,"69","STIM",2,1,2022-06-23,5,775.671025753827,3878.35512876914
0.368,"590_L","STIM",2,1,2022-06-23,5,354.152527887603,1770.76263943802
0.406,"614_H","STIM",2,1,2022-06-23,5,390.722625875997,1953.61312937999
0.262,"614_L","STIM",2,1,2022-06-23,5,252.141201919979,1260.70600959989
0.009,"T6BD_H","STIM",2,1,2022-06-23,5,8.66133899725117,43.3066949862558
0.009,"T6BD_L","STIM",2,1,2022-06-23,5,8.66133899725117,43.3066949862558
0.334,"3E10_GFP","STIM",2,1,2022-06-23,5,321.431913897988,1607.15956948994
0.746,"69","STIM",2,1,2022-06-23,5,717.928765772153,3589.64382886076
0.352,"590_L","STIM",2,1,2022-06-23,5,338.75459189249,1693.77295946245
0.386,"614_H","STIM",2,1,2022-06-23,5,371.475205882106,1857.37602941053
0.228,"614_L","STIM",2,1,2022-06-23,5,219.420587930363,1097.10293965181
0.011,"T6BD_H","STIM",2,1,2022-06-23,5,10.5860809966403,52.9304049832016
0.007,"T6BD_L","STIM",2,1,2022-06-23,5,6.73659699786202,33.6829849893101
0.044,"3E10_GFP","UNSTIM",2,1,2022-06-23,5,42.3443239865613,211.721619932806
0.04,"69","UNSTIM",2,1,2022-06-23,5,38.494839987783,192.474199938915
0.015,"590_L","UNSTIM",2,1,2022-06-23,5,14.4355649954186,72.1778249770931
0.193,"614_H","UNSTIM",2,1,2022-06-23,5,185.737602941053,928.688014705264
0.089,"614_L","UNSTIM",2,1,2022-06-23,5,85.6510189728171,428.255094864086
0.01,"T6BD_H","UNSTIM",2,1,2022-06-23,5,9.62370999694575,48.1185499847287
0.01,"T6BD_L","UNSTIM",2,1,2022-06-23,5,9.62370999694575,48.1185499847287
0.029,"3E10_GFP","UNSTIM",2,1,2022-06-23,5,27.9087589911427,139.543794955713
0.044,"69","UNSTIM",2,1,2022-06-23,5,42.3443239865613,211.721619932806
0.015,"590_L","UNSTIM",2,1,2022-06-23,5,14.4355649954186,72.1778249770931
0.189,"614_H","UNSTIM",2,1,2022-06-23,5,181.888118942275,909.440594711373
0.096,"614_L","UNSTIM",2,1,2022-06-23,5,92.3876159706791,461.938079853396
0.007,"T6BD_H","UNSTIM",2,1,2022-06-23,5,6.73659699786202,33.6829849893101
0.005,"T6BD_L","UNSTIM",2,1,2022-06-23,5,4.81185499847287,24.0592749923644
0.026,"3E10_GFP","UNSTIM",2,1,2022-06-23,5,25.0216459920589,125.108229960295
0.041,"69","UNSTIM",2,1,2022-06-23,5,39.4572109874776,197.286054937388
0.015,"590_L","UNSTIM",2,1,2022-06-23,5,14.4355649954186,72.1778249770931
0.203,"614_H","UNSTIM",2,1,2022-06-23,5,195.361312937999,976.806564689993
0.099,"614_L","UNSTIM",2,1,2022-06-23,5,95.2747289697629,476.373644848814
0.011,"T6BD_H","UNSTIM",2,1,2022-06-23,5,10.5860809966403,52.9304049832016
0.006,"T6BD_L","UNSTIM",2,1,2022-06-23,5,5.77422599816745,28.8711299908372
0.516,"3E10_GFP","STIM",1,1,2022-07-01,5,402.658689753198,2013.29344876599
0.759,"69","STIM",1,1,2022-07-01,5,592.282840160227,2961.41420080114
0.013,"591_L","STIM",1,1,2022-07-01,5,10.1445018736271,50.7225093681354
-0.001,"631_H","STIM",1,1,2022-07-01,5,-0.780346297971314,-3.90173148985657
0.015,"632_H","STIM",1,1,2022-07-01,5,11.7051944695697,58.5259723478486
0.581,"3E10_GFP","STIM",3,1,2022-07-01,5,453.381199121333,2266.90599560667
0.556,"3E10_GFP","STIM",3,1,2022-07-01,5,433.872541672051,2169.36270836025
0.622,"3E10_GFP","STIM",3,1,2022-07-01,5,485.375397338157,2426.87698669079
0.461,"3E10_GFP","STIM",1,1,2022-07-01,5,359.739643364776,1798.69821682388
0.702,"69","STIM",1,1,2022-07-01,5,547.803101175862,2739.01550587931
0.01,"591_L","STIM",1,1,2022-07-01,5,7.80346297971314,39.0173148985657
0.003,"631_H","STIM",1,1,2022-07-01,5,2.34103889391394,11.7051944695697
0.016,"632_H","STIM",1,1,2022-07-01,5,12.485540767541,62.4277038377051
0.039,"3E10_GFP","UNSTIM",3,1,2022-07-01,5,30.4335056208813,152.167528104406
0.028,"3E10_GFP","UNSTIM",3,1,2022-07-01,5,21.8496963431968,109.248481715984
0.026,"3E10_GFP","UNSTIM",3,1,2022-07-01,5,20.2890037472542,101.445018736271
0.47,"3E10_GFP","STIM",1,1,2022-07-01,5,366.762760046518,1833.81380023259
0.637,"69","STIM",1,1,2022-07-01,5,497.080591807727,2485.40295903864
0.01,"591_L","STIM",1,1,2022-07-01,5,7.80346297971314,39.0173148985657
0.006,"631_H","STIM",1,1,2022-07-01,5,4.68207778782789,23.4103889391394
0.015,"632_H","STIM",1,1,2022-07-01,5,11.7051944695697,58.5259723478486
0.803,"69","STIM",3,1,2022-07-01,5,626.618077270965,3133.09038635483
0.824,"69","STIM",3,1,2022-07-01,5,643.005349528363,3215.02674764181
0.829,"69","STIM",3,1,2022-07-01,5,646.907081018219,3234.5354050911
0.032,"3E10_GFP","UNSTIM",1,1,2022-07-01,5,24.9710815350821,124.85540767541
0.02,"69","UNSTIM",1,1,2022-07-01,5,15.6069259594263,78.0346297971314
