Significant,-LOG(P-value),Difference,Protein.IDs,Majority.protein.IDs,T:.Protein.names,Gene.names,Symbol.color,Symbol.type,Symbol.size,Show.label,C:.Only.identified.by.site,C:.Reverse,C:.Potential.contami1000t,N:.Peptides,N:.Mol..weight.[kDa],Valid.values,N:.Valid.values.60.min,N:.Valid.values.unstim,60.min.FG199.neu,60.min.FG200.neu,60.min.FG201.neu,60.min.FG202.neu,unstim.FG196.neu,unstim.FG197.neu,unstim.FG198.neu,ORIGIN,PULLED_PROTEIN,KO
TRUE,1.87693462800573,-4.49759197235107,A2A4P0,A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,Color2 [DarkGray],1,4,NA,NA,NA,NA,24,142.57,8,4,4,12.2246999740601,11.516900062561,10.871000289917,13.0781002044678,16.7247009277344,18.44580078125,14.0902996063232,60,IRAK1,NONE
FALSE,0.0829969594232894,-0.283213297526043,A2A690,A2A690,Protein TANC2,Tanc2,Color2 [DarkGray],1,4,NA,NA,NA,NA,3,220.26,6,3,3,9.45048046112061,NA,12.7795000076294,9.8674201965332,11.4011001586914,11.7483997344971,9.79754066467285,60,IRAK1,NONE
TRUE,1.81016663748846,-4.3481117884318,A2A6A1,A2A6A1,G patch domain-containing protein 8,Gpatch8,Color2 [DarkGray],1,4,NA,NA,NA,NA,6,164.99,8,4,4,10.0271406173706,8.31938076019287,8.29615020751953,9.91168022155762,15.1829996109009,14.2807998657227,10.9962997436523,60,IRAK1,NONE
FALSE,0,NA,A2AL36,A2AL36,Centriolin,Cntrl,Color2 [DarkGray],1,4,NA,NA,NA,NA,1,268.88,2,0,2,NA,NA,NA,NA,6.16276979446411,8.01959991455078,NA,60,IRAK1,NONE
TRUE,0.98004230187865,-2.79255004723867,A2APB8,A2APB8,Targeting protein for Xklp2,Tpx2,Color2 [DarkGray],1,4,NA,NA,NA,NA,8,85.893,8,4,4,11.3325996398926,11.9378995895386,7.94150018692017,10.8358001708984,13.9704999923706,14.8399000167847,11.103099822998,60,IRAK1,NONE
FALSE,0.933680813880918,-1.92855008443197,A2AR02,A2AR02,Peptidyl-prolyl cis-trans isomerase G,Ppig,Color2 [DarkGray],1,4,NA,NA,NA,NA,4,88.324,6,2,4,NA,NA,11.8418998718262,11.6602001190186,13.1153001785278,15.0348997116089,12.8886003494263,60,IRAK1,NONE
FALSE,0.24647116229704,-0.489779810110728,A2ASS6,A2ASS6,Titin,Ttn,Color2 [DarkGray],1,4,NA,NA,NA,NA,4,3906.4,8,4,4,5.1980996131897,3.9783399105072,6.26598978042603,5.73008966445923,7.08703947067261,4.96835947036743,5.29332971572876,60,IRAK1,NONE
FALSE,0.416299953300519,-0.847433646519979,A2AT37,A2AT37,NA,Upf2,Color2 [DarkGray],1,4,NA,NA,NA,NA,9,147.55,8,4,4,10.9959001541138,12.6065998077393,11.2433996200562,11.8508996963501,12.4128999710083,14.1862001419067,10.9658002853394,60,IRAK1,NONE
FALSE,0.534595760094599,3.17399978637695,A6PWY4,A6PWY4,WD repeat-containing protein 76,Wdr76,Color2 [DarkGray],1,4,NA,NA,NA,NA,2,69.007,4,2,2,12.7643003463745,NA,NA,15.0600996017456,12.6603002548218,8.81610012054443,NA,60,IRAK1,NONE
FALSE,0.269490835253135,0.324912389119467,B1ARD6,B1ARD6,NA,Slfn9,Color2 [DarkGray],1,4,NA,NA,NA,NA,2,103.99,8,4,4,11.2519998550415,10.7414999008179,9.58697032928467,11.0085000991821,10.3966999053955,10.7496004104614,9.8206901550293,60,IRAK1,NONE
TRUE,1.60849301178375,-2.86388341585795,B1AZI6,B1AZI6,THO complex subunit 2,Thoc2,Color2 [DarkGray],1,4,NA,NA,NA,NA,20,182.77,8,4,4,12.182900428772,11.6346998214722,11.6105003356934,12.7020998001099,15.1793994903564,16.4927005767822,13.0172004699707,60,IRAK1,NONE
FALSE,1.92947717401075,-0.947699387868244,B2RQC6,B2RQC6,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,Cad,Color2 [DarkGray],1,4,NA,NA,NA,NA,55,243.24,8,4,4,17.9270992279053,18.1364002227783,17.4757995605469,18.00950050354,18.8148994445801,19.2092990875244,18.4804992675781,60,IRAK1,NONE
FALSE,2.22046981718961,-1.12090706825256,B2RXR6,B2RXR6,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,Ankrd44,Color2 [DarkGray],1,4,NA,NA,NA,NA,1,107.38,7,4,3,10.2150506973267,9.78608989715576,9.92886066436768,9.79257011413574,11.2925996780396,10.8105001449585,NA,60,IRAK1,NONE
TRUE,1.86211961969907,-2.58831683794658,B2RY56,B2RY56,RNA-binding protein 25,Rbm25,Color2 [DarkGray],1,4,NA,NA,NA,NA,11,99.551,8,4,4,13.2568998336792,13.0812997817993,13.1194000244141,14.2181997299194,16.377799987793,17.0627002716064,14.5812997817993,60,IRAK1,NONE
