Significant,-LOG(P-value),Difference,Protein.IDs,Majority.protein.IDs,Protein.names,Gene.names,Symbol.color,Symbol.type,Symbol.size,Show.label,Potential.contami1000t,Peptides,Valid.values,Valid.values.60.min,Valid.values.unstim,60.min.FG207.neu,60.min.FG208.neu,60.min.FG209.neu,60.min.FG210.neu,unstim.FG38.neu,unstim.FG39.neu,unstim.FG40.neu,ORIGIN,PULLED_PROTEIN,KO
TRUE,3.41271116270576,-6.05313364664713,A2A7Y5,A2A7Y5,Migration and invasion-inhibitory protein,Miip,Color2 [DarkGray],1,4,NA,NA,1,6,3,3,13.6149263381958,13.7688264846802,NA,15.1563262939453,20.4249267578125,20.535026550293,19.7395267486572,60,IRAK4,NONE
TRUE,2.58192699646947,-1.90786647796631,A2ADY9,A2ADY9,Protein DDI1 homolog 2,Ddi2,Color2 [DarkGray],1,4,NA,NA,2,6,3,3,12.5299263000488,12.2403268814087,NA,12.9055261611938,14.8591260910034,14.4051265716553,14.1351261138916,60,IRAK4,NONE
TRUE,3.99092733858076,-3.63860861460368,A2AGT5,A2AGT5,Cytoskeleton-associated protein 5,Ckap5,Color2 [DarkGray],1,4,NA,NA,37,7,4,3,13.6594257354736,12.9334259033203,12.6020259857178,12.6745262145996,16.6943264007568,16.8820266723633,16.2415256500244,60,IRAK4,NONE
TRUE,1.78048462760025,-3.66269175211589,A2AHG0,A2AHG0,Leucine zipper putative tumor suppressor 3,Lzts3,Color2 [DarkGray],1,4,NA,NA,15,7,4,3,14.728325843811,11.1306266784668,11.3144264221191,13.3498258590698,16.2876262664795,16.670726776123,15.9221258163452,60,IRAK4,NONE
TRUE,3.71127374340684,-6.03726609547933,A2AI08,A2AI08,Taperin,Tprn,Color2 [DarkGray],1,4,NA,NA,16,6,3,3,11.8095264434814,12.2627267837524,NA,12.3037261962891,18.3649253845215,18.7884254455566,17.3344268798828,60,IRAK4,NONE
TRUE,1.17168026921529,-2.16460641225179,A2AKG8,A2AKG8,Focadhesin,Focad,Color2 [DarkGray],1,4,NA,NA,12,6,3,3,12.6568260192871,12.6448259353638,10.3286066055298,NA,13.9307260513306,14.7726259231567,13.4207258224487,60,IRAK4,NONE
TRUE,3.31157453756686,-4.17244942982991,A2AL36,A2AL36,Centriolin,Cntrl,Color2 [DarkGray],1,4,NA,NA,46,7,4,3,12.8947257995605,11.2747268676758,12.3117265701294,12.1231260299683,16.2147254943848,17.0694255828857,15.6864261627197,60,IRAK4,NONE
TRUE,2.27028473781316,3.32361348470052,A2AWL7,A2AWL7,MAX gene-associated protein,Mga,Color2 [DarkGray],1,4,NA,NA,3,6,3,3,11.742226600647,12.4514265060425,12.8057260513306,NA,10.042426109314,8.4125862121582,8.57352638244629,60,IRAK4,NONE
TRUE,3.11644929348188,-4.17974948883057,A2BE28,A2BE28,Ribosomal biogenesis protein LAS1L,Las1l,Color2 [DarkGray],1,4,NA,NA,7,6,3,3,10.2908563613892,11.3391265869141,10.5800466537476,NA,15.2135257720947,15.273325920105,14.2624263763428,60,IRAK4,NONE
TRUE,3.36554617425216,-4.63752476374308,A2RSY6,A2RSY6,TRMT1-like protein,Trmt1l,Color2 [DarkGray],1,4,NA,NA,15,7,4,3,13.3508262634277,12.5080261230469,11.2398262023926,12.6701259613037,17.4544258117676,17.1941261291504,16.5906257629395,60,IRAK4,NONE
TRUE,2.0652057715955,-4.48929850260417,B1AQJ2,B1AQJ2,Ubiquitin carboxyl-terminal hydrolase 36,Usp36,Color2 [DarkGray],1,4,NA,NA,4,5,2,3,12.2537260055542,NA,NA,10.6803960800171,15.8992261886597,16.5632266998291,15.4066257476807,60,IRAK4,NONE
TRUE,3.38927739769787,-5.54075654347738,B1AY13,B1AY13,Ubiquitin carboxyl-terminal hydrolase 24,Usp24,Color2 [DarkGray],1,4,NA,NA,3,6,3,3,9.54601669311523,9.87401676177979,NA,9.63887596130371,15.3338260650635,16.0361270904541,14.3112258911133,60,IRAK4,NONE
TRUE,3.3622749150374,-3.14932521184285,B2RQC6;Q8C196,B2RQC6,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,Cad,Color2 [DarkGray],1,4,NA,NA,108,7,4,3,20.4780254364014,20.9150257110596,20.7504253387451,20.3089256286621,23.8919258117676,24.4092254638672,22.9861259460449,60,IRAK4,NONE
TRUE,1.01846087523735,-4.82098642985026,B2RR83,B2RR83,Probable ATP-dependent RNA helicase YTHDC2,Ythdc2,Color2 [DarkGray],1,4,NA,NA,14,5,2,3,NA,13.6878261566162,8.45898628234863,NA,16.0454254150391,16.4578266143799,15.1799259185791,60,IRAK4,NONE
TRUE,3.72193749701666,-5.23734903335571,B2RRE7,B2RRE7,OTU domain-containing protein 4,Otud4,Color2 [DarkGray],1,4,NA,NA,12,7,4,3,10.2056560516357,11.6348266601563,11.1611261367798,10.3113660812378,16.3429260253906,16.6066265106201,15.2472257614136,60,IRAK4,NONE
TRUE,2.9254011248211,-5.21968825658162,B2RXR6,B2RXR6,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,Ankrd44,Color2 [DarkGray],1,4,NA,NA,21,7,4,3,11.0993366241455,13.1345262527466,12.4382266998291,12.6299257278442,18.3922252655029,18.1207256317139,16.1226253509521,60,IRAK4,NONE
