Significant,-LOG(P-value),Difference,Protein.IDs,Majority.protein.IDs,Protein.names,Gene.names,Potential.contaminant,Peptides,Valid.values,Valid.values.60.min,Valid.values.unstim,60.min.stim.FG159.neu,60.min.stim.FG160.neu,60.min.stim.FG161.neu,60.min.stim.FG162.neu,unstim.FG10.neu,unstim.FG11.neu,unstim.FG12.neu,unstim.FG9.neu,ORIGIN,PULLED_PROTEIN,KO
TRUE,2.70612188184365,-1.82572484016418,A2A4P0,A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,NA,36,8,4,4,15.1202001571655,15.9261999130249,15.6526002883911,16.6184005737305,17.773099899292,17.1849994659424,17.7968006134033,17.8654003143311,60,MYD88,NONE
TRUE,1.44372294996528,-1.34940028190613,A2A6Q5,A2A6Q5,Cell division cycle protein 27 homolog,Cdc27,NA,11,8,4,4,12.9811000823975,14.9252996444702,14.8544998168945,14.2578001022339,16.1798000335693,15.1500005722046,15.6856002807617,15.400899887085,60,MYD88,NONE
TRUE,3.18524815719765,-1.43874979019165,A2ADA5,A2ADA5,tRNA pseudouridine synthase-like 1,Pusl1,NA,8,8,4,4,15.805700302124,16.8227005004883,16.5258007049561,16.1961994171143,17.7789001464844,17.6637001037598,17.869800567627,17.7929992675781,60,MYD88,NONE
TRUE,2.16061326214533,-2.66657495498657,A2AG58,A2AG58,Uncharacterized protein CXorf23 homolog,NA,NA,10,8,4,4,14.5897998809814,13.5206003189087,11.5998001098633,12.5065002441406,16.1686992645264,15.5592002868652,15.6259002685547,15.529200553894,60,MYD88,NONE
TRUE,4.15553615076171,-2.29782438278198,A2AHG0,A2AHG0,Leucine zipper putative tumor suppressor 3,Lzts3,NA,10,8,4,4,14.0374002456665,14.7221002578735,13.6363000869751,13.8431997299194,16.2780990600586,16.4057006835938,16.3391990661621,16.407299041748,60,MYD88,NONE
TRUE,4.58048238533481,-2.59077525138855,A2AI08,A2AI08,Taperin,Tprn,NA,20,8,4,4,15.7455997467041,16.6642990112305,15.8970003128052,16.4438991546631,18.788200378418,18.8561992645264,18.854700088501,18.6147994995117,60,MYD88,NONE
TRUE,2.75475060673489,-1.86014986038208,A2AIV2,A2AIV2,Protein virilizer homolog,Kiaa1429,NA,25,8,4,4,13.9928998947144,14.1628999710083,14.1732997894287,14.657600402832,15.5418996810913,15.6773996353149,16.9293994903564,16.278600692749,60,MYD88,NONE
TRUE,2.4230497484371,-1.59707522392273,A2AJI0,A2AJI0,MAP7 domain-containing protein 1,Map7d1,NA,16,8,4,4,15.6223001480103,16.8817005157471,15.699800491333,16.6308002471924,17.5900001525879,17.5650005340576,18.1270008087158,17.9409008026123,60,MYD88,NONE
TRUE,2.16455693475898,-1.52305006980896,A2AKX3,A2AKX3,Probable helicase senataxin,Setx,NA,17,8,4,4,13.6457004547119,12.6401996612549,12.7534999847412,11.9837999343872,14.181300163269,13.9029998779297,14.3636999130249,14.6674003601074,60,MYD88,NONE
TRUE,2.3805662139758,-2.8713526725769,A2AL36,A2AL36,Centriolin,Cntrl,NA,9,8,4,4,10.5454998016357,9.88757991790771,11.953800201416,9.20380973815918,12.6464996337891,13.7883996963501,13.07200050354,13.5692005157471,60,MYD88,NONE
TRUE,1.36457017716154,-1.74910004933675,A2AWL7,A2AWL7,MAX gene-associated protein,Mga,NA,3,5,2,3,7.60472011566162,8.24030017852783,NA,NA,NA,9.85924053192139,8.98151016235352,10.1740798950195,60,MYD88,NONE
TRUE,4.18691262532232,-3.18179988861084,A2BE28,A2BE28,Ribosomal biogenesis protein LAS1L,Las1l,NA,23,8,4,4,14.0088005065918,13.4535999298096,13.9860000610352,14.1802997589111,16.4564990997314,16.8145008087158,17.7446002960205,17.3402996063232,60,MYD88,NONE
TRUE,4.04264200048694,-1.86945009231567,A2RSY6,A2RSY6,TRMT1-like protein,Trmt1l,NA,23,8,4,4,16.590799331665,16.3115005493164,16.935998916626,16.7535991668701,18.8122005462646,18.0921993255615,18.5366992950439,18.6285991668701,60,MYD88,NONE
TRUE,1.23933664364261,-1.96185278892517,A3KFM7,A3KFM7,Chromodomain-helicase-DNA-binding protein 6,Chd6,NA,14,8,4,4,7.83068943023682,11.1786003112793,9.79850006103516,11.1329002380371,12.0074005126953,11.120400428772,12.2382001876831,12.4221000671387,60,MYD88,NONE
TRUE,1.821661877444,-2.53168320655823,A6H619,A6H619,PHD and RING finger domain-containing protein 1,Phrf1,NA,8,7,3,4,12.2244005203247,12.2115001678467,NA,14.6489000320435,15.3517999649048,15.2902002334595,15.7695999145508,15.828200340271,60,MYD88,NONE
TRUE,3.7094947991258,-3.95861482620239,A6H8H2,A6H8H2,DENN domain-containing protein 4C,Dennd4c,NA,4,8,4,4,9.49919986724854,10.109769821167,11.5655002593994,10.0484704971313,14.256799697876,13.9282999038696,13.9998998641968,14.8724002838135,60,MYD88,NONE
TRUE,2.73261975046218,-2.63917517662048,A6PWY4,A6PWY4,WD repeat-containing protein 76,Wdr76,NA,8,8,4,4,12.9679002761841,14.0113000869751,13.2659997940063,14.7300996780396,15.7890005111694,15.9342002868652,16.9948997497559,16.8138999938965,60,MYD88,NONE
TRUE,6.33146412292251,-2.41567468643188,B1AY10,B1AY10,Transcriptional repressor NF-X1,Nfx1,NA,31,8,4,4,14.4716997146606,14.6563005447388,14.4902000427246,14.7824001312256,16.9979991912842,16.828800201416,17.0361995697021,17.2003002166748,60,MYD88,NONE
TRUE,1.07094790500964,1.58732962608337,B1AY13,B1AY13,Ubiquitin carboxyl-terminal hydrolase 24,Usp24,NA,6,6,4,2,9.99900054931641,12.0901002883911,11.5338001251221,11.631799697876,NA,NA,9.49441051483154,9.95828056335449,60,MYD88,NONE
TRUE,0.90842086494447,-2.03550855318705,B2RQC2,B2RQC2,Ubiquitin carboxyl-terminal hydrolase 42,Usp42,NA,8,7,4,3,9.87460041046143,13.9133996963501,10.1021003723145,11.4807996749878,13.5395002365112,13.369800567627,13.2253999710083,NA,60,MYD88,NONE
TRUE,4.13335172132179,-1.36149978637695,B2RR83,B2RR83,Probable ATP-dependent RNA helicase YTHDC2,Ythdc2,NA,52,8,4,4,17.4200000762939,17.5637989044189,17.8106002807617,17.9727993011475,19.0149993896484,18.9286994934082,19.2537994384766,19.0156993865967,60,MYD88,NONE
TRUE,2.32088338457375,-2.33447027206421,B2RRD7,B2RRD7,NA,Brpf1,NA,6,6,2,4,8.47686004638672,9.34980010986328,NA,NA,11.5073003768921,10.7550001144409,11.6695003509521,11.0594005584717,60,MYD88,NONE
TRUE,3.82580014343989,-2.32477426528931,B2RRE7,B2RRE7,OTU domain-containing protein 4,Otud4,NA,33,8,4,4,16.6520004272461,17.0932006835938,16.3624000549316,16.463399887085,19.2458992004395,18.3059997558594,19.2071990966797,19.1110000610352,60,MYD88,NONE
TRUE,5.03412448698548,2.78325009346008,B2RXR6,B2RXR6,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,Ankrd44,NA,15,8,4,4,15.5928001403809,15.6240005493164,15.145299911499,15.9170999526978,12.953200340271,13.0341997146606,12.4980001449585,12.6607999801636,60,MYD88,NONE
TRUE,2.99683861804628,2.5251247882843,B9EJ86;Q9ER64,B9EJ86,Oxysterol-binding protein,Osbpl8,NA,24,8,4,4,17.7290992736816,18.8358993530273,17.818000793457,18.7105007171631,15.1141004562378,15.6891002655029,15.5930004119873,16.5967998504639,60,MYD88,NONE
TRUE,2.51498149857439,-1.85677528381348,C0HKD9;C0HKD8,C0HKD9;C0HKD8,NA,NA,NA,6,8,4,4,14.9288997650146,16.1238994598389,14.5207996368408,15.6905002593994,17.4872989654541,16.8178997039795,17.1298007965088,17.2562007904053,60,MYD88,NONE
TRUE,1.05550608128719,-1.80571643511454,C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8CGP5;Q8BFU2;Q8R1M2,C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8CGP5;Q8BFU2;Q8R1M2,Histone H2A type 1-H;Histone H2A type 1-F;Histone H2A type 3;Histone H2A.J,Hist1h2ah;Hist1h2af;Hist3h2a;H2afj,NA,8,7,4,3,10.8712997436523,12.3393001556396,11.0321998596191,13.2286005020142,NA,12.4759998321533,14.6773996353149,13.8673000335693,60,MYD88,NONE
TRUE,3.08899533935339,1.92419981956482,CON__P01966,CON__P01966,NA,NA,+,4,8,4,4,17.0687999725342,17.3407001495361,16.7420997619629,17.4554004669189,14.9397001266479,15.3564004898071,14.6976003646851,15.9165000915527,60,MYD88,NONE
TRUE,2.16688896072698,-4.90245008468628,CON__P08727,CON__P08727,NA,NA,+,16,4,2,2,11.4188003540039,11.9625997543335,NA,NA,NA,NA,16.8955001831055,16.2908000946045,60,MYD88,NONE
TRUE,1.34672836112102,-1.89612531661987,CON__P08779,CON__P08779,NA,NA,+,51,8,4,4,20.112699508667,22.4986991882324,19.8978996276855,22.1658992767334,23.6182994842529,22.1940002441406,23.5069999694824,22.9403991699219,60,MYD88,NONE
TRUE,1.43046887057387,2.57292437553406,CON__P12763,CON__P12763,NA,NA,+,7,6,4,2,16.1931991577148,17.7950000762939,15.3993997573853,16.113899230957,13.2259998321533,14.3789005279541,NA,NA,60,MYD88,NONE
TRUE,2.13451775365074,-4.51987433433533,CON__P13646-1,CON__P13646-1,NA,NA,+,23,8,4,4,13.5130004882813,14.6422004699707,12.9666004180908,14.0299997329712,17.5161991119385,15.62619972229,20.306999206543,19.7819004058838,60,MYD88,NONE
