Significant,-LOG(P-value),Difference,Protein.IDs,ORIGIN,PULLED_PROTEIN,KO,SIGNIF_CLASS
TRUE,2.00752012853382,-2.74502515792847,A2A3V1,15,MYD88,NONE,NA
TRUE,2.01666919597798,-1.49134151140849,A2A4P0,15,MYD88,NONE,NA
TRUE,1.40806628429786,-1.25725841522217,A2A5Z6;Q9CUN6,15,MYD88,NONE,NA
TRUE,2.19742514711467,-1.82934180895487,A2A6A1,15,MYD88,NONE,NA
FALSE,0.888391785167405,-0.839558045069376,A2A6Q5,15,MYD88,NONE,NA
TRUE,2.42979879679363,-2.01122506459554,A2A791,15,MYD88,NONE,NA
FALSE,0.930052678483406,-0.759466568628946,A2A7S8,15,MYD88,NONE,NA
TRUE,0.610927593482863,-1.84324971834818,A2A8L1,15,MYD88,NONE,NA
FALSE,0.844809960534319,-0.998525063196817,A2A8U2,15,MYD88,NONE,NA
FALSE,0.494530355096007,-0.925562858581544,A2A9C3,15,MYD88,NONE,NA
FALSE,0.764534507295349,-1.00334183375041,A2AAE1,15,MYD88,NONE,NA
TRUE,1.74172244750206,-1.47406689325968,A2AB59,15,MYD88,NONE,NA
FALSE,0.992646621516441,-0.593474388122559,A2ADA5,15,MYD88,NONE,NA
TRUE,2.07851982523921,-2.31053368250529,A2AG58,15,MYD88,NONE,NA
FALSE,1.01288274996048,-0.353666543960571,A2AGT5,15,MYD88,NONE,NA
TRUE,2.80073546582307,2.25409126281738,A2AHG0,15,MYD88,NONE,SIGNIFICANT
TRUE,3.51262692486176,1.31507460276286,A2AI08,15,MYD88,NONE,SIGNIFICANT
TRUE,2.82656384684126,-1.46064170201619,A2AIV2,15,MYD88,NONE,NA
TRUE,1.44305761046618,-1.66461634635925,A2AJI0,15,MYD88,NONE,NA
FALSE,0.0222384802431241,-0.0280165672302246,A2AKG8,15,MYD88,NONE,NA
TRUE,1.29638235632786,-1.54258330663045,A2AKX3,15,MYD88,NONE,NA
TRUE,3.71441852175228,2.93429986635844,A2AL36,15,MYD88,NONE,SIGNIFICANT
FALSE,0.57083156642081,-1.08446661631266,A2ALW5,15,MYD88,NONE,NA
FALSE,0.8412976779638,-1.03491671880086,A2AN08,15,MYD88,NONE,NA
TRUE,1.83894431881521,-1.39610004425049,A2APB8,15,MYD88,NONE,NA
FALSE,0.549851697970262,-1.26012500127157,A2AQ19,15,MYD88,NONE,NA
TRUE,2.22670356618324,-1.33181699117025,A2AR02,15,MYD88,NONE,NA
