Significant,-LOG(P-value),Difference,Protein.IDs,Majority.protein.IDs,T:.Protein.names,Gene.names,Symbol.color,Symbol.type,Symbol.size,Show.label,C:.Only.identified.by.site,C:.Reverse,C:.Potential.contami1000t,N:.Peptides,N:.Mol..weight.[kDa],Valid.values,N:.Valid.values.15.min,N:.Valid.values.30.min,N:.Valid.values.60.min,N:.Valid.values.unstim,15.min.FG.167.neu,15.min.FG.168.neu,15.min.FG.169.neu,15.min.FG.170.neu,30.min.FG171.neu,30.min.FG172.neu,30.min.FG173.neu,30.min.FG174.neu,60.min.FG175.neu,60.min.FG176.neu,60.min.FG177.neu,60.min.FG178.neu,unstim.FG163.neu,unstim.FG164.neu,unstim.FG165.neu,unstim.FG166.neu,ORIGIN,PULLED_PROTEIN,KO
FALSE,0.554983975850142,-0.727177143096924,A2A3V1,A2A3V1,A-kinase anchor protein 17B,Akap17b,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,2,111.06,13,4,2,3,4,9.9228687286377,10.5351686477661,10.2843685150146,11.1341686248779,9.46763896942139,10.0182189941406,NA,NA,NA,10.5760688781738,9.41853904724121,10.4815683364868,10.0550689697266,11.5096683502197,10.4726686477661,9.84301853179932,30,MYD88,IRAK1
FALSE,0.83182912887205,-0.337999820709229,A2A4P0,A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,31,142.57,16,4,4,4,4,16.7202682495117,17.6961688995361,17.4917678833008,17.4916687011719,17.2799682617188,16.8700695037842,16.4308681488037,16.7868690490723,16.9716682434082,16.0789680480957,16.174768447876,16.5619678497314,16.9283676147461,17.4378681182861,17.1548690795898,17.1986694335938,30,MYD88,IRAK1
FALSE,0.520521369642032,0.835625171661377,A2A5Z6,A2A5Z6,E3 ubiquitin-protein ligase SMURF2,Smurf2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,2,86.174,15,4,4,3,4,11.8540687561035,10.0418691635132,12.5199689865112,11.8235683441162,11.4650688171387,11.2048692703247,12.9889688491821,13.7512683868408,12.8651685714722,NA,11.4679689407349,11.2808685302734,10.4073686599731,11.6554689407349,11.5695686340332,12.4352684020996,30,MYD88,IRAK1
FALSE,1.19026526042988,0.76289963722229,A2A6A1,A2A6A1,G patch domain-containing protein 8,Gpatch8,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,7,164.99,16,4,4,4,4,14.2879686355591,15.1327686309814,15.1967687606812,13.7906684875488,14.6874685287476,14.5107688903809,14.9302682876587,15.1309680938721,14.1893692016602,13.9062690734863,14.3647689819336,13.8896684646606,13.161768913269,14.2250690460205,14.2293691635132,14.5916681289673,30,MYD88,IRAK1
FALSE,0.141578802692879,-0.19397497177124,A2A6Q5,A2A6Q5,Cell division cycle protein 27 homolog,Cdc27,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,7,91.841,16,4,4,4,4,13.7412691116333,14.8570690155029,14.0737686157227,15.3219690322876,14.7680683135986,13.7860689163208,13.8428688049316,13.8428688049316,14.710768699646,14.0393686294556,12.809268951416,14.8609685897827,13.4775686264038,15.5236682891846,14.349268913269,13.6652688980103,30,MYD88,IRAK1
FALSE,0.838394092306775,1.04274964332581,A2A7S8,A2A7S8,Uncharacterized protein KIAA1522,Kiaa1522,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,1,104.84,8,0,2,2,4,NA,NA,NA,NA,12.401668548584,NA,NA,11.1474685668945,10.8905687332153,NA,10.9366683959961,NA,10.0641689300537,10.4589691162109,11.085168838501,11.3189687728882,30,MYD88,IRAK1
FALSE,0.086062977563025,0.248790264129639,A2A8L1,A2A8L1,Chromodomain-helicase-DNA-binding protein 5,Chd5,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,14,222.51,12,3,2,3,4,11.3613691329956,11.4734687805176,11.5121688842773,NA,10.3303489685059,13.1006689071655,NA,NA,NA,10.7847690582275,10.3722686767578,11.7318687438965,11.0203685760498,10.6572685241699,12.3473691940308,11.8418684005737,30,MYD88,IRAK1
FALSE,0.335206280082706,1.2334000269572,A2ABV5,A2ABV5,Mediator of RNA polymerase II transcription subunit 14,Med14,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,3,160.96,12,4,3,2,3,12.7589683532715,14.078369140625,13.6508684158325,9.06090927124023,13.4860687255859,13.2956686019897,11.0993690490723,NA,NA,NA,12.2778692245483,12.3799686431885,9.39546871185303,10.9224691390991,NA,13.8629684448242,30,MYD88,IRAK1
FALSE,0.729165299445883,0.452075481414795,A2ADA5,A2ADA5,tRNA pseudouridine synthase-like 1,Pusl1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,7,31.992,16,4,4,4,4,17.7801685333252,17.4611682891846,17.9643688201904,17.9307689666748,17.3414688110352,17.5892677307129,18.2217693328857,17.4566688537598,17.7112693786621,17.764669418335,17.0212688446045,17.4246692657471,16.6734676361084,16.9779682159424,17.7026691436768,17.4467678070068,30,MYD88,IRAK1
FALSE,0.177605985081216,0.173449754714966,A2AG58,A2AG58,Uncharacterized protein CXorf23 homolog,NA,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,7,90.11,16,4,4,4,4,13.82776927948,14.1391687393188,13.9441690444946,14.1716690063477,14.7583684921265,14.2870683670044,14.0624685287476,14.0037689208984,13.1797685623169,12.9237689971924,13.4409685134888,13.5384683609009,13.39146900177,15.0133686065674,14.1271686553955,13.8858690261841,30,MYD88,IRAK1
