"FILE","MODEL","RECYCLE","TOL","pLDDT","pTM","piTM","iScore","iRes","iCnt","FILE_MODEL","NUM_CLUSTERS","N_MONOMERS","ORIGIN","FILE_RECYCLE","RANK"
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1",1,"model_1_multimer_v3_p1_230511_693663",1.147,82.16,0.666,0.5902,0.5582,75,87,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1",2,3,"TLR7","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1_model_1_multimer_v3_p1_230511_693663",17
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1",1,"model_1_multimer_v3_p1_230511_693663_recycled_00",9999,79.21,0.5729,0.399,0.3817,120,146,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1",2,3,"TLR7","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1_model_1_multimer_v3_p1_230511_693663_recycled_00",98
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1",1,"model_1_multimer_v3_p1_230511_693663_recycled_01",88.51,80.2,0.6244,0.4254,0.4119,133,163,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1",2,3,"TLR7","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1_model_1_multimer_v3_p1_230511_693663_recycled_01",92
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1",1,"model_1_multimer_v3_p1_230511_693663_recycled_02",3.32,81.27,0.6478,0.4416,0.4249,130,155,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1",2,3,"TLR7","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1_model_1_multimer_v3_p1_230511_693663_recycled_02",86
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1",1,"model_1_multimer_v3_p1_230511_693663_recycled_03",4.05,81.66,0.6529,0.483,0.4621,106,118,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1",2,3,"TLR7","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1_model_1_multimer_v3_p1_230511_693663_recycled_03",68
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1",1,"model_1_multimer_v3_p1_230511_693663_recycled_04",2.94,81.67,0.6589,0.4919,0.4712,102,114,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1",2,3,"TLR7","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1_model_1_multimer_v3_p1_230511_693663_recycled_04",66
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1",1,"model_1_multimer_v3_p1_230511_693663_recycled_05",1.24,81.87,0.6649,0.5141,0.4908,99,118,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1",2,3,"TLR7","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1_model_1_multimer_v3_p1_230511_693663_recycled_05",52
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1",1,"model_1_multimer_v3_p1_230511_693663_recycled_06",1.36,81.88,0.6669,0.5082,0.4852,101,122,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1",2,3,"TLR7","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1_model_1_multimer_v3_p1_230511_693663_recycled_06",59
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1",1,"model_1_multimer_v3_p1_230511_693663_recycled_07",1.4,81.88,0.665,0.5289,0.5028,94,113,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1",2,3,"TLR7","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1_model_1_multimer_v3_p1_230511_693663_recycled_07",45
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1",1,"model_1_multimer_v3_p1_230511_693663_recycled_08",1.23,82.05,0.667,0.5348,0.509,93,113,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1",2,3,"TLR7","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_TLR7_MOUSE_x1_1_model_1_multimer_v3_p1_230511_693663_recycled_08",42
