Significant,-LOG(P-value),Difference,Protein.IDs,Majority.protein.IDs,Protein.names,Gene.names,Potential.contaminant,Peptides,Mol..weight.[kDa],Valid.values,Valid.values.30.min,Valid.values.unstim,30.min_1.neu,30.min_2.neu,30.min_3.neu,30.min_4.neu,unstim_1.neu,unstim_2.neu,unstim_3.neu,unstim_4.neu,ORIGIN,PULLED_PROTEIN,KO
TRUE,1.72881384547414,1.47874999046326,A2AG58,A2AG58,Uncharacterized protein CXorf23 homolog,NA,NA,5,90.11,8,4,4,16.0953998565674,15.3062000274658,15.1765003204346,14.2530002593994,13.0860004425049,14.3926000595093,13.6782999038696,13.7592000961304,30,MYD88,NONE
TRUE,4.44159856227577,1.5147500038147,A2AHG0,A2AHG0,Leucine zipper putative tumor suppressor 3,Lzts3,NA,11,74.985,8,4,4,17.6093006134033,17.4969005584717,17.9163990020752,17.2609996795654,16.0862007141113,16.0606994628906,15.9692001342773,16.1084995269775,30,MYD88,NONE
TRUE,3.74397579418776,3.08789944648743,A2AKG8,A2AKG8,Focadhesin,Focad,NA,29,198.95,8,4,4,16.960599899292,18.0158996582031,17.6284999847412,16.5184001922607,14.6753005981445,13.9779005050659,13.8979005813599,14.2207002639771,30,MYD88,NONE
TRUE,1.50106957703233,-1.40219759941101,A2AL36,A2AL36,Centriolin,Cntrl,NA,7,268.88,8,4,4,12.4361000061035,11.4084005355835,10.5626096725464,10.4793996810913,13.0228004455566,12.0711002349854,12.8706998825073,12.5306997299194,30,MYD88,NONE
TRUE,1.51568340828536,1.32592511177063,A2AQ19,A2AQ19,RNA polymerase-associated protein RTF1 homolog,Rtf1,NA,13,80.796,7,3,4,14.0472002029419,14.0957002639771,15.4479999542236,NA,13.3280000686646,13.1410999298096,12.7259998321533,13.6224002838135,30,MYD88,NONE
TRUE,2.48202984825166,2.23137521743774,A6PWY4,A6PWY4,WD repeat-containing protein 76,Wdr76,NA,6,69.007,8,4,4,16.2985000610352,17.3076000213623,16.9547004699707,16.3696002960205,14.2767000198364,13.9364004135132,14.0854997634888,15.7062997817993,30,MYD88,NONE
TRUE,2.09910560931227,1.18125009536743,B1AY10,B1AY10,Transcriptional repressor NF-X1,Nfx1,NA,22,123.81,8,4,4,17.6539993286133,17.82200050354,17.9783000946045,16.69580078125,16.456600189209,16.3400001525879,16.1042003631592,16.524299621582,30,MYD88,NONE
TRUE,4.0216762202966,2.9273247718811,B1AY13,B1AY13,Ubiquitin carboxyl-terminal hydrolase 24,Usp24,NA,14,294,8,4,4,14.0931997299194,14.353099822998,15.194299697876,15.3631000518799,11.9618997573853,11.7524003982544,11.6556997299194,11.9244003295898,30,MYD88,NONE
TRUE,1.79715825758011,2.0548996925354,B2RQC6,B2RQC6,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,Cad,NA,72,243.24,8,4,4,19.9267997741699,21.8360996246338,19.3794994354248,21.3589992523193,18.0690994262695,18.4652996063232,18.6508007049561,19.0965995788574,30,MYD88,NONE
TRUE,2.49527124388306,1.93287491798401,B2RXR6,B2RXR6,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,Ankrd44,NA,13,107.38,8,4,4,14.6744003295898,14.3723001480103,14.3781003952026,13.0911998748779,12.1077003479004,12.7810001373291,11.8297004699707,12.0661001205444,30,MYD88,NONE
TRUE,1.81915672392465,1.32007479667664,B7ZNG4,B7ZNG4,Tastin,Troap,NA,7,71.958,8,4,4,15.7468996047974,15.9351997375488,15.6324996948242,15.4059000015259,15.0984001159668,13.3229999542236,14.3747997283936,14.6440000534058,30,MYD88,NONE
TRUE,2.12388014618088,2.00935029983521,B9EJ86,B9EJ86,Oxysterol-binding protein,Osbpl8,NA,17,101.27,8,4,4,16.7735004425049,18.1977005004883,18.6977996826172,17.1445999145508,16.3428993225098,15.2021999359131,15.5250997543335,15.706000328064,30,MYD88,NONE
TRUE,2.19588467771876,2.16367506980896,CON__ENSEMBL:ENSBTAP00000031360,CON__ENSEMBL:ENSBTAP00000031360,NA,NA,+,1,54.678,6,4,2,13.3329000473022,12.5783004760742,13.2653999328613,12.3628997802734,NA,11.0371999740601,NA,10.4052000045776,30,MYD88,NONE
TRUE,1.8349694227342,1.42184996604919,CON__P01966,CON__P01966,NA,NA,+,2,15.184,6,2,4,16.1240997314453,16.2702007293701,NA,NA,15.3597002029419,14.4028005599976,14.9163999557495,14.4223003387451,30,MYD88,NONE
TRUE,3.30899504555467,3.05712485313416,CON__P06868,CON__P06868,NA,NA,+,4,91.215,8,4,4,14.9745998382568,15.2486000061035,15.8794994354248,13.8854999542236,11.4956998825073,12.0808000564575,12.286600112915,11.8965997695923,30,MYD88,NONE
TRUE,1.77405333030192,1.40639972686768,CON__P13645;CON__Q7Z3Y8;CON__Q148H6;CON__Q7Z3Z0,CON__P13645,NA,NA,+,32,59.51,8,4,4,26.0105991363525,25.2971992492676,26.3166999816895,26.5480003356934,25.0984992980957,24.896900177002,23.6522006988525,24.899299621582,30,MYD88,NONE
TRUE,1.42405394202327,1.92771983146667,CON__P20930,CON__P20930,NA,NA,+,6,435.16,8,4,4,11.8042001724243,10.7121000289917,11.8214998245239,10.0523099899292,8.1400899887085,10.157600402832,8.18720054626465,10.1943397521973,30,MYD88,NONE
TRUE,1.88123661879836,1.46192502975464,CON__P35908;Q6IFZ9;CON__REFSEQ:XP_932229,CON__P35908,NA,NA,+,45,65.865,8,4,4,24.8698997497559,24.7964992523193,25.7539005279541,25.8320007324219,23.9874000549316,24.1734008789063,22.9277992248535,24.3159999847412,30,MYD88,NONE
TRUE,1.85505559441301,1.55097532272339,CON__P35908v2,CON__P35908v2,NA,NA,+,45,65.432,8,4,4,18.3397998809814,17.6811008453369,17.1802997589111,17.5841999053955,17.0158996582031,16.3894996643066,15.1873998641968,15.9886999130249,30,MYD88,NONE
TRUE,3.4034511986983498,1.57975029945374,CON__Q1RMK2,CON__Q1RMK2,NA,NA,+,10,65.056,8,4,4,18.0692005157471,18.1298999786377,18.3962993621826,18.0531997680664,16.6791000366211,16.8370990753174,16.8444995880127,15.9688997268677,30,MYD88,NONE
TRUE,1.88228537150938,1.21152472496033,CON__Q28107,CON__Q28107,NA,NA,+,12,248.98,8,4,4,16.1171989440918,15.5929002761841,15.9513998031616,14.7643003463745,14.7774000167847,13.958399772644,14.5345001220703,14.3094005584717,30,MYD88,NONE
TRUE,1.29379052850282,1.45145034790039,CON__Q32MB2,CON__Q32MB2,NA,NA,+,6,58.923,8,4,4,18.9234008789063,18.7509994506836,20.6686000823975,19.6173000335693,18.2614994049072,18.3108005523682,16.8566989898682,18.7255001068115,30,MYD88,NONE
TRUE,3.62340523898521,3.10080075263977,CON__Q3SX14,CON__Q3SX14,NA,NA,+,20,85.686,8,4,4,19.357400894165,18.9071006774902,19.7003002166748,18.6658000946045,16.9584999084473,16.0399990081787,15.7934999465942,15.4354000091553,30,MYD88,NONE
TRUE,2.44257414011833,1.2598762512207,CON__Q3ZBS7;P29788,CON__Q3ZBS7,NA,NA,+,5,54.099,8,4,4,17.6634006500244,17.7644004821777,17.9332008361816,16.7660007476807,16.4734001159668,16.096399307251,16.2815990447998,16.2360992431641,30,MYD88,NONE
TRUE,2.63619165769603,1.77812457084656,CON__Q5D862;Q2VIS4,CON__Q5D862,NA,NA,+,8,248.07,8,4,4,15.8814001083374,14.8733997344971,15.8450002670288,15.9763994216919,14.0594005584717,14.0813999176025,13.1548004150391,14.1681003570557,30,MYD88,NONE
TRUE,1.52465172538114,1.77647519111633,CON__Q7Z794,CON__Q7Z794,NA,NA,+,19,61.802,8,4,4,18.4745998382568,16.6026000976563,18.4745006561279,17.5238990783691,16.4079990386963,15.9266996383667,14.8008003234863,16.8341999053955,30,MYD88,NONE
TRUE,1.65699854086132,1.55842471122742,CON__Q9C075,CON__Q9C075,NA,NA,+,4,48.131,6,2,4,NA,NA,13.6073999404907,14.638500213623,12.7101001739502,12.7588005065918,11.9877004623413,12.8015003204346,30,MYD88,NONE
TRUE,1.43042718006725,3.99021331469218,E9Q394,E9Q394,NA,Akap13,NA,6,303.97,7,4,3,9.85630035400391,13.7182998657227,14.1192998886108,14.1261005401611,8.08100986480713,8.16565036773682,10.6477003097534,NA,30,MYD88,NONE
TRUE,0.751641872903145,5.76960055033366,J3QMK6;E9Q3E1,J3QMK6;E9Q3E1,Aldehyde dehydrogenase,1700055N04Rik;Aldh3b2,NA,2,53.119,5,2,3,19.1016998291016,NA,24.4171009063721,NA,20.0452995300293,14.059100151062,13.8649997711182,NA,30,MYD88,NONE
TRUE,1.41961750114594,1.6898500919342,E9Q3L2,E9Q3L2,NA,Pi4ka,NA,22,237.04,8,4,4,15.1331996917725,12.9005002975464,14.8029003143311,13.7186002731323,12.791600227356,11.8371000289917,11.8045997619629,13.3625001907349,30,MYD88,NONE
TRUE,4.14290556362684,2.72942495346069,E9Q634;P70248,E9Q634,Unconventional myosin-Ie,Myo1e,NA,38,126.82,8,4,4,22.6893997192383,22.8355007171631,23.4006996154785,22.1569995880127,20.2616996765137,20.0020999908447,19.7119007110596,20.1891994476318,30,MYD88,NONE
