Significant,-LOG(P-value),Difference,Protein.IDs,Majority.protein.IDs,Protein.names,Gene.names,Potential.contaminant,Mol..weight.[kDa],Peptides,Valid.values,Valid.values.15.min,Valid.values.unstim,Myd88.15.min.1.neu,MyD88.15.min.2.neu,MyD88.15.min.3.neu,MyD88.15.min.4.neu,MyD88.unstim.2.neu,MyD88.unstim.3.neu,MyD88.unstim.4.neu,ORIGIN,PULLED_PROTEIN,KO
TRUE,2.00752012853382,-2.74502515792847,A2A3V1,A2A3V1,A-kinase anchor protein 17B,Akap17b,NA,111.06,2,8,4,3,9.84118556976318,11.8822860717773,9.70218563079834,10.3029861450195,13.9657859802246,12.8260860443115,12.7396860122681,15,MYD88,NONE
TRUE,2.01666919597798,-1.49134151140849,A2A4P0,A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,NA,142.57,25,12,4,4,16.3774852752686,17.1277866363525,16.2675857543945,15.8943853378296,18.2602863311768,18.0166854858398,17.4474849700928,15,MYD88,NONE
TRUE,1.40806628429786,-1.25725841522217,A2A5Z6;Q9CUN6,A2A5Z6,E3 ubiquitin-protein ligase SMURF2,Smurf2,NA,86.174,3,11,4,3,11.5890855789185,12.7038860321045,11.3352861404419,12.0207862854004,12.5738859176636,13.7411861419678,13.1934862136841,15,MYD88,NONE
TRUE,2.19742514711467,-1.82934180895487,A2A6A1,A2A6A1,G patch domain-containing protein 8,Gpatch8,NA,164.99,7,11,4,3,13.5841856002808,13.9393854141235,12.4227857589722,13.1364860534668,14.8891859054565,15.3812856674194,15.0296859741211,15,MYD88,NONE
TRUE,2.42979879679363,-2.01122506459554,A2A791,A2A791,Zinc finger MYM-type protein 4,Zmym4,NA,172.44,2,11,4,4,10.4629859924316,10.6560859680176,10.8114862442017,10.2804861068726,13.1337862014771,12.8610858917236,11.6970863342285,15,MYD88,NONE
TRUE,0.610927593482863,-1.84324971834818,A2A8L1,A2A8L1,Chromodomain-helicase-DNA-binding protein 5,Chd5,NA,222.51,14,9,4,3,11.1560859680176,12.0300855636597,6.78278636932373,11.0327863693237,12.3312854766846,11.775185585022,12.1745862960815,15,MYD88,NONE
TRUE,1.74172244750206,-1.47406689325968,A2AB59,A2AB59,Rho GTPase-activating protein 27,Arhgap27,NA,97.047,1,8,2,3,11.3808860778809,NA,NA,11.9780855178833,12.8128862380981,13.3367862701416,13.3109855651855,15,MYD88,NONE
TRUE,2.07851982523921,-2.31053368250529,A2AG58,A2AG58,Uncharacterized protein CXorf23 homolog,NA,NA,90.11,11,11,4,3,14.0741853713989,15.6899852752686,13.9315853118896,13.9057855606079,17.0859851837158,16.775785446167,16.2709865570068,15,MYD88,NONE
TRUE,2.80073546582307,2.25409126281738,A2AHG0,A2AHG0,Leucine zipper putative tumor suppressor 3,Lzts3,NA,74.985,5,8,4,3,13.7195854187012,13.101185798645,13.6776857376099,13.9315853118896,12.0072860717773,11.2601861953735,10.7927856445313,15,MYD88,NONE
TRUE,3.51262692486176,1.31507460276286,A2AI08,A2AI08,Taperin,Tprn,NA,80.088,15,10,4,3,17.2844848632813,17.0311851501465,17.0327854156494,16.8101863861084,15.8161859512329,15.857985496521,15.4995861053467,15,MYD88,NONE
TRUE,2.82656384684126,-1.46064170201619,A2AIV2,A2AIV2,Protein virilizer homolog,Kiaa1429,NA,201.44,17,11,4,3,14.7428855895996,15.0766859054565,14.1943855285645,14.6060857772827,16.2043857574463,16.2293853759766,15.9131860733032,15,MYD88,NONE
TRUE,1.44305761046618,-1.66461634635925,A2AJI0,A2AJI0,MAP7 domain-containing protein 1,Map7d1,NA,93.275,12,12,4,4,15.9593858718872,17.6808853149414,15.8862857818604,15.7999858856201,18.257884979248,18.3084850311279,17.4223861694336,15,MYD88,NONE
TRUE,1.29638235632786,-1.54258330663045,A2AKX3,A2AKX3,Probable helicase senataxin,Setx,NA,297.59,10,11,4,3,13.0724859237671,13.69078540802,12.4174861907959,11.6789855957031,14.7008857727051,14.5702857971191,13.5013856887817,15,MYD88,NONE
TRUE,3.71441852175228,2.93429986635844,A2AL36,A2AL36,Centriolin,Cntrl,NA,268.88,5,9,4,3,11.3627862930298,11.0035858154297,10.4555854797363,11.3097858428955,8.1186056137085,8.4465160369873,7.73078632354736,15,MYD88,NONE
TRUE,1.83894431881521,-1.39610004425049,A2APB8,A2APB8,Targeting protein for Xklp2,Tpx2,NA,85.893,28,12,4,4,17.2922859191895,18.5471858978271,17.866886138916,17.6739864349365,19.593786239624,19.402286529541,18.7274856567383,15,MYD88,NONE
TRUE,2.22670356618324,-1.33181699117025,A2AR02,A2AR02,Peptidyl-prolyl cis-trans isomerase G,Ppig,NA,88.324,8,11,4,3,16.6366863250732,16.4939861297607,15.690185546875,16.0964851379395,17.7985858917236,17.6604862213135,17.22438621521,15,MYD88,NONE
TRUE,2.41502888140064,-2.94095007578532,A2ASS6,A2ASS6,Titin,Ttn,NA,3906.4,5,12,4,4,6.92789554595947,5.08175659179688,5.14326667785645,6.65634632110596,8.86177635192871,8.99659633636475,8.82142639160156,15,MYD88,NONE
TRUE,1.92110125379212,-1.15930032730103,A2AT37,A2AT37,NA,Upf2,NA,147.55,26,11,4,3,16.7943859100342,16.8560848236084,16.1659851074219,16.6138858795166,18.2176856994629,17.8417854309082,17.2411861419678,15,MYD88,NONE
TRUE,1.08393139050696,-1.93524622917175,A2AWL7,A2AWL7,MAX gene-associated protein,Mga,NA,328.8,2,11,4,3,8.00796604156494,10.772385597229,7.98102569580078,8.07763576507568,10.7790660858154,11.3295860290527,9.8263463973999,15,MYD88,NONE
TRUE,1.58753834395282,-1.31721631685893,A2BE28,A2BE28,Ribosomal biogenesis protein LAS1L,Las1l,NA,89.413,16,12,4,4,16.4930858612061,16.7901859283447,15.415885925293,15.7961854934692,17.6752853393555,17.6726856231689,16.9751853942871,15,MYD88,NONE
TRUE,2.68887537151778,-1.62919966379802,A2RSY6,A2RSY6,TRMT1-like protein,Trmt1l,NA,80.86,17,12,4,4,17.6326866149902,18.0749855041504,17.4036865234375,17.7065849304199,19.7495861053467,19.4168853759766,18.8345851898193,15,MYD88,NONE
TRUE,2.02505081314983,-1.86785793304443,A3KFM7,A3KFM7,Chromodomain-helicase-DNA-binding protein 6,Chd6,NA,305.39,7,11,4,3,10.101185798645,11.2242860794067,10.6485862731934,11.1637859344482,12.9548854827881,13.1440858840942,11.857985496521,15,MYD88,NONE
TRUE,1.6547937319085,-1.43615770339966,A6PWY4,A6PWY4,WD repeat-containing protein 76,Wdr76,NA,69.007,8,11,4,3,18.2794857025146,19.40358543396,17.9740867614746,18.5470867156982,20.2921848297119,20.2694854736328,19.3999862670898,15,MYD88,NONE
TRUE,2.80407745854808,-1.87489128112793,B1AQJ2,B1AQJ2,Ubiquitin carboxyl-terminal hydrolase 36,Usp36,NA,119.91,25,12,4,4,16.4239864349365,16.6700859069824,16.046085357666,15.9216861724854,18.4571857452393,18.3513851165771,17.6124858856201,15,MYD88,NONE
TRUE,2.80623398555936,-1.90033316612244,B1ARD6,B1ARD6,NA,Slfn9,NA,103.99,6,11,4,3,13.124285697937,13.642186164856,12.806586265564,13.9520854949951,15.275785446167,15.3476858139038,15.2213859558105,15,MYD88,NONE
TRUE,3.06524926044885,-2.42942468325297,B1AX39,B1AX39,Zinc finger CCHC domain-containing protein 7,Zcchc7,NA,63,3,11,4,3,13.7038860321045,13.7381858825684,12.8789863586426,13.7571859359741,16.2496852874756,16.1987857818604,15.3984861373901,15,MYD88,NONE
TRUE,2.74764156763839,-2.2500749429067,B1AY10,B1AY10,Transcriptional repressor NF-X1,Nfx1,NA,123.81,24,12,4,4,16.0192852020264,16.3069858551025,15.5723857879639,15.4313859939575,18.5625858306885,18.2633857727051,17.4217853546143,15,MYD88,NONE
TRUE,1.67984174442206,-1.54777423540751,B1AZI6,B1AZI6,THO complex subunit 2,Thoc2,NA,182.77,27,12,4,4,16.1277866363525,16.9791851043701,15.5296859741211,15.6573858261108,18.1477851867676,17.631685256958,17.0843849182129,15,MYD88,NONE
TRUE,2.32877930910128,-1.57536665598551,B2KF05,B2KF05,NA,Brpf3,NA,135.29,2,9,4,3,9.74358558654785,10.8191862106323,9.6802864074707,9.88128566741943,11.5191860198975,11.8003854751587,11.4997863769531,15,MYD88,NONE
TRUE,2.40602589961736,-1.83506655693054,B2RQC2,B2RQC2,Ubiquitin carboxyl-terminal hydrolase 42,Usp42,NA,146.22,10,11,4,3,13.4047861099243,14.3727855682373,13.514386177063,13.6291856765747,15.8466854095459,15.8918857574463,14.9574861526489,15,MYD88,NONE
TRUE,2.48281065513402,-1.59180847803752,B2RR83,B2RR83,Probable ATP-dependent RNA helicase YTHDC2,Ythdc2,NA,161.09,43,12,4,4,17.2026863098145,18.0612850189209,17.0537853240967,17.3554859161377,19.217586517334,19.1540851593018,18.6586856842041,15,MYD88,NONE
TRUE,1.06542788901123,-2.95973499615987,B2RRD7,B2RRD7,NA,Brpf1,NA,137.31,4,11,4,3,12.6755857467651,10.6328859329224,7.46394634246826,12.0345859527588,14.0395860671997,13.7170858383179,13.2277860641479,15,MYD88,NONE
TRUE,2.03138385902688,-1.65341631571452,B2RRE7,B2RRE7,OTU domain-containing protein 4,Otud4,NA,123.05,26,12,4,4,18.2399864196777,18.8385848999023,17.4980850219727,17.7298851013184,20.0689849853516,19.839485168457,19.2816848754883,15,MYD88,NONE
TRUE,0.813996176041657,-1.26450824737549,B2RWS6;P45481,B2RWS6;P45481,Histone acetyltransferase p300;CREB-binding protein,Ep300;Crebbp,NA,263.3,4,11,4,3,11.7175855636597,11.3593854904175,9.82968616485596,12.7653856277466,12.482985496521,13.2037858963013,12.360785484314,15,MYD88,NONE
TRUE,2.10989662075364,-1.33259161313375,B2RX14,B2RX14,Terminal uridylyltransferase 4,Zcchc11,NA,184.65,11,11,4,3,13.9417858123779,14.4386854171753,13.6816854476929,13.2716856002808,15.3589859008789,14.9063854217529,15.2327852249146,15,MYD88,NONE
TRUE,1.60342666756614,-1.23368310928345,B2RY56,B2RY56,RNA-binding protein 25,Rbm25,NA,99.551,11,12,4,4,17.2831859588623,17.8320865631104,16.9630851745605,16.9813861846924,19.0404853820801,18.656286239624,17.7990856170654,15,MYD88,NONE
TRUE,1.71539841306525,-1.66951711972554,C0HKD9;C0HKD8,C0HKD9;C0HKD8,NA,NA,NA,51.954,4,11,4,3,16.0494861602783,16.3735847473145,15.0721855163574,15.2000856399536,17.7485866546631,17.6900863647461,16.5913848876953,15,MYD88,NONE
TRUE,2.86153704119352,-1.75326617558797,C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8CGP5;Q8BFU2;Q6GSS7;Q8R1M2;Q64523;Q8CGP7;P27661;Q64522,C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8CGP5;Q8BFU2;Q6GSS7;Q8R1M2;Q64523;Q8CGP7;P27661,Histone H2A type 1-H;Histone H2A type 1-F;Histone H2A type 3;Histone H2A type 2-A;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 1-K;Histone H2AX,Hist1h2ah;Hist1h2af;Hist3h2a;Hist2h2aa1;H2afj;Hist2h2ac;Hist1h2ak;H2afx,NA,14.135,5,12,4,4,25.490385055542,25.657585144043,24.8076858520508,25.0282859802246,27.2275848388672,27.1034851074219,26.6666851043701,15,MYD88,NONE
TRUE,1.16407664911545,-1.05447522799174,C6KI89;E9Q355,C6KI89;E9Q355,Cation channel sperm-associated protein subunit gamma 2;Cation channel sperm-associated protein subunit gamma 1,Catsperg2;Catsperg1,NA,131.42,2,11,4,3,13.5113859176636,13.3711862564087,13.0553855895996,12.8656854629517,14.9110860824585,14.5891857147217,13.2658863067627,15,MYD88,NONE
TRUE,2.98874880376621,-2.39642469088236,CON__ENSEMBL:ENSBTAP00000024146,CON__ENSEMBL:ENSBTAP00000024146,NA,NA,+,164.34,10,11,4,4,12.3592863082886,11.7502861022949,12.3256855010986,12.6621856689453,14.8924856185913,15.0826854705811,14.0371856689453,15,MYD88,NONE
TRUE,1.00919711140436,-2.31137561798096,CON__P02533;CON__Q61782,CON__P02533,NA,NA,+,51.621,47,12,4,4,17.8903865814209,21.15598487854,20.2134857177734,19.3501853942871,23.8038864135742,21.3932857513428,20.694486618042,15,MYD88,NONE
TRUE,2.17088526071853,-2.7161500453949,CON__P02662,CON__P02662,NA,NA,+,22.975,4,12,4,4,13.8126859664917,14.1020860671997,11.8273859024048,13.1047859191895,15.9311857223511,15.679386138916,16.1730861663818,15,MYD88,NONE
TRUE,0.722464392594973,-1.74083296457927,CON__P02666,CON__P02666,NA,NA,+,23.583,1,7,3,3,NA,16.1007862091064,12.6416854858398,13.1702861785889,15.6482858657837,16.1570854187012,15.3298854827881,15,MYD88,NONE
