Significant,-LOG(P-value),Difference,Protein IDs,Majority protein IDs,Protein names,Gene names,Potential contaminant,Peptides,Valid values,Valid values 60 min,Valid values unstim,60 min stim FG159 neu,60 min stim FG160 neu,60 min stim FG161 neu,60 min stim FG162 neu,unstim FG10 neu,unstim FG11 neu,unstim FG12 neu,unstim FG9 neu
,0.5869582637,-1.02925992,A2A3V1,A2A3V1,A-kinase anchor protein 17B,Akap17b,,5,6,2,4,NaN,NaN,11.30980015,9.952030182,11.22679996,10.78859997,12.8355999,11.78970051
+,2.706121882,-1.82572484,A2A4P0,A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,,36,8,4,4,15.12020016,15.92619991,15.65260029,16.61840057,17.7730999,17.18499947,17.79680061,17.86540031
,0.3568179033,0.3794698715,A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2,,3,6,4,2,8.858200073,9.853930473,9.611000061,9.81951046,NaN,NaN,9.602860451,8.70952034
,0.9029213246,-0.9770498276,A2A5Z6;Q9CUN6,A2A5Z6,E3 ubiquitin-protein ligase SMURF2,Smurf2,,3,5,3,2,10.2276001,10.94369984,NaN,11.38199997,NaN,12.04119968,NaN,11.61509991
,0.4129550692,-0.2108752728,A2A6A1,A2A6A1,G patch domain-containing protein 8,Gpatch8,,12,8,4,4,14.43400002,14.97949982,14.43169975,15.19569969,15.27490044,14.82450008,15.02219963,14.76280022
+,1.44372295,-1.349400282,A2A6Q5,A2A6Q5,Cell division cycle protein 27 homolog,Cdc27,,11,8,4,4,12.98110008,14.92529964,14.85449982,14.2578001,16.17980003,15.15000057,15.68560028,15.40089989
,0,-1.167266528,A2A8L1,A2A8L1,Chromodomain-helicase-DNA-binding protein 5,Chd5,,15,4,3,1,12.30049992,10.84060001,11.63650036,NaN,NaN,12.75979996,NaN,NaN
+,3.185248157,-1.43874979,A2ADA5,A2ADA5,tRNA pseudouridine synthase-like 1,Pusl1,,8,8,4,4,15.8057003,16.8227005,16.5258007,16.19619942,17.77890015,17.6637001,17.86980057,17.79299927
+,2.160613262,-2.666574955,A2AG58,A2AG58,Uncharacterized protein CXorf23 homolog,,,10,8,4,4,14.58979988,13.52060032,11.59980011,12.50650024,16.16869926,15.55920029,15.62590027,15.52920055
,2.28957319,-0.9218747616,A2AGT5,A2AGT5,Cytoskeleton-associated protein 5,Ckap5,,34,8,4,4,15.23050022,15.35999966,14.73040009,15.73280048,16.167099,16.09059906,16.13470078,16.34880066
+,4.155536151,-2.297824383,A2AHG0,A2AHG0,Leucine zipper putative tumor suppressor 3,Lzts3,,10,8,4,4,14.03740025,14.72210026,13.63630009,13.84319973,16.27809906,16.40570068,16.33919907,16.40729904
