Significant,-LOG(P-value),Difference,Protein.IDs,Majority.protein.IDs,Protein.names,Gene.names,Symbol.color,Symbol.type,Symbol.size,Show.label,Potential.contami1000t,Peptides,Valid.values,Valid.values.60.min,Valid.values.unstim,60.min.FG207.neu,60.min.FG208.neu,60.min.FG209.neu,60.min.FG210.neu,unstim.FG38.neu,unstim.FG39.neu,unstim.FG40.neu,ORIGIN,PULLED_PROTEIN,KO
FALSE,0.308076259800819,1.06065026919047,A2A4P0,A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,Color2 [DarkGray],1,4,NA,NA,28,7,4,3,14.8840265274048,19.5266265869141,18.4443264007568,14.9889259338379,15.6693258285522,16.5115261077881,15.5201263427734,60,IRAK4,NONE
FALSE,0.534883102654167,-0.717411597569784,A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2,Color2 [DarkGray],1,4,NA,NA,3,7,4,3,11.2724266052246,9.95665645599365,9.46330642700195,8.91393661499023,10.3309259414673,10.7127265930176,10.8133268356323,60,IRAK4,NONE
FALSE,0.83907146124992,-1.43183962504069,A2A6A1,A2A6A1,G patch domain-containing protein 8,Gpatch8,Color2 [DarkGray],1,4,NA,NA,6,6,3,3,11.1015062332153,13.3804264068604,13.2483263015747,NA,14.1583261489868,14.4109258651733,13.4565258026123,60,IRAK4,NONE
TRUE,3.41271116270576,-6.05313364664713,A2A7Y5,A2A7Y5,Migration and invasion-inhibitory protein,Miip,Color2 [DarkGray],1,4,NA,NA,1,6,3,3,13.6149263381958,13.7688264846802,NA,15.1563262939453,20.4249267578125,20.535026550293,19.7395267486572,60,IRAK4,NONE
TRUE,2.58192699646947,-1.90786647796631,A2ADY9,A2ADY9,Protein DDI1 homolog 2,Ddi2,Color2 [DarkGray],1,4,NA,NA,2,6,3,3,12.5299263000488,12.2403268814087,NA,12.9055261611938,14.8591260910034,14.4051265716553,14.1351261138916,60,IRAK4,NONE
TRUE,3.99092733858076,-3.63860861460368,A2AGT5,A2AGT5,Cytoskeleton-associated protein 5,Ckap5,Color2 [DarkGray],1,4,NA,NA,37,7,4,3,13.6594257354736,12.9334259033203,12.6020259857178,12.6745262145996,16.6943264007568,16.8820266723633,16.2415256500244,60,IRAK4,NONE
TRUE,1.78048462760025,-3.66269175211589,A2AHG0,A2AHG0,Leucine zipper putative tumor suppressor 3,Lzts3,Color2 [DarkGray],1,4,NA,NA,15,7,4,3,14.728325843811,11.1306266784668,11.3144264221191,13.3498258590698,16.2876262664795,16.670726776123,15.9221258163452,60,IRAK4,NONE
TRUE,3.71127374340684,-6.03726609547933,A2AI08,A2AI08,Taperin,Tprn,Color2 [DarkGray],1,4,NA,NA,16,6,3,3,11.8095264434814,12.2627267837524,NA,12.3037261962891,18.3649253845215,18.7884254455566,17.3344268798828,60,IRAK4,NONE
TRUE,1.17168026921529,-2.16460641225179,A2AKG8,A2AKG8,Focadhesin,Focad,Color2 [DarkGray],1,4,NA,NA,12,6,3,3,12.6568260192871,12.6448259353638,10.3286066055298,NA,13.9307260513306,14.7726259231567,13.4207258224487,60,IRAK4,NONE
TRUE,3.31157453756686,-4.17244942982991,A2AL36,A2AL36,Centriolin,Cntrl,Color2 [DarkGray],1,4,NA,NA,46,7,4,3,12.8947257995605,11.2747268676758,12.3117265701294,12.1231260299683,16.2147254943848,17.0694255828857,15.6864261627197,60,IRAK4,NONE
