"","FILE","MODEL","RECYCLE","TOL","pLDDT","pTM","piTM","iScore","iRes","iCnt","NUM_CLUSTERS","N_MONOMERS","FILE_RECYCLE","RANK","V1","Entry.Name","Gene.Names","Gene.Names..primary.","Gene.Names..synonym.","Organism","Organism..ID.","Protein.names","Proteomes","Taxonomic.lineage"
"1","MYD88_A2A3V1_x1",4,"model_4_multimer_v3_p1_230426_303579_recycled_10",7.13,44.44,0.3144,0.3305,0.1467,75,105,1,2,"MYD88_A2A3V1_x1_4_model_4_multimer_v3_p1_230426_303579_recycled_10",1,"A2A3V1","AK17B_MOUSE","Akap17b Sfrs17b","Akap17b","Sfrs17b","Mus musculus (Mouse)",10090,"A-kinase anchor protein 17B (AKAP-17B) (Protein Talia) (Protein kinase A-anchoring protein 17B) (PRKA17B) (Splicing factor, arginine/serine-rich 17B)","UP000000589: Chromosome X","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"2","MYD88_A2A4P0_x1",4,"model_4_multimer_v3_p1_230426_746522_recycled_00",9999,66.37,0.5383,0.5398,0.2018,67,98,1,2,"MYD88_A2A4P0_x1_4_model_4_multimer_v3_p1_230426_746522_recycled_00",1,"A2A4P0","DHX8_MOUSE","Dhx8","Dhx8",NA,"Mus musculus (Mouse)",10090,"ATP-dependent RNA helicase DHX8 (EC 3.6.4.13) (DEAH box protein 8)","UP000000589: Chromosome 11","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"3","MYD88_A2A5Z6_x1",3,"model_3_multimer_v3_p1_230426_639446_recycled_07",3.82,68.55,0.3979,0.2701,0.0922,121,228,1,2,"MYD88_A2A5Z6_x1_3_model_3_multimer_v3_p1_230426_639446_recycled_07",1,"A2A5Z6","SMUF2_MOUSE","Smurf2","Smurf2",NA,"Mus musculus (Mouse)",10090,"E3 ubiquitin-protein ligase SMURF2 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2)","UP000000589: Chromosome 11","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"4","MYD88_A2A6A1_x1",1,"model_1_multimer_v3_p1_230424_728798_recycled_00",9999,31.8,0.2786,0.4181,0.341,111,129,1,2,"MYD88_A2A6A1_x1_1_model_1_multimer_v3_p1_230424_728798_recycled_00",1,"A2A6A1","GPTC8_MOUSE","Gpatch8 Gpatc8 Kiaa0553","Gpatch8","Gpatc8 Kiaa0553","Mus musculus (Mouse)",10090,"G patch domain-containing protein 8","UP000000589: Chromosome 11","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"5","MYD88_A2A6Q5_x1",1,"model_1_multimer_v3_p1_230426_741014_recycled_01",61.35,61.46,0.529,0.5402,0.0782,81,124,1,2,"MYD88_A2A6Q5_x1_1_model_1_multimer_v3_p1_230426_741014_recycled_01",1,"A2A6Q5","CDC27_MOUSE","Cdc27","Cdc27",NA,"Mus musculus (Mouse)",10090,"Cell division cycle protein 27 homolog","UP000000589: Chromosome 11","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"6","MYD88_A2A791_x1",2,"model_2_multimer_v3_p1_230424_850299_recycled_01",82.74,48.81,0.3262,0.4064,0.2918,246,591,1,2,"MYD88_A2A791_x1_2_model_2_multimer_v3_p1_230424_850299_recycled_01",1,"A2A791","ZMYM4_MOUSE","Zmym4 Kiaa0425 Zfp262 Znf262","Zmym4","Kiaa0425 Zfp262 Znf262","Mus musculus (Mouse)",10090,"Zinc finger MYM-type protein 4 (Zinc finger protein 262)","UP000000589: Chromosome 4","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"7","MYD88_A2A8L1_x1",5,"model_5_multimer_v3_p1_230426_680459_recycled_04",10.39,46.23,0.4351,0.247,0.0802,132,237,1,2,"MYD88_A2A8L1_x1_5_model_5_multimer_v3_p1_230426_680459_recycled_04",1,"A2A8L1","CHD5_MOUSE","Chd5 Kiaa0444","Chd5","Kiaa0444","Mus musculus (Mouse)",10090,"Chromodomain-helicase-DNA-binding protein 5 (CHD-5) (EC 3.6.4.12) (ATP-dependent helicase CHD5)","UP000000589: Chromosome 4","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"8","MYD88_A2AB59_x1",2,"model_2_multimer_v3_p1_230425_454622_recycled_14",2.12,60.53,0.3853,0.5464,0.4225,53,54,1,2,"MYD88_A2AB59_x1_2_model_2_multimer_v3_p1_230425_454622_recycled_14",1,"A2AB59","RHG27_MOUSE","Arhgap27 Camgap1","Arhgap27","Camgap1","Mus musculus (Mouse)",10090,"Rho GTPase-activating protein 27 (CIN85-associated multi-domain-containing Rho GTPase-activating protein 1) (Rho-type GTPase-activating protein 27)","UP000000589: Chromosome 11","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"9","MYD88_A2ADA5_x1",4,"model_4_multimer_v3_p1_230417_733486_recycled_00",9999,72.46,0.5527,0.4541,0.1206,101,153,1,2,"MYD88_A2ADA5_x1_4_model_4_multimer_v3_p1_230417_733486_recycled_00",1,"A2ADA5","PUSL1_MOUSE","Pusl1","Pusl1",NA,"Mus musculus (Mouse)",10090,"tRNA pseudouridine synthase-like 1 (EC 5.4.99.-) (tRNA pseudouridylate synthase-like 1) (tRNA-uridine isomerase-like 1)","UP000000589: Chromosome 4","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"10","MYD88_A2AG58_x1",4,"model_4_multimer_v3_p1_230426_763255_recycled_00",9999,35.8,0.2611,0.3498,0.1344,68,95,2,2,"MYD88_A2AG58_x1_4_model_4_multimer_v3_p1_230426_763255_recycled_00",1,"A2AG58","BCLA3_MOUSE","Bclaf3","Bclaf3",NA,"Mus musculus (Mouse)",10090,"BCLAF1 and THRAP3 family member 3","UP000000589: Chromosome X","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
