Significant,-LOG(P-value),Difference,Protein.IDs,Majority.protein.IDs,T:.Protein.names,Gene.names,Symbol.color,Symbol.type,Symbol.size,Show.label,C:.Potential.contami1000t,N:.Peptides,N:.Mol..weight.[kDa],Valid.values,N:.Valid.values.unstim,N:.Valid.values.15.min.stim,N:.Valid.values.30.min.stim,N:.Valid.values.WT.control,FG26..unstim,FG27..unstim,FG29..unstim,FG30..15.min.stim,FG32..15.min.stim,FG33..15.min.stim,FG34..30..min.stim,FG35..30.min.stim,FG36..30.min.stim,FG50.WT.control,FG51.WT.control,FG52.WT.control,FG53.WT.control,ORIGIN,PULLED_PROTEIN,KO
FALSE,0.519103642078258,-0.281366666158039,A0A0A6YY25,A0A0A6YY25,NA,Btbd18,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,1,79.463,11,4,3,3,1,19.4228992462158,19.7012004852295,19.547399520874,21.1905994415283,20.5942001342773,19.6340007781982,NA,19.0055999755859,19.5459995269775,22.4507999420166,NA,NA,NA,30,IRAK1,NONE
FALSE,0.161430668717766,0.285500208536783,A1Z198,A1Z198,NA,Nlrp1b,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,2,134.16,14,4,3,3,4,14.355899810791,14.166600227356,13.2200994491577,13.3599996566772,14.81130027771,15.0462999343872,13.1522998809814,14.3610000610352,15.0858001708984,20.2462005615234,20.7420997619629,20.2999992370605,20.7434997558594,30,IRAK1,NONE
FALSE,0,1.01360034942627,A2A3V1,A2A3V1,A-kinase anchor protein 17B,Akap17b,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,2,111.06,4,2,1,1,0,13.3516998291016,NA,NA,NA,11.9828996658325,NA,NA,NA,14.3653001785278,NA,NA,NA,NA,30,IRAK1,NONE
FALSE,1.33488496836428,-0.711499532063804,A2A4P0,A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,29,142.57,14,4,3,3,4,18.4421005249023,18.9109992980957,18.6042995452881,18.2017002105713,18.232400894165,19.1387004852295,18.3404998779297,17.8418998718262,17.6405010223389,23.8624000549316,24.1790008544922,23.8782005310059,24.1282005310059,30,IRAK1,NONE
FALSE,0.629210132299984,-0.39656670888265,A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Arfgef2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,10,202.24,15,4,4,3,4,16.0494995117188,15.6892004013062,15.5934000015259,14.8875999450684,15.737099647522,16.1518001556396,14.9548997879028,15.3752002716064,15.8122997283936,17.1695003509521,17.1865901947021,17.3497009277344,17.5734004974365,30,IRAK1,NONE
FALSE,0.191708814022564,-0.106901168823242,A2A6A1,A2A6A1,G patch domain-containing protein 8,Gpatch8,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,8,164.99,16,4,4,4,4,17.2016010284424,16.6979007720947,16.7616004943848,16.5857009887695,16.3127994537354,16.8850994110107,16.9337997436523,16.4934997558594,16.9130992889404,19.7192993164063,20.452299118042,19.9804992675781,20.5419006347656,30,IRAK1,NONE
FALSE,0.600144878174342,-0.996999740600586,A2A6Q5,A2A6Q5,Cell division cycle protein 27 homolog,Cdc27,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,5,91.841,12,4,3,3,2,17.6350994110107,16.7357997894287,15.7799005508423,16.4498996734619,16.6389007568359,16.9269008636475,14.6964998245239,16.1184005737305,16.3449001312256,18.130199432373,NA,18.5308990478516,NA,30,IRAK1,NONE
FALSE,2.21855146147483,1.83896700541178,A2A791,A2A791,Zinc finger MYM-type protein 4,Zmym4,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,2,172.44,13,4,2,3,4,13.3899002075195,12.6009998321533,12.6968994140625,14.2813005447388,13.3002996444702,NA,14.2541999816895,14.9407005310059,15.0097999572754,16.9053001403809,16.7569599151611,16.6009006500244,17.2690010070801,30,IRAK1,NONE
FALSE,0.0372691105036212,-0.0599333445231132,A2A7S8,A2A7S8,Uncharacterized protein KIAA1522,Kiaa1522,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,3,104.84,12,4,3,3,2,15.0763998031616,15.184100151062,13.9973001480103,14.3691997528076,14.6192998886108,14.0998001098633,15.0633001327515,13.9089994430542,15.1057004928589,NA,18.267599105835,13.7270097732544,NA,30,IRAK1,NONE
FALSE,0,NA,A2A8L1,A2A8L1,Chromodomain-helicase-DNA-binding protein 5,Chd5,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,14,222.51,10,4,3,0,3,12.6842002868652,14.6184005737305,14.1462001800537,13.6637001037598,13.1517000198364,12.1597995758057,NA,NA,NA,18.4529991149902,17.7852001190186,NA,18.4997997283936,30,IRAK1,NONE
