Significant,-LOG(P-value),Difference,Protein.IDs,Majority.protein.IDs,Protein.names,Gene.names,Symbol.color,Symbol.type,Symbol.size,Show.label,Only.identified.by.site,Reverse,Potential.contami1000t,N:.Peptides,N:.Mol..weight.[kDa],Valid.values,Valid.values.15.min,Valid.values.30.min,Valid.values.60.min,Valid.values.unstim,15.min.FG183.neu,15.min.FG184.neu,15.min.FG185.neu,30.min.FG188.neu,30.min.FG189.neu,30.min.FG190.neu,60.min.FG191.neu,60.min.FG193.neu,60.min.FG194.neu,unstim.FG180.neu,unstim.FG181.neu,unstim.FG182.neu,ORIGIN,PULLED_PROTEIN,KO
FALSE,0.712229011021046,0.539666175842283,A2A4P0,A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,25,142.57,12,3,3,3,3,16.4900131225586,16.0209121704102,15.610912322998,16.6058120727539,15.8223123550415,15.4493131637573,15.4787130355835,15.1640129089355,15.4783124923706,15.099513053894,15.9140129089355,15.4893131256104,15,MYD88,IRAK4
FALSE,0.384175340479227,0.427366574605305,A2A6A1,A2A6A1,G patch domain-containing protein 8,Gpatch8,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,5,164.99,12,3,3,3,3,13.9404125213623,13.5772123336792,13.5836124420166,13.0664129257202,13.9564123153687,12.3167123794556,12.5178127288818,11.7312126159668,12.3608121871948,12.3752126693726,13.8194122314453,13.6245126724243,15,MYD88,IRAK4
FALSE,0.0522584138864874,0.253214836120605,A2A8L1,A2A8L1,Chromodomain-helicase-DNA-binding protein 5,Chd5,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,7,222.51,9,2,2,3,2,NA,10.7306127548218,9.9232120513916,11.1186122894287,NA,9.68498229980469,9.35681247711182,7.3083028793335,11.566312789917,8.55738258361816,11.590012550354,NA,15,MYD88,IRAK4
FALSE,1.66025080530241,1.11659971872966,A2ADA5,A2ADA5,tRNA pseudouridine synthase-like 1,Pusl1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,6,31.992,12,3,3,3,3,17.855712890625,17.113712310791,17.5716133117676,17.5150127410889,20.5083122253418,16.8236122131348,16.2926120758057,16.7571125030518,15.5855131149292,15.9862127304077,16.4811134338379,16.723913192749,15,MYD88,IRAK4
FALSE,0.0965822243998,0.339323361714682,A2AF47,A2AF47,Dedicator of cytokinesis protein 11,Dock11,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,3,237.77,9,3,0,3,3,8.74544239044189,11.4838123321533,7.69631290435791,NA,NA,NA,9.15761280059814,7.55085277557373,10.0911121368408,9.64121246337891,7.87179279327393,9.39459228515625,15,MYD88,IRAK4
FALSE,0.613790655642021,0.88776683807373,A2AG58,A2AG58,Uncharacterized protein CXorf23 homolog,NA,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,5,90.11,11,3,2,3,3,14.3064126968384,13.9623126983643,12.8363122940063,13.1612129211426,NA,12.6914129257202,12.8347120285034,13.0229120254517,13.0333127975464,11.866512298584,13.3067121505737,13.2685127258301,15,MYD88,IRAK4
FALSE,0.176055646723866,0.235866864522299,A2AGT5,A2AGT5,Cytoskeleton-associated protein 5,Ckap5,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,9,225.63,12,3,3,3,3,14.0101127624512,13.3116121292114,12.3690128326416,13.7340126037598,13.231912612915,13.0171127319336,12.1963129043579,12.2564125061035,13.0496120452881,12.717812538147,13.3309125900269,12.9344120025635,15,MYD88,IRAK4
FALSE,0.565595125549362,-0.598866780598959,A2AI08,A2AI08,Taperin,Tprn,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,12,80.088,12,3,3,3,3,13.7365131378174,15.235912322998,14.9669122695923,15.9220123291016,13.9683122634888,15.8646125793457,15.0890130996704,15.0514125823975,15.3530130386353,15.4160127639771,15.2125129699707,15.1074123382568,15,MYD88,IRAK4
FALSE,0.0203010478614354,0.0393330256144218,A2AIV2,A2AIV2,Protein virilizer homolog,Kiaa1429,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,14,201.44,12,3,3,3,3,14.6594123840332,14.130012512207,13.4355125427246,14.3273124694824,15.0209131240845,12.1076126098633,13.4078130722046,13.5008125305176,13.2364120483398,12.983512878418,14.7686128616333,14.3548126220703,15,MYD88,IRAK4
FALSE,0.369926262578488,0.688766479492189,A2AJI0,A2AJI0,MAP7 domain-containing protein 1,Map7d1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,11,93.275,12,3,3,3,3,17.5705127716064,16.5015125274658,15.749813079834,16.7918128967285,18.098611831665,16.6573123931885,15.5891122817993,14.9266128540039,15.9378128051758,15.1831130981445,15.5255126953125,17.0469131469727,15,MYD88,IRAK4
