"FILE","MODEL","TOL","pLDDT","pTM","piTM","iScore","iRes","iCnt","FILE_MODEL","NUM_CLUSTERS","N_MONOMERS","ORIGIN","FILE_N","RANK","inv.RANK","VIS"
"MYD88_A2A791_x1",1,8.24,52.68,0.2982,0,0,0,0,"MYD88_A2A791_x1_x2_model_1",2,2,"MYD88","MYD88_A2A791_x1_2",5,1,"none"
"MYD88_A2A791_x1",2,20.79,49.65,0.3013,0,0,0,0,"MYD88_A2A791_x1_x2_model_2",2,2,"MYD88","MYD88_A2A791_x1_2",5,1,"none"
"MYD88_A2A791_x1",3,18.27,51.23,0.2983,0,0,0,0,"MYD88_A2A791_x1_x2_model_3",2,2,"MYD88","MYD88_A2A791_x1_2",5,1,"none"
"MYD88_A2A791_x1",4,20.6,54.39,0.3102,0.0784,1e-04,18,22,"MYD88_A2A791_x1_x2_model_4",1,2,"MYD88","MYD88_A2A791_x1_2",2,4,NA
"MYD88_A2A791_x1",5,17.12,50.18,0.302,0.5839,0.0239,114,218,"MYD88_A2A791_x1_x2_model_5",1,2,"MYD88","MYD88_A2A791_x1_2",1,5,NA
"MYD88_A2A8L1_x1",1,19.69,51.86,0.4141,0,0,0,0,"MYD88_A2A8L1_x1_x2_model_1",2,2,"MYD88","MYD88_A2A8L1_x1_2",5,1,"none"
"MYD88_A2A8L1_x1",2,16.27,44.79,0.4169,0,0,0,0,"MYD88_A2A8L1_x1_x2_model_2",2,2,"MYD88","MYD88_A2A8L1_x1_2",5,1,"none"
"MYD88_A2A8L1_x1",3,8.37,50.61,0.4148,0,0,0,0,"MYD88_A2A8L1_x1_x2_model_3",2,2,"MYD88","MYD88_A2A8L1_x1_2",5,1,"none"
"MYD88_A2A8L1_x1",4,7.37,51.62,0.4185,0,0,0,0,"MYD88_A2A8L1_x1_x2_model_4",2,2,"MYD88","MYD88_A2A8L1_x1_2",5,1,"none"
"MYD88_A2A8L1_x1",5,18.88,48.16,0.4265,0.022,1e-04,16,19,"MYD88_A2A8L1_x1_x2_model_5",1,2,"MYD88","MYD88_A2A8L1_x1_2",1,5,NA
"MYD88_B7ZMP1_x1",1,3.26,83.29,0.6285,0.0668,0.0018,21,15,"MYD88_B7ZMP1_x1_x2_model_1",1,2,"MYD88","MYD88_B7ZMP1_x1_2",3,3,NA
"MYD88_B7ZMP1_x1",2,2.31,84,0.6278,0.0653,0.0022,19,14,"MYD88_B7ZMP1_x1_x2_model_2",1,2,"MYD88","MYD88_B7ZMP1_x1_2",2,4,NA
"MYD88_B7ZMP1_x1",3,1.11,85.1,0.6301,0.0191,8e-04,11,6,"MYD88_B7ZMP1_x1_x2_model_3",2,2,"MYD88","MYD88_B7ZMP1_x1_2",4,2,NA
"MYD88_B7ZMP1_x1",4,0.7,85.26,0.6437,0,0,0,0,"MYD88_B7ZMP1_x1_x2_model_4",2,2,"MYD88","MYD88_B7ZMP1_x1_2",5,1,"none"
"MYD88_B7ZMP1_x1",5,1.14,84.71,0.7128,0.5798,0.3828,65,59,"MYD88_B7ZMP1_x1_x2_model_5",1,2,"MYD88","MYD88_B7ZMP1_x1_2",1,5,NA
"MYD88_D3Z6Q9_x1",1,17.83,64.28,0.3532,0,0,0,0,"MYD88_D3Z6Q9_x1_x2_model_1",2,2,"MYD88","MYD88_D3Z6Q9_x1_2",5,1,"none"
"MYD88_D3Z6Q9_x1",2,8.58,63.95,0.3468,0,0,0,0,"MYD88_D3Z6Q9_x1_x2_model_2",2,2,"MYD88","MYD88_D3Z6Q9_x1_2",5,1,"none"
"MYD88_D3Z6Q9_x1",3,3.81,62.89,0.3373,0,0,0,0,"MYD88_D3Z6Q9_x1_x2_model_3",2,2,"MYD88","MYD88_D3Z6Q9_x1_2",5,1,"none"
"MYD88_D3Z6Q9_x1",4,9.48,64,0.3448,0.0014,0,2,1,"MYD88_D3Z6Q9_x1_x2_model_4",2,2,"MYD88","MYD88_D3Z6Q9_x1_2",5,1,"none"
"MYD88_D3Z6Q9_x1",5,10.66,62,0.3353,0,0,0,0,"MYD88_D3Z6Q9_x1_x2_model_5",2,2,"MYD88","MYD88_D3Z6Q9_x1_2",5,1,"none"
"MYD88_E9PYK3_x1",1,8.46,60.58,0.5064,0,0,0,0,"MYD88_E9PYK3_x1_x2_model_1",2,2,"MYD88","MYD88_E9PYK3_x1_2",5,1,"none"
"MYD88_E9PYK3_x1",2,28.51,57.45,0.5055,0.0152,0,10,9,"MYD88_E9PYK3_x1_x2_model_2",2,2,"MYD88","MYD88_E9PYK3_x1_2",5,1,"none"
"MYD88_E9PYK3_x1",3,16.76,59.64,0.5167,0,0,0,0,"MYD88_E9PYK3_x1_x2_model_3",2,2,"MYD88","MYD88_E9PYK3_x1_2",5,1,"none"
"MYD88_E9PYK3_x1",4,15.65,61.91,0.4926,0.4087,0.0048,41,78,"MYD88_E9PYK3_x1_x2_model_4",1,2,"MYD88","MYD88_E9PYK3_x1_2",1,5,NA
"MYD88_E9PYK3_x1",5,18.76,58.04,0.5037,0.0289,1e-04,14,17,"MYD88_E9PYK3_x1_x2_model_5",1,2,"MYD88","MYD88_E9PYK3_x1_2",2,4,NA
"MYD88_MYD88_MOUSE_x1",1,5.39,76.37,0.3549,0.0508,0.0029,15,14,"MYD88_MYD88_MOUSE_x1_x2_model_1",1,2,"MYD88","MYD88_MYD88_MOUSE_x1_2",4,2,NA
"MYD88_MYD88_MOUSE_x1",2,6.1,72.4,0.3189,0.0014,0,2,1,"MYD88_MYD88_MOUSE_x1_x2_model_2",2,2,"MYD88","MYD88_MYD88_MOUSE_x1_2",5,1,"none"
"MYD88_MYD88_MOUSE_x1",3,0.32,74.97,0.3974,0.2313,0.0885,72,75,"MYD88_MYD88_MOUSE_x1_x2_model_3",1,2,"MYD88","MYD88_MYD88_MOUSE_x1_2",2,4,NA
"MYD88_MYD88_MOUSE_x1",4,1.13,72.3,0.3401,0.1471,0.0298,30,39,"MYD88_MYD88_MOUSE_x1_x2_model_4",1,2,"MYD88","MYD88_MYD88_MOUSE_x1_2",3,3,NA
"MYD88_MYD88_MOUSE_x1",5,0.25,75.04,0.4347,0.2991,0.1137,52,47,"MYD88_MYD88_MOUSE_x1_x2_model_5",1,2,"MYD88","MYD88_MYD88_MOUSE_x1_2",1,5,NA
"MYD88_O08529_x1",1,0.35,85.28,0.7035,0.5831,0.3989,58,61,"MYD88_O08529_x1_x2_model_1",1,2,"MYD88","MYD88_O08529_x1_2",1,5,NA
"MYD88_O08529_x1",2,2.41,82.7,0.644,0.3747,0.0088,36,55,"MYD88_O08529_x1_x2_model_2",1,2,"MYD88","MYD88_O08529_x1_2",5,1,NA
"MYD88_O08529_x1",3,5.74,82.8,0.6708,0.1418,0.0186,28,25,"MYD88_O08529_x1_x2_model_3",1,2,"MYD88","MYD88_O08529_x1_2",3,3,NA
"MYD88_O08529_x1",4,0.86,86.33,0.747,0.5574,0.3711,72,83,"MYD88_O08529_x1_x2_model_4",1,2,"MYD88","MYD88_O08529_x1_2",2,4,NA
"MYD88_O08529_x1",5,2.87,82.38,0.6282,0.1553,0.0153,30,34,"MYD88_O08529_x1_x2_model_5",1,2,"MYD88","MYD88_O08529_x1_2",4,2,NA
"MYD88_O08749_x1",1,1.66,86.22,0.6082,0,0,0,0,"MYD88_O08749_x1_x2_model_1",2,2,"MYD88","MYD88_O08749_x1_2",5,1,"none"
"MYD88_O08749_x1",2,3.34,86.31,0.619,0.0142,6e-04,9,5,"MYD88_O08749_x1_x2_model_2",2,2,"MYD88","MYD88_O08749_x1_2",2,4,NA
"MYD88_O08749_x1",3,1.57,86.42,0.65,0.0559,0.0029,16,12,"MYD88_O08749_x1_x2_model_3",1,2,"MYD88","MYD88_O08749_x1_2",1,5,NA
"MYD88_O08749_x1",4,0.77,87.21,0.6195,0,0,0,0,"MYD88_O08749_x1_x2_model_4",2,2,"MYD88","MYD88_O08749_x1_2",5,1,"none"
"MYD88_O08749_x1",5,2.76,84.55,0.6068,0.0096,1e-04,6,4,"MYD88_O08749_x1_x2_model_5",2,2,"MYD88","MYD88_O08749_x1_2",3,3,NA
"MYD88_O08750_x1",1,12.13,52.53,0.2855,0,0,0,0,"MYD88_O08750_x1_x2_model_1",2,2,"MYD88","MYD88_O08750_x1_2",5,1,"none"
"MYD88_O08750_x1",2,22.9,52.29,0.2844,0,0,0,0,"MYD88_O08750_x1_x2_model_2",2,2,"MYD88","MYD88_O08750_x1_2",5,1,"none"
"MYD88_O08750_x1",3,19.25,52.76,0.2725,0,0,0,0,"MYD88_O08750_x1_x2_model_3",2,2,"MYD88","MYD88_O08750_x1_2",5,1,"none"
"MYD88_O08750_x1",4,10.41,53.69,0.2793,0,0,0,0,"MYD88_O08750_x1_x2_model_4",2,2,"MYD88","MYD88_O08750_x1_2",5,1,"none"
"MYD88_O08750_x1",5,6.36,51.74,0.2767,0,0,0,0,"MYD88_O08750_x1_x2_model_5",2,2,"MYD88","MYD88_O08750_x1_2",5,1,"none"
"MYD88_O08796_x1",1,4.77,69.09,0.5291,0.1792,0.008,31,29,"MYD88_O08796_x1_x2_model_1",1,2,"MYD88","MYD88_O08796_x1_2",2,4,NA
"MYD88_O08796_x1",2,4.09,67.52,0.5158,0.0973,0.0018,22,27,"MYD88_O08796_x1_x2_model_2",1,2,"MYD88","MYD88_O08796_x1_2",4,2,NA
"MYD88_O08796_x1",3,2.59,70.8,0.535,0.2049,0.0036,29,49,"MYD88_O08796_x1_x2_model_3",1,2,"MYD88","MYD88_O08796_x1_2",3,3,NA
"MYD88_O08796_x1",4,2.8,70.78,0.5318,0.0064,0,5,3,"MYD88_O08796_x1_x2_model_4",2,2,"MYD88","MYD88_O08796_x1_2",5,1,"none"
"MYD88_O08796_x1",5,7.42,66.32,0.5137,0.3453,0.0152,34,35,"MYD88_O08796_x1_x2_model_5",1,2,"MYD88","MYD88_O08796_x1_2",1,5,NA
"MYD88_O09044_x1",1,1.11,75.45,0.4542,0.0014,0,2,1,"MYD88_O09044_x1_x2_model_1",2,2,"MYD88","MYD88_O09044_x1_2",5,1,"none"
"MYD88_O09044_x1",2,2.72,70.57,0.3624,0.1681,0.0051,25,24,"MYD88_O09044_x1_x2_model_2",1,2,"MYD88","MYD88_O09044_x1_2",1,5,NA
"MYD88_O09044_x1",3,0.75,72.33,0.3664,0.0014,0,2,1,"MYD88_O09044_x1_x2_model_3",2,2,"MYD88","MYD88_O09044_x1_2",5,1,"none"
"MYD88_O09044_x1",4,1.26,73.62,0.3795,0.0014,0,2,1,"MYD88_O09044_x1_x2_model_4",2,2,"MYD88","MYD88_O09044_x1_2",5,1,"none"
"MYD88_O09044_x1",5,1.97,70.73,0.3666,0.0283,0.001,13,8,"MYD88_O09044_x1_x2_model_5",2,2,"MYD88","MYD88_O09044_x1_2",2,4,NA
"MYD88_O09110_x1",1,1.15,76.63,0.5437,0.2813,0.1756,48,47,"MYD88_O09110_x1_x2_model_1",1,2,"MYD88","MYD88_O09110_x1_2",1,5,NA
"MYD88_O09110_x1",2,2.56,75.83,0.5159,0.2021,0.0546,38,36,"MYD88_O09110_x1_x2_model_2",1,2,"MYD88","MYD88_O09110_x1_2",2,4,NA
"MYD88_O09110_x1",3,1.28,74.68,0.4948,0.189,0.0491,42,47,"MYD88_O09110_x1_x2_model_3",1,2,"MYD88","MYD88_O09110_x1_2",3,3,NA
"MYD88_O09110_x1",4,0.86,75.68,0.4897,0.1521,0.0217,33,32,"MYD88_O09110_x1_x2_model_4",1,2,"MYD88","MYD88_O09110_x1_2",5,1,NA
"MYD88_O09110_x1",5,2.87,75.02,0.4904,0.1902,0.0276,36,36,"MYD88_O09110_x1_x2_model_5",1,2,"MYD88","MYD88_O09110_x1_2",4,2,NA
"MYD88_O35316_x1",1,1.26,78.51,0.6115,0.116,0.0146,35,46,"MYD88_O35316_x1_x2_model_1",1,2,"MYD88","MYD88_O35316_x1_2",4,2,NA
"MYD88_O35316_x1",2,1.82,78.94,0.6353,0.258,0.0481,47,47,"MYD88_O35316_x1_x2_model_2",1,2,"MYD88","MYD88_O35316_x1_2",2,4,NA
"MYD88_O35316_x1",3,1.18,78.78,0.6202,0.2366,0.0349,44,42,"MYD88_O35316_x1_x2_model_3",1,2,"MYD88","MYD88_O35316_x1_2",3,3,NA
"MYD88_O35316_x1",4,0.78,81.39,0.6436,0.2969,0.0839,47,45,"MYD88_O35316_x1_x2_model_4",1,2,"MYD88","MYD88_O35316_x1_2",1,5,NA
"MYD88_O35316_x1",5,1.01,77.91,0.6057,0.1539,0.0058,30,30,"MYD88_O35316_x1_x2_model_5",1,2,"MYD88","MYD88_O35316_x1_2",5,1,NA
"MYD88_O35379_x1",1,3.38,76.97,0.6529,0,0,0,0,"MYD88_O35379_x1_x2_model_1",2,2,"MYD88","MYD88_O35379_x1_2",5,1,"none"
"MYD88_O35379_x1",2,8.51,74.96,0.694,0,0,0,0,"MYD88_O35379_x1_x2_model_2",2,2,"MYD88","MYD88_O35379_x1_2",5,1,"none"
"MYD88_O35379_x1",3,0.81,74.23,0.7009,0,0,0,0,"MYD88_O35379_x1_x2_model_3",2,2,"MYD88","MYD88_O35379_x1_2",5,1,"none"
"MYD88_O35379_x1",4,1.93,79.32,0.7059,0,0,0,0,"MYD88_O35379_x1_x2_model_4",2,2,"MYD88","MYD88_O35379_x1_2",5,1,"none"
"MYD88_O35379_x1",5,7.19,74.22,0.6932,0,0,0,0,"MYD88_O35379_x1_x2_model_5",2,2,"MYD88","MYD88_O35379_x1_2",5,1,"none"
"MYD88_O35593_x1",1,3,71.17,0.3638,0.1941,0.0171,36,27,"MYD88_O35593_x1_x2_model_1",1,2,"MYD88","MYD88_O35593_x1_2",4,2,NA
"MYD88_O35593_x1",2,4.17,73.85,0.3712,0.0628,0.0011,20,20,"MYD88_O35593_x1_x2_model_2",1,2,"MYD88","MYD88_O35593_x1_2",5,1,NA
"MYD88_O35593_x1",3,2.19,71.37,0.4325,0.314,0.1052,63,65,"MYD88_O35593_x1_x2_model_3",1,2,"MYD88","MYD88_O35593_x1_2",2,4,NA
