Significant,-LOG(P-value),Difference,T:.Protein.IDs,T:.Majority.protein.IDs,T:.Protein.names,T:.Gene.names,Symbol.color,Symbol.type,Symbol.size,Show.label,C:.Only.identified.by.site,C:.Reverse,C:.Potential.contami1000t,N:.Peptides,N:.Mol..weight.[kDa],N:.Valid.values,N:.Valid.values.15.min,N:.Valid.values.30.min,N:.Valid.values.60.min,N:.Valid.values.unstim,15.min.FG.167.neu,15.min.FG.168.neu,15.min.FG.169.neu,15.min.FG.170.neu,30.min.FG171.neu,30.min.FG172.neu,30.min.FG173.neu,30.min.FG174.neu,60.min.FG175.neu,60.min.FG176.neu,60.min.FG177.neu,60.min.FG178.neu,unstim.FG163.neu,unstim.FG164.neu,unstim.FG165.neu,unstim.FG166.neu,ORIGIN,PULLED_PROTEIN,KO
FALSE,7.12305754276766e-4,-9.62495803833008e-4,A2A3V1,A2A3V1,A-kinase anchor protein 17B,Akap17b,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,2,111.06,13,4,2,3,4,9.9228687286377,10.5351686477661,10.2843685150146,11.1341686248779,9.46763896942139,10.0182189941406,NA,NA,NA,10.5760688781738,9.41853904724121,10.4815683364868,10.0550689697266,11.5096683502197,10.4726686477661,9.84301853179932,15,MYD88,IRAK1
FALSE,0.29747403749162,0.170024871826172,A2A4P0,A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,31,142.57,16,4,4,4,4,16.7202682495117,17.6961688995361,17.4917678833008,17.4916687011719,17.2799682617188,16.8700695037842,16.4308681488037,16.7868690490723,16.9716682434082,16.0789680480957,16.174768447876,16.5619678497314,16.9283676147461,17.4378681182861,17.1548690795898,17.1986694335938,15,MYD88,IRAK1
FALSE,0.0216453971025845,0.0429501533508301,A2A5Z6,A2A5Z6,E3 ubiquitin-protein ligase SMURF2,Smurf2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,2,86.174,15,4,4,3,4,11.8540687561035,10.0418691635132,12.5199689865112,11.8235683441162,11.4650688171387,11.2048692703247,12.9889688491821,13.7512683868408,12.8651685714722,NA,11.4679689407349,11.2808685302734,10.4073686599731,11.6554689407349,11.5695686340332,12.4352684020996,15,MYD88,IRAK1
FALSE,0.557935801877512,0.550074815750122,A2A6A1,A2A6A1,G patch domain-containing protein 8,Gpatch8,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,7,164.99,16,4,4,4,4,14.2879686355591,15.1327686309814,15.1967687606812,13.7906684875488,14.6874685287476,14.5107688903809,14.9302682876587,15.1309680938721,14.1893692016602,13.9062690734863,14.3647689819336,13.8896684646606,13.161768913269,14.2250690460205,14.2293691635132,14.5916681289673,15,MYD88,IRAK1
FALSE,0.160336403005302,0.244575262069702,A2A6Q5,A2A6Q5,Cell division cycle protein 27 homolog,Cdc27,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,7,91.841,16,4,4,4,4,13.7412691116333,14.8570690155029,14.0737686157227,15.3219690322876,14.7680683135986,13.7860689163208,13.8428688049316,13.8428688049316,14.710768699646,14.0393686294556,12.809268951416,14.8609685897827,13.4775686264038,15.5236682891846,14.349268913269,13.6652688980103,15,MYD88,IRAK1
FALSE,0,NA,A2A7S8,A2A7S8,Uncharacterized protein KIAA1522,Kiaa1522,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,1,104.84,8,0,2,2,4,NA,NA,NA,NA,12.401668548584,NA,NA,11.1474685668945,10.8905687332153,NA,10.9366683959961,NA,10.0641689300537,10.4589691162109,11.085168838501,11.3189687728882,15,MYD88,IRAK1
FALSE,0.0129965221785692,-0.0177164077758789,A2A8L1,A2A8L1,Chromodomain-helicase-DNA-binding protein 5,Chd5,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,14,222.51,12,3,2,3,4,11.3613691329956,11.4734687805176,11.5121688842773,NA,10.3303489685059,13.1006689071655,NA,NA,NA,10.7847690582275,10.3722686767578,11.7318687438965,11.0203685760498,10.6572685241699,12.3473691940308,11.8418684005737,15,MYD88,IRAK1
FALSE,0.227083609227546,0.993643363316854,A2ABV5,A2ABV5,Mediator of RNA polymerase II transcription subunit 14,Med14,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,3,160.96,12,4,3,2,3,12.7589683532715,14.078369140625,13.6508684158325,9.06090927124023,13.4860687255859,13.2956686019897,11.0993690490723,NA,NA,NA,12.2778692245483,12.3799686431885,9.39546871185303,10.9224691390991,NA,13.8629684448242,15,MYD88,IRAK1
FALSE,1.19231269302544,0.583900451660156,A2ADA5,A2ADA5,tRNA pseudouridine synthase-like 1,Pusl1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,7,31.992,16,4,4,4,4,17.7801685333252,17.4611682891846,17.9643688201904,17.9307689666748,17.3414688110352,17.5892677307129,18.2217693328857,17.4566688537598,17.7112693786621,17.764669418335,17.0212688446045,17.4246692657471,16.6734676361084,16.9779682159424,17.7026691436768,17.4467678070068,15,MYD88,IRAK1
FALSE,0.0870595056892204,-0.0837748050689697,A2AG58,A2AG58,Uncharacterized protein CXorf23 homolog,NA,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,7,90.11,16,4,4,4,4,13.82776927948,14.1391687393188,13.9441690444946,14.1716690063477,14.7583684921265,14.2870683670044,14.0624685287476,14.0037689208984,13.1797685623169,12.9237689971924,13.4409685134888,13.5384683609009,13.39146900177,15.0133686065674,14.1271686553955,13.8858690261841,15,MYD88,IRAK1
FALSE,2.35173267381093,0.879849672317505,A2AGT5,A2AGT5,Cytoskeleton-associated protein 5,Ckap5,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,23,225.63,16,4,4,4,4,14.6053686141968,15.2297687530518,14.9857683181763,14.9142684936523,14.7194681167603,14.6300687789917,14.3787689208984,14.9530687332153,15.181568145752,14.4649686813354,14.0711688995361,14.2873687744141,13.7359685897827,14.4614686965942,13.9602689743042,14.058069229126,15,MYD88,IRAK1
TRUE,3.18765232419007,5.65404987335205,A2AI08,A2AI08,Taperin,Tprn,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,15,80.088,16,4,4,4,4,16.6126689910889,17.2629680633545,17.6191692352295,17.1090679168701,15.7869682312012,15.3444681167603,14.6989688873291,15.2389688491821,14.7918682098389,14.2697687149048,14.0731687545776,14.2334690093994,9.14106845855713,11.4656686782837,12.3354692459106,13.0454683303833,15,MYD88,IRAK1
FALSE,1.12581459962481,0.578349590301514,A2AIV2,A2AIV2,Protein virilizer homolog,Kiaa1429,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,16,201.44,16,4,4,4,4,14.8094682693481,15.0818681716919,15.6834688186646,14.5744686126709,14.2774686813354,14.7697687149048,14.299168586731,14.9136686325073,13.2898683547974,13.2255687713623,12.9842691421509,14.3733692169189,14.2446689605713,14.5166692733765,14.2931690216064,14.7813682556152,15,MYD88,IRAK1
FALSE,0.522452006079895,0.387574911117554,A2AJI0,A2AJI0,MAP7 domain-containing protein 1,Map7d1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,13,93.275,16,4,4,4,4,17.0077686309814,17.2600688934326,17.4404678344727,17.3224678039551,17.2235679626465,17.1678676605225,17.2001686096191,16.9120693206787,17.0957679748535,17.04176902771,17.5172691345215,17.0762691497803,15.9036684036255,17.0394687652588,17.1619682312012,17.3753681182861,15,MYD88,IRAK1
FALSE,0.51361186446348,-0.590389887491862,A2AJK6,A2AJK6,Chromodomain-helicase-DNA-binding protein 7,Chd7,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,6,334.06,9,4,2,0,3,6.43181896209717,7.31787872314453,8.46625900268555,7.27367877960205,7.82685852050781,NA,NA,7.25728893280029,NA,NA,NA,NA,8.32976913452148,7.71348857879639,7.84513854980469,NA,15,MYD88,IRAK1
FALSE,2.64530198652421,1.4354996681213399,A2AKG8,A2AKG8,Focadhesin,Focad,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,11,198.95,16,4,4,4,4,15.0618686676025,15.612268447876,15.7111682891846,14.6521682739258,14.0538692474365,13.8468685150146,13.0399684906006,14.4543685913086,13.6816692352295,17.5081691741943,17.5689678192139,17.574369430542,13.6067686080933,13.5935688018799,13.9446687698364,14.1504688262939,15,MYD88,IRAK1
FALSE,1.01810640267082,0.611824989318848,A2AKX3,A2AKX3,Probable helicase senataxin,Setx,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,7,297.59,16,4,4,4,4,12.7955684661865,12.2497692108154,11.8655691146851,12.3450689315796,12.711968421936,11.4033689498901,12.3917684555054,11.2574691772461,11.4623689651489,11.5058689117432,8.18874835968018,12.2606687545776,11.1416692733765,12.2679691314697,11.901068687439,11.4979686737061,15,MYD88,IRAK1
FALSE,0.22579444597893,0.441683053970337,A2AL36,A2AL36,Centriolin,Cntrl,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,4,268.88,14,3,3,4,4,NA,10.0553684234619,12.8269691467285,12.5701684951782,11.4440689086914,11.6196689605713,10.0966091156006,NA,11.7657690048218,10.9225692749023,10.4773683547974,10.7524690628052,10.89026927948,11.831768989563,11.2361688613892,11.5450687408447,15,MYD88,IRAK1
FALSE,0.291752500868072,0.437649965286255,A2ALW5,A2ALW5,DnaJ homolog subfamily C member 25,Dnajc25,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,2,41.937,15,4,3,4,4,13.421968460083,15.3939685821533,14.0733690261841,14.7177686691284,14.361668586731,13.9627685546875,NA,15.3135681152344,13.9225692749023,14.0951690673828,13.7995691299438,14.260368347168,12.6438684463501,14.7480688095093,14.0707683563232,14.3937692642212,15,MYD88,IRAK1
FALSE,1.26046666464359,0.848550081253052,A2APB8,A2APB8,Targeting protein for Xklp2,Tpx2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,15,85.893,16,4,4,4,4,16.3814678192139,17.0207691192627,17.5879688262939,17.5174694061279,16.9337692260742,16.8909683227539,17.008768081665,17.4991683959961,16.200267791748,16.0933685302734,16.0336685180664,16.2740688323975,15.6601686477661,16.5710678100586,16.2478694915771,16.6343688964844,15,MYD88,IRAK1
FALSE,1.6805041570268,1.11509990692139,A2AQ19,A2AQ19,RNA polymerase-associated protein RTF1 homolog,Rtf1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,1,80.796,16,4,4,4,4,12.2387685775757,12.1092691421509,13.4901685714722,12.6341686248779,12.0635690689087,12.3414688110352,12.8488683700562,13.0731687545776,12.0906686782837,11.4095687866211,12.0191688537598,11.5465688705444,11.3534688949585,12.0339689254761,11.274468421936,11.3500690460205,15,MYD88,IRAK1
FALSE,0.407216729529845,0.403675317764282,A2AR02,A2AR02,Peptidyl-prolyl cis-trans isomerase G,Ppig,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,7,88.324,16,4,4,4,4,15.7063684463501,16.3714694976807,16.6108684539795,16.5848693847656,15.9926681518555,16.5185680389404,16.5395679473877,17.0025691986084,15.5264682769775,15.4818687438965,15.1302680969238,15.6330690383911,14.8356685638428,16.1926689147949,16.6300678253174,16.0004692077637,15,MYD88,IRAK1
TRUE,1.55193979433251,2.50835251808167,A2ASS6,A2ASS6,Titin,Ttn,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,6,3906.4,16,4,4,4,4,8.75086879730225,9.69736862182617,11.1356687545776,9.59750843048096,6.73035907745361,10.69455909729,6.07998943328857,11.983868598938,8.18202877044678,5.59094905853271,5.9484395980835,8.14214897155762,8.14126873016357,8.86268901824951,6.10207843780518,6.04196834564209,15,MYD88,IRAK1
FALSE,0.44621960808392,0.329699993133545,A2AT37,A2AT37,NA,Upf2,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,40,147.55,16,4,4,4,4,18.1124687194824,19.0416679382324,19.048469543457,18.8863677978516,18.6065692901611,18.1809692382813,18.5251693725586,18.8520679473877,18.5329685211182,17.9993686676025,17.9594688415527,18.259069442749,17.7584686279297,18.5782680511475,18.5139694213867,18.9194679260254,15,MYD88,IRAK1
FALSE,0.495206181685951,0.732524871826172,A2BE28,A2BE28,Ribosomal biogenesis protein LAS1L,Las1l,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,10,89.413,16,4,4,4,4,15.9306688308716,16.9628677368164,17.5086688995361,14.7345685958862,15.3758687973022,15.1709690093994,13.667368888855,15.813868522644,13.8663692474365,14.4566688537598,13.7271690368652,13.6989688873291,15.1221685409546,15.1147689819336,16.3288688659668,15.6408681869507,15,MYD88,IRAK1
FALSE,1.62357066273482,0.727799415588379,A2RSY6,A2RSY6,TRMT1-like protein,Trmt1l,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,19,80.86,16,4,4,4,4,18.0450687408447,18.3287677764893,18.6316680908203,18.2809677124023,17.590368270874,17.7720680236816,17.1963691711426,18.1676692962646,17.9739685058594,17.0375690460205,17.0976676940918,17.390869140625,17.0080680847168,17.9232692718506,17.5733680725098,17.870569229126,15,MYD88,IRAK1
FALSE,0.691317318959437,0.546274900436401,A3KFM7,A3KFM7,Chromodomain-helicase-DNA-binding protein 6,Chd6,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,6,305.39,15,4,3,4,4,10.7724685668945,11.1926689147949,11.689868927002,11.5462684631348,11.1884689331055,10.6638584136963,10.483738899231,NA,11.8644685745239,11.3850688934326,9.43081855773926,10.1083688735962,9.82026863098145,11.2150688171387,10.8164691925049,11.1643686294556,15,MYD88,IRAK1
FALSE,0.113261603543684,0.150275309880575,A6H619,A6H619,PHD and RING finger domain-containing protein 1,Phrf1,"Color2 [A=255, R=169, G=169, B=169]",1,4,NA,NA,NA,NA,2,184.08,13,3,3,3,4,13.1064691543579,NA,12.9028692245483,13.1954689025879,11.4704685211182,13.0199689865112,NA,11.9170684814453,NA,11.2255687713623,13.0070686340332,12.6225690841675,12.4417686462402,13.0081691741943,12.1931686401367,14.0288686752319,15,MYD88,IRAK1
