"FILE","MODEL","RECYCLE","TOL","pLDDT","pTM","piTM","iScore","iRes","iCnt","FILE_MODEL","NUM_CLUSTERS","N_MONOMERS","ORIGIN","FILE_RECYCLE","RANK"
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988",2.599,74.36,0.68,0.2371,0.0516,50,39,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988",4
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_00",9999,74.69,0.6289,0.2397,0.0078,29,31,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_00",98
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_01",53.89,76.13,0.6487,0.2785,0.0194,45,59,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_01",76
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_02",6.33,75.47,0.6687,0.3002,0.0396,45,60,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_02",18
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_03",5.51,75.89,0.6607,0.2417,0.0224,37,38,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_03",59
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_04",2.61,74.83,0.6485,0.2673,0.0161,35,37,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_04",88
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_05",2.19,75.06,0.6496,0.271,0.0165,34,34,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_05",86
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_06",1.52,74.63,0.6314,0.1378,0.0033,26,21,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_06",101
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_07",2.82,74.91,0.6434,0.2762,0.0137,33,37,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_07",91
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_08",4.57,74.66,0.6304,0.0389,4e-04,18,15,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_08",103
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_09",5.11,73.86,0.6314,0.0474,4e-04,14,14,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_09",103
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_10",15.4,73.9,0.6456,0.0473,0.0011,21,16,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_10",102
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_11",3.02,73.62,0.6547,0.1044,0.0056,25,17,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_11",99
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_12",1.43,73.78,0.6561,0.1183,0.0081,28,21,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_12",97
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_13",1.55,73.31,0.6589,0.1594,0.0134,33,26,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_13",92
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_14",1.28,73.36,0.6571,0.1645,0.0162,36,26,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_14",87
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_15",1.74,73.77,0.6692,0.2179,0.0477,53,44,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_15",6
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_16",2.09,73.96,0.6632,0.1981,0.034,50,39,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_16",28
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_17",1.78,73.59,0.6695,0.2478,0.0474,60,59,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_17",7
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_18",2.41,73.55,0.6638,0.1891,0.0261,44,34,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_18",45
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",1,"model_1_multimer_v3_p1_230420_436988_recycled_19",2.01,73.43,0.6707,0.2364,0.0528,64,54,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_1_model_1_multimer_v3_p1_230420_436988_recycled_19",3
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",2,"model_2_multimer_v3_p1_230420_297907",5.64,72.92,0.6693,0.2848,0.0427,65,60,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2_model_2_multimer_v3_p1_230420_297907",13
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",2,"model_2_multimer_v3_p1_230420_297907_recycled_00",9999,73.56,0.6601,0.3523,0.0482,54,77,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2_model_2_multimer_v3_p1_230420_297907_recycled_00",5
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",2,"model_2_multimer_v3_p1_230420_297907_recycled_01",55.12,75.18,0.6558,0.2914,0.0297,56,85,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2_model_2_multimer_v3_p1_230420_297907_recycled_01",33
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",2,"model_2_multimer_v3_p1_230420_297907_recycled_02",5.08,74.43,0.6675,0.2036,0.0242,47,48,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2_model_2_multimer_v3_p1_230420_297907_recycled_02",51
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",2,"model_2_multimer_v3_p1_230420_297907_recycled_03",19.58,73.75,0.6665,0.1877,0.0197,38,31,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2_model_2_multimer_v3_p1_230420_297907_recycled_03",73
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",2,"model_2_multimer_v3_p1_230420_297907_recycled_04",3.2,73.44,0.6699,0.1947,0.0265,46,42,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2_model_2_multimer_v3_p1_230420_297907_recycled_04",44
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",2,"model_2_multimer_v3_p1_230420_297907_recycled_05",1.81,73.15,0.6673,0.2468,0.0392,60,58,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2_model_2_multimer_v3_p1_230420_297907_recycled_05",19
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",2,"model_2_multimer_v3_p1_230420_297907_recycled_06",1.75,72.85,0.6653,0.2616,0.0441,67,63,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2_model_2_multimer_v3_p1_230420_297907_recycled_06",9
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",2,"model_2_multimer_v3_p1_230420_297907_recycled_07",3.25,73.05,0.6676,0.2465,0.0407,61,58,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2_model_2_multimer_v3_p1_230420_297907_recycled_07",15
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",2,"model_2_multimer_v3_p1_230420_297907_recycled_08",4,73.06,0.6659,0.2479,0.0376,57,58,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2_model_2_multimer_v3_p1_230420_297907_recycled_08",22
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02",2,"model_2_multimer_v3_p1_230420_297907_recycled_09",2.05,73.41,0.6671,0.2481,0.0429,63,63,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2",1,2,"ARL8B_UN93B_ALL","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_02_2_model_2_multimer_v3_p1_230420_297907_recycled_09",12
