Significant,-LOG(P-value),Difference,Protein.IDs,Majority.protein.IDs,Protein.names,Gene.names,Potential.contaminant,Peptides,Mol..weight.[kDa],Valid.values,Valid.values.15.min,Valid.values.30.min,Valid.values.unstim,15.min.FG71.neu,15.min.FG72.neu,15.min.FG73.neu,30.min.FG74.neu,30.min.FG75.neu,30.min.FG77.neu,unstim.FG38.neu,unstim.FG39.neu,unstim.FG40.neu,ORIGIN,PULLED_PROTEIN,KO
TRUE,2.14339657526582,4.62373352050781,A2AG58,A2AG58,Uncharacterized protein CXorf23 homolog,NA,NA,3,90.11,12,4,3,5,17.405366897583,16.455867767334,16.9702663421631,17.1487674713135,16.980167388916,17.4962673187256,11.1635665893555,14.0285673141479,11.7681665420532,15,IRAK4,NONE
TRUE,2.56471867391889,1.52566655476888,A2AHG0,A2AHG0,Leucine zipper putative tumor suppressor 3,Lzts3,NA,14,74.985,12,4,3,5,18.5704669952393,17.8500671386719,18.3957672119141,18.5059661865234,19.038667678833,18.969066619873,16.6669673919678,16.6671676635742,16.9051666259766,15,IRAK4,NONE
TRUE,2.89334463634301,2.67570018768311,A2AKG8,A2AKG8,Focadhesin,Focad,NA,16,198.95,13,4,4,5,17.045467376709,17.4870662689209,18.1767673492432,18.470666885376,18.5197677612305,18.6660671234131,14.8933668136597,14.8281669616699,14.9606666564941,15,IRAK4,NONE
TRUE,1.3853312587461,2.2890993754069,A2AR02,A2AR02,Peptidyl-prolyl cis-trans isomerase G,Ppig,NA,8,88.324,13,4,4,5,17.6631660461426,16.564266204834,17.0571670532227,16.332067489624,17.751766204834,17.6790676116943,16.0263671875,13.5931673049927,14.7977666854858,15,IRAK4,NONE
TRUE,2.70010128252328,1.45033359527588,A2ARZ3,A2ARZ3,Fibrous sheath-interacting protein 2,Fsip2,NA,3,784.85,11,4,3,4,17.5176677703857,17.0232677459717,17.6385669708252,17.3944664001465,17.791166305542,17.6434669494629,16.08766746521,15.8919668197632,15.8488674163818,15,IRAK4,NONE
TRUE,4.4713092836891,4.38363329569499,A3KGV1,A3KGV1,Outer dense fiber protein 2,Odf2,NA,3,95.54,11,4,2,5,15.257266998291,15.2886667251587,15.1164674758911,16.1389675140381,NA,15.0215673446655,11.1807670593262,10.4630670547485,10.8676671981812,15,IRAK4,NONE
TRUE,1.47519389985456,-2.13431628545125,A6H5Z3,A6H5Z3,Exocyst complex component 6B,Exoc6b,NA,2,94.128,6,3,1,2,8.89935684204102,10.3954668045044,9.72582721710205,NA,NA,10.2370471954346,11.9704666137695,NA,11.6452665328979,15,IRAK4,NONE
TRUE,4.11137394378215,-4.9560661315918,B1AQJ2,B1AQJ2,Ubiquitin carboxyl-terminal hydrolase 36,Usp36,NA,4,119.91,10,4,2,4,11.109167098999,11.786566734314,12.1060667037964,NA,12.2965669631958,11.7502670288086,16.51806640625,16.6957664489746,16.6561660766602,15,IRAK4,NONE
TRUE,3.18208051401528,-1.83150005340576,B1ARD6,B1ARD6,NA,Slfn9,NA,6,103.99,12,4,3,5,12.4704675674438,12.6713666915894,12.7042675018311,12.6001672744751,12.9321670532227,13.4961671829224,14.7800674438477,14.1809673309326,14.3795671463013,15,IRAK4,NONE
TRUE,1.92890313518412,3.11508337656657,B2RX14,B2RX14,Terminal uridylyltransferase 4,Zcchc11,NA,7,184.65,11,4,3,4,14.5407667160034,13.2839670181274,14.3936672210693,14.1719675064087,13.9726667404175,14.9011669158936,11.2794666290283,10.6359672546387,NA,15,IRAK4,NONE
TRUE,3.06706364863106,-1.33683331807454,B2RX88,B2RX88,Centrosome and spindle pole associated protein 1,Cspp1,NA,3,138.31,12,4,3,5,12.1707668304443,12.0924673080444,12.1884670257568,11.9573669433594,12.7740669250488,12.3037672042847,13.1962671279907,13.6562671661377,13.6096668243408,15,IRAK4,NONE
TRUE,1.94839373827959,-2.26162354151408,CON__ENSEMBL:ENSBTAP00000007350;CON__P01030,CON__ENSEMBL:ENSBTAP00000007350;CON__P01030,NA,NA,+,2,192.99,8,3,2,3,10.4763870239258,NA,10.5829668045044,NA,10.0382165908813,9.36772727966309,13.3018674850464,12.8449668884277,12.2270669937134,15,IRAK4,NONE
TRUE,1.29487562559251,3.75652345021566,CON__P28800,CON__P28800,NA,NA,+,4,54.71,12,4,3,5,15.169867515564,15.9051675796509,15.3888673782349,15.0280666351318,15.411566734314,15.6439666748047,13.0624675750732,9.04709720611572,13.0847673416138,15,IRAK4,NONE
TRUE,0.892204563801982,-3.44859933853149,CON__Q14525,CON__Q14525,NA,NA,+,14,46.213,8,3,2,3,NA,15.5459671020508,12.8172674179077,13.3534669876099,NA,24.2998676300049,17.5056667327881,NA,17.7547664642334,15,IRAK4,NONE
TRUE,1.89462756571562,-1.90239969889323,CON__Q1RMK2,CON__Q1RMK2,NA,NA,+,11,65.056,12,4,3,5,16.8075675964355,15.5179672241211,16.83056640625,16.3435668945313,17.7980670928955,18.1472663879395,18.3698673248291,18.103666305542,18.3897666931152,15,IRAK4,NONE
TRUE,2.85528210185766,-1.63516680399577,CON__Q28107,CON__Q28107,NA,NA,+,30,248.98,13,4,4,5,16.924467086792,17.302267074585,17.5603675842285,17.7626667022705,18.4239673614502,17.8692665100098,19.037467956543,18.7185668945313,18.9365673065186,15,IRAK4,NONE
TRUE,3.0643194772133,1.63696606953939,E9PZJ8,E9PZJ8,Activating signal cointegrator 1 complex subunit 3,Ascc3,NA,43,250.55,13,4,4,5,17.6273670196533,17.5387668609619,17.6998672485352,16.5339660644531,17.5397663116455,17.9877662658691,16.3387680053711,15.8038673400879,15.8124675750732,15,IRAK4,NONE
TRUE,1.92963793144238,1.62910016377767,E9Q309,E9Q309,NA,Cep350,NA,12,346.45,12,4,3,5,13.8611669540405,13.756667137146,13.6493673324585,15.1536674499512,14.6449670791626,14.5976667404175,12.7388668060303,12.1673669815063,11.4736671447754,15,IRAK4,NONE
TRUE,1.58567139348386,1.73616663614909,E9Q5Z5,E9Q5Z5,NA,Fancf,NA,2,38.224,12,4,3,5,14.1338672637939,15.4828672409058,14.5867671966553,12.9680671691895,15.842267036438,15.2217674255371,13.2763671875,13.3375673294067,12.381067276001,15,IRAK4,NONE
TRUE,1.9133289797036,2.33387343088786,E9Q6E9,E9Q6E9,NA,Simc1,NA,2,146.62,10,4,2,4,11.7557668685913,11.8246669769287,11.906566619873,NA,12.3713665008545,12.1626672744751,10.0659666061401,NA,8.92428684234619,15,IRAK4,NONE
TRUE,2.72322318213715,2.05749956766764,F6SEU4;Q3UHC7,F6SEU4;Q3UHC7,Ras/Rap GTPase-activating protein SynGAP;Disabled homolog 2-interacting protein,Syngap1;Dab2ip,NA,2,148.24,12,4,3,5,20.2096672058105,19.4214668273926,20.011266708374,19.6823673248291,19.8903675079346,19.6049671173096,17.810567855835,18.096866607666,17.5624675750732,15,IRAK4,NONE
TRUE,4.12254359752551,2.05459976196289,G3X9J0,G3X9J0,NA,Sipa1l3,NA,44,195.06,13,4,4,5,19.5664672851563,19.3151664733887,19.5035667419434,19.6882667541504,19.6795673370361,19.9557666778564,17.5046672821045,17.5039672851563,17.2127666473389,15,IRAK4,NONE
TRUE,3.50989539436274,7.3039665222168,O08663,O08663,Methionine aminopeptidase 2,Metap2,NA,4,52.921,12,4,4,4,20.0431671142578,20.9245662689209,20.6466674804688,14.8598670959473,20.7153663635254,20.7816677093506,12.9938669204712,NA,13.4744672775269,15,IRAK4,NONE
TRUE,4.0259479043675,1.66903305053711,O08709,O08709,Peroxiredoxin-6,Prdx6,NA,3,24.87,11,4,2,5,17.194766998291,17.1450672149658,17.4147663116455,NA,16.8984661102295,17.2401676177979,15.4548673629761,15.6191673278809,15.6734666824341,15,IRAK4,NONE
TRUE,2.95512178442101,-2.03526624043783,O08756,O08756,3-hydroxyacyl-CoA dehydrogenase type-2,Hsd17b10,NA,3,27.418,10,2,3,5,13.1500673294067,13.1992673873901,NA,14.0253667831421,14.7931671142578,12.470067024231,15.0404672622681,15.1342668533325,15.4550666809082,15,IRAK4,NONE
TRUE,2.08709280443357,1.66750081380209,O08788,O08788,Dynactin subunit 1,Dctn1,NA,22,141.67,12,4,3,5,17.8191661834717,17.640567779541,17.9313678741455,17.5999660491943,17.9343662261963,17.9222679138184,16.4525661468506,16.469066619873,15.4669666290283,15,IRAK4,NONE
TRUE,4.32566129847417,1.61579958597819,O08810,O08810,116 kDa U5 small nuclear ribonucleoprotein component,Eftud2,NA,40,109.36,13,4,4,5,21.5572662353516,21.6345672607422,21.8148670196533,21.1547660827637,22.0132675170898,21.9775676727295,20.0005664825439,20.1307678222656,20.0279674530029,15,IRAK4,NONE
TRUE,1.12732189848541,-2.21243317921956,O08900,O08900,Zinc finger protein Aiolos,Ikzf3,NA,2,57.967,12,4,3,5,16.4334678649902,14.5787668228149,13.9195671081543,17.296667098999,16.1420669555664,16.45556640625,16.2473678588867,18.0973663330078,17.2243671417236,15,IRAK4,NONE
TRUE,1.60294131525742,2.5014664332072,O35129,O35129,Prohibitin-2,Phb2,NA,5,33.296,12,4,3,5,16.668966293335,15.8401670455933,17.8892669677734,16.2734680175781,16.6804676055908,16.8433666229248,14.2719669342041,13.6243667602539,14.9976673126221,15,IRAK4,NONE
TRUE,2.14841876461765,1.59344991048177,O35316,O35316,Sodium- and chloride-dependent taurine transporter,Slc6a6,NA,1,69.855,10,4,2,4,12.8620672225952,12.9319667816162,12.3439664840698,NA,13.0888671875,12.8281669616699,11.0744667053223,NA,11.1639671325684,15,IRAK4,NONE
TRUE,1.46215211802261,-3.61826705932617,O35682,O35682,Myeloid-associated differentiation marker,Myadm,NA,4,35.284,12,4,3,5,13.0077667236328,15.8355674743652,16.7405662536621,14.0226669311523,16.1442680358887,16.1162662506104,19.2575664520264,18.4582672119141,18.7228679656982,15,IRAK4,NONE
TRUE,1.83008304677592,2.46543312072754,O35704,O35704,Serine palmitoyltransferase 1,Sptlc1,NA,3,52.534,13,4,4,5,16.5373668670654,16.4438667297363,15.220067024231,15.3014669418335,15.8783674240112,17.1472663879395,13.9862670898438,12.7530670166016,14.0656671524048,15,IRAK4,NONE
TRUE,2.24373992017215,-2.11741622289022,O54734,O54734,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,Ddost,NA,4,49.027,11,3,3,5,14.8561668395996,NA,15.2706670761108,15.1915674209595,15.3103666305542,15.3891668319702,17.2703666687012,16.8039665222168,17.4681663513184,15,IRAK4,NONE
TRUE,1.42708882145668,2.26383336385091,O54784;Q8VDF3,O54784,Death-associated protein kinase 3,Dapk3,NA,8,51.421,13,4,4,5,17.8311672210693,17.2956676483154,18.0764675140381,18.1315670013428,18.6394672393799,18.6466674804688,14.4106674194336,16.7958679199219,15.2052669525146,15,IRAK4,NONE
TRUE,1.48611716411374,1.88306681315104,O54785,O54785,LIM domain kinase 2,Limk2,NA,4,72.201,11,4,2,5,13.5789670944214,14.852367401123,15.5360670089722,NA,15.9901666641235,15.4491672515869,12.9785671234131,12.5459671020508,12.7936668395996,15,IRAK4,NONE
TRUE,3.1842291185502,1.55340035756429,O54825,O54825,Bystin,Bysl,NA,7,49.783,12,4,3,5,17.4381675720215,17.4697666168213,17.2564678192139,16.6381664276123,16.3753662109375,17.4537677764893,16.1226673126221,15.6370668411255,15.7444667816162,15,IRAK4,NONE
TRUE,1.87898360969862,1.65069961547852,O55023,O55023,Inositol monophosphatase 1,Impa1,NA,9,30.436,12,4,3,5,18.6877670288086,17.4629669189453,18.1316661834717,18.7078666687012,19.2988662719727,18.4384670257568,16.1348667144775,16.6763668060303,16.5190677642822,15,IRAK4,NONE
TRUE,2.64476376197635,2.57080014546712,O55131;Q9DA97;Q8C650,O55131,Septin-7,7-Sep,NA,7,50.549,13,4,4,5,19.3658676147461,18.3138675689697,19.2613677978516,19.7007675170898,17.477367401123,19.8786678314209,16.5400676727295,16.0929679870605,16.595666885376,15,IRAK4,NONE
