"","FILE","MODEL","RECYCLE","TOL","pLDDT","pTM","piTM","iScore","iRes","iCnt","NUM_CLUSTERS","N_MONOMERS","FILE_RECYCLE","RANK","V1","Entry.Name","Gene.Names","Gene.Names..primary.","Gene.Names..synonym.","Organism","Organism..ID.","Protein.names","Proteomes","Taxonomic.lineage"
"1","MYD88_A2A791_x1",4,"model_4_multimer_v2_p1_230330_723988_recycled_00",9999,45.57,0.2738,0.4642,0.0772,95,164,1,2,"MYD88_A2A791_x1_4_model_4_multimer_v2_p1_230330_723988_recycled_00",1,"A2A791","ZMYM4_MOUSE","Zmym4 Kiaa0425 Zfp262 Znf262","Zmym4","Kiaa0425 Zfp262 Znf262","Mus musculus (Mouse)",10090,"Zinc finger MYM-type protein 4 (Zinc finger protein 262)","UP000000589: Chromosome 4","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"2","MYD88_A2A8L1_x1",2,"model_2_multimer_v2_p1_230330_807238_recycled_00",9999,42.07,0.4107,0.558,0.0072,62,114,2,2,"MYD88_A2A8L1_x1_2_model_2_multimer_v2_p1_230330_807238_recycled_00",1,"A2A8L1","CHD5_MOUSE","Chd5 Kiaa0444","Chd5","Kiaa0444","Mus musculus (Mouse)",10090,"Chromodomain-helicase-DNA-binding protein 5 (CHD-5) (EC 3.6.4.12) (ATP-dependent helicase CHD5)","UP000000589: Chromosome 4","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"3","MYD88_B7ZMP1_x1",5,"model_5_multimer_v2_p1_230330_842390_recycled_11",0.45,84.45,0.7054,0.592,0.3916,68,61,1,2,"MYD88_B7ZMP1_x1_5_model_5_multimer_v2_p1_230330_842390_recycled_11",1,"B7ZMP1","XPP3_MOUSE","Xpnpep3","Xpnpep3",NA,"Mus musculus (Mouse)",10090,"Xaa-Pro aminopeptidase 3 (X-Pro aminopeptidase 3) (EC 3.4.11.9) (Aminopeptidase P3) (APP3)","UP000000589: Chromosome 15","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"4","MYD88_D3Z6Q9_x1",5,"model_5_multimer_v2_p1_230329_046308_recycled_08",18.11,62.02,0.356,0.0737,0.0179,16,20,2,2,"MYD88_D3Z6Q9_x1_5_model_5_multimer_v2_p1_230329_046308_recycled_08",1,"D3Z6Q9","BIN2_MOUSE","Bin2","Bin2",NA,"Mus musculus (Mouse)",10090,"Bridging integrator 2","UP000000589: Unplaced","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"5","MYD88_MYD88_x1",5,"model_5_multimer_v3_p1_230420_475825_recycled_02",14.64,81.15,0.8142,0.8024,0.8531,588,678,1,14,"MYD88_MYD88_x1_5_model_5_multimer_v3_p1_230420_475825_recycled_02",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MYD88_E9PYK3_x1",1,"model_1_multimer_v2_p1_230328_489624_recycled_00",9999,58.16,0.477,0.3266,0.0075,64,95,2,2,"MYD88_E9PYK3_x1_1_model_1_multimer_v2_p1_230328_489624_recycled_00",1,"E9PYK3","PARP4_MOUSE","Parp4 Kiaa0177","Parp4","Kiaa0177","Mus musculus (Mouse)",10090,"Protein mono-ADP-ribosyltransferase PARP4 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 4) (ARTD4) (Poly [ADP-ribose] polymerase 4) (PARP-4) (Vault poly(ADP-ribose) polymerase) (VPARP) (mVparp)","UP000000589: Chromosome 14","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"7","MYD88_IL1R_x1",4,"model_4_multimer_v3_p1_230410_112524_recycled_10",0.91,74.68,0.4664,0.5169,0.4049,83,78,1,2,"MYD88_IL1R_x1_4_model_4_multimer_v3_p1_230410_112524_recycled_10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MYD88_O08529_x1",4,"model_4_multimer_v2_p1_230330_085188_recycled_02",1.89,85.42,0.7501,0.5587,0.4134,71,78,1,2,"MYD88_O08529_x1_4_model_4_multimer_v2_p1_230330_085188_recycled_02",1,"O08529","CAN2_MOUSE","Capn2","Capn2",NA,"Mus musculus (Mouse)",10090,"Calpain-2 catalytic subunit (EC 3.4.22.53) (80 kDa M-calpain subunit) (CALP80) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain)","UP000000589: Chromosome 1","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"9","MYD88_O08749_x1",5,"model_5_multimer_v2_p1_230328_891508_recycled_04",1.9,84.59,0.6503,0.3813,0.093,47,45,2,2,"MYD88_O08749_x1_5_model_5_multimer_v2_p1_230328_891508_recycled_04",1,"O08749","DLDH_MOUSE","Dld","Dld",NA,"Mus musculus (Mouse)",10090,"Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase)","UP000000589: Chromosome 12","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
"10","MYD88_O08750_x1",3,"model_3_multimer_v2_p1_230328_203088_recycled_16",20.78,52.74,0.2733,0.5594,0.0062,56,104,2,2,"MYD88_O08750_x1_3_model_3_multimer_v2_p1_230328_203088_recycled_16",1,"O08750","NFIL3_MOUSE","Nfil3 E4bp4","Nfil3","E4bp4","Mus musculus (Mouse)",10090,"Nuclear factor interleukin-3-regulated protein (E4 promoter-binding protein 4) (Embryo implantation-related NFIL3/E4BP4-like transcription factor)","UP000000589: Chromosome 13","Mus (subgenus), Mus (genus), Murinae (subfamily), Muridae (family), Muroidea (no rank), Myomorpha (suborder), Rodentia (order), Glires (no rank), Euarchontoglires (superorder), Boreoeutheria (no rank), Eutheria (no rank), Theria (no rank), Mammalia (class), Amniota (no rank), Tetrapoda (no rank), Dipnotetrapodomorpha (no rank), Sarcopterygii (superclass), Euteleostomi (no rank), Teleostomi (no rank), Gnathostomata (no rank), Vertebrata (no rank), Craniata (subphylum), Chordata (phylum), Deuterostomia (no rank), Bilateria (no rank), Eumetazoa (no rank), Metazoa (kingdom), Opisthokonta (no rank), Eukaryota (superkingdom), cellular organisms (no rank)"
