Significant,-LOG(P-value),Difference,Protein IDs,Majority protein IDs,Protein names,Gene names,Potential contaminant,Peptides,Mol. weight [kDa],Valid values,Valid values 30 min,Valid values unstim,30 min_1 neu,30 min_2 neu,30 min_3 neu,30 min_4 neu,unstim_1 neu,unstim_2 neu,unstim_3 neu,unstim_4 neu
,0,1.455800295,A2A3V1,A2A3V1,A-kinase anchor protein 17B,Akap17b,,1,111.06,5,1,4,12.1267004,NaN,NaN,NaN,11.23190022,10.68809986,10.12860012,10.63500023
,0.2583155371,0.1664748192,A2A4P0,A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,,26,142.57,8,4,4,17.07959938,16.99029922,17.21750069,16.44210052,16.84539986,16.78199959,16.22870064,17.20750046
,0.08619162208,-0.08552479744,A2A6A1,A2A6A1,G patch domain-containing protein 8,Gpatch8,,4,164.99,8,4,4,14.3305006,13.94340038,15.08399963,13.48060036,14.21220016,14.54850006,14.00279999,14.41709995
,0.4476524528,-0.6490747929,A2A6Q5,A2A6Q5,Cell division cycle protein 27 homolog,Cdc27,,12,91.841,7,3,4,13.78299999,NaN,14.73140049,12.4623003,14.54290009,14.41139984,13.51210022,14.76550007
,0,1.848474741,A2A791,A2A791,Zinc finger MYM-type protein 4,Zmym4,,3,172.44,5,4,1,12.40690041,12.35879993,12.06750011,11.42710018,NaN,10.21660042,NaN,NaN
,1.164880799,0.9592498938,A2A7S8,A2A7S8,Uncharacterized protein KIAA1522,Kiaa1522,,1,104.84,7,4,3,11.5848999,12.38609982,12.7670002,12.95260048,11.95830059,11.2343998,11.19750023,NaN
,0,0.2943668365,A2A8L1,A2A8L1,Chromodomain-helicase-DNA-binding protein 5,Chd5,,14,222.51,4,3,1,11.6619997,12.63059998,12.87880039,NaN,NaN,NaN,12.09609985,NaN
,0.6359287868,0.9142582417,A2AAE1,A2AAE1,Uncharacterized protein KIAA1109,Kiaa1109,,3,555.36,7,3,4,11.3895998,11.62930012,13.50380039,NaN,11.56040001,10.83600044,10.65009975,11.99340057
,0.4024310517,0.2816500664,A2ADA5,A2ADA5,tRNA pseudouridine synthase-like 1,Pusl1,,5,31.992,8,4,4,17.02969933,17.5284996,18.05789948,16.72220039,16.89290047,17.16189957,16.88929939,17.26759911
+,1.728813845,1.47874999,A2AG58,A2AG58,Uncharacterized protein CXorf23 homolog,,,5,90.11,8,4,4,16.09539986,15.30620003,15.17650032,14.25300026,13.08600044,14.39260006,13.6782999,13.7592001
,1.437284261,0.8157756329,A2AGT5,A2AGT5,Cytoskeleton-associated protein 5,Ckap5,,47,225.63,8,4,4,16.24410057,16.13120079,16.59250069,15.29409981,15.44110012,15.11289978,14.95219994,15.49259949
+,4.441598562,1.514750004,A2AHG0,A2AHG0,Leucine zipper putative tumor suppressor 3,Lzts3,,11,74.985,8,4,4,17.60930061,17.49690056,17.916399,17.26099968,16.08620071,16.06069946,15.96920013,16.10849953
,1.656161983,0.9901251793,A2AI08,A2AI08,Taperin,Tprn,,18,80.088,8,4,4,19.12669945,19.60180092,19.79789925,18.39119911,18.07620049,18.17689896,18.24939919,18.45459938
,0.9296096863,0.6402497292,A2AIV2,A2AIV2,Protein virilizer homolog,Kiaa1429,,16,201.44,8,4,4,16.48480034,15.93569946,16.78299904,16.13879967,15.70969963,15.61530018,15.00529957,16.45100021
,1.836871602,0.7714748383,A2AJI0,A2AJI0,MAP7 domain-containing protein 1,Map7d1,,12,93.275,8,4,4,18.04409981,17.58799934,18.36940002,17.90159988,17.23099899,17.18670082,16.81080055,17.58869934
+,3.743975794,3.087899446,A2AKG8,A2AKG8,Focadhesin,Focad,,29,198.95,8,4,4,16.9605999,18.01589966,17.62849998,16.51840019,14.6753006,13.97790051,13.89790058,14.22070026
,1.662056242,0.8979249001,A2AKX3,A2AKX3,Probable helicase senataxin,Setx,,12,297.59,8,4,4,14.8178997,14.52640057,14.7645998,13.76270008,13.81820011,13.34759998,13.24090004,13.87320042
+,1.501069577,-1.402197599,A2AL36,A2AL36,Centriolin,Cntrl,,7,268.88,8,4,4,12.43610001,11.40840054,10.56260967,10.47939968,13.02280045,12.07110023,12.87069988,12.53069973
,1.855851861,-1.014825503,A2AN08,A2AN08,E3 ubiquitin-protein ligase UBR4,Ubr4,,66,572.28,7,3,4,NaN,10.72679996,10.84969997,10.87720013,11.23570061,11.92450047,11.8227005,12.34800053
,1.028855436,0.4844245911,A2APB8,A2APB8,Targeting protein for Xklp2,Tpx2,,19,85.893,8,4,4,17.26339912,16.80139923,17.74699974,17.70929909,17.13159943,16.73570061,16.9897995,16.72629929
+,1.515683408,1.325925112,A2AQ19,A2AQ19,RNA polymerase-associated protein RTF1 homolog,Rtf1,,13,80.796,7,3,4,14.0472002,14.09570026,15.44799995,NaN,13.32800007,13.14109993,12.72599983,13.62240028
,0.541648285,0.738582929,A2AR02,A2AR02,Peptidyl-prolyl cis-trans isomerase G,Ppig,,5,88.324,7,4,3,14.79030037,16.95759964,16.9734993,16.40519905,15.26620007,15.61240005,15.75059986,NaN
,0.1685794875,-0.1989097595,A2ASS6,A2ASS6,Titin,Ttn,,11,3906.4,8,4,4,8.918200493,8.925109863,9.823080063,10.17250061,9.515609741,10.51959991,8.937350273,9.661970139
,0.7137394703,0.5959698359,A2AWL7,A2AWL7,MAX gene-associated protein,Mga,,4,328.8,6,3,3,7.065520287,7.27519989,NaN,6.347049713,NaN,6.789649963,5.913959503,6.196250916
,0.002818362295,0.00325012207,A2BE28,A2BE28,Ribosomal biogenesis protein LAS1L,Las1l,,17,89.413,8,4,4,16.76269913,16.24290085,17.29059982,15.80669975,16.48460007,16.38439941,16.11000061,17.11089897
,0.4271083093,0.2876748244,A2CG49,A2CG49,Kalirin,Kalrn,,5,337,7,3,4,12.74639988,12.31449986,NaN,11.58260059,12.01049995,11.7371006,12.02600002,11.93370056
,2.664432589,0.8281502724,A2RSY6,A2RSY6,TRMT1-like protein,Trmt1l,,19,80.86,8,4,4,18.60560036,18.47459984,18.86380005,18.40110016,17.90209961,17.96459961,17.40360069,17.7621994
,0.7230377104,0.4824750423,A3KFM7,A3KFM7,Chromodomain-helicase-DNA-binding protein 6,Chd6,,7,305.39,8,4,4,11.72700024,11.47809982,11.87260056,12.14140034,11.5425005,11.46740055,10.46609974,11.8132
,0.3422509523,0.3618252277,A6H619,A6H619,PHD and RING finger domain-containing protein 1,Phrf1,,4,184.08,8,4,4,14.21819973,15.0255003,16.24850082,14.93280029,15.04069996,14.51200008,14.40690041,15.01809978
+,2.482029848,2.231375217,A6PWY4,A6PWY4,WD repeat-containing protein 76,Wdr76,,6,69.007,8,4,4,16.29850006,17.30760002,16.95470047,16.3696003,14.27670002,13.93640041,14.08549976,15.70629978
,0.7867325442,0.476449728,B1AQJ2,B1AQJ2,Ubiquitin carboxyl-terminal hydrolase 36,Usp36,,15,119.91,8,4,4,15.87440014,15.77810001,16.36779976,16.25639915,15.41940022,15.98460007,14.92399979,16.04290009
,1.141487587,0.8496001561,B1ARD6,B1ARD6,,Slfn9,,12,103.99,6,3,3,11.60159969,10.84150028,12.02130032,NaN,10.72430038,NaN,10.6619997,10.52929974
+,2.099105609,1.181250095,B1AY10,B1AY10,Transcriptional repressor NF-X1,Nfx1,,22,123.81,8,4,4,17.65399933,17.8220005,17.97830009,16.69580078,16.45660019,16.34000015,16.10420036,16.52429962
+,4.02167622,2.927324772,B1AY13,B1AY13,Ubiquitin carboxyl-terminal hydrolase 24,Usp24,,14,294,8,4,4,14.09319973,14.35309982,15.1942997,15.36310005,11.96189976,11.7524004,11.65569973,11.92440033
,0.9425918319,0.498374939,B1AZI6,B1AZI6,THO complex subunit 2,Thoc2,,25,182.77,8,4,4,16.92840004,17.17129898,17.04450035,16.21439934,16.30389977,16.34499931,15.95800018,16.75819969
+,1.797158258,2.054899693,B2RQC6,B2RQC6,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,Cad,,72,243.24,8,4,4,19.92679977,21.83609962,19.37949944,21.35899925,18.06909943,18.46529961,18.6508007,19.09659958
,0.7333170342,0.4008998871,B2RR83,B2RR83,Probable ATP-dependent RNA helicase YTHDC2,Ythdc2,,37,161.09,8,4,4,18.86770058,18.94849968,19.31139946,18.17910004,18.32250023,18.39999962,18.19960022,18.78100014
,1.099323465,0.4997496605,B2RRE7,B2RRE7,OTU domain-containing protein 4,Otud4,,24,123.05,8,4,4,18.7220993,19.14889908,19.13190079,18.41160011,18.2947998,18.56150055,17.93370056,18.62549973
,1.698416825,0.5642166932,B2RX14,B2RX14,Terminal uridylyltransferase 4,Zcchc11,,7,184.65,7,4,3,13.03590012,13.19789982,13.35140038,12.95660019,12.25990009,12.68610001,12.7677002,NaN
+,2.495271244,1.932874918,B2RXR6,B2RXR6,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,Ankrd44,,13,107.38,8,4,4,14.67440033,14.37230015,14.3781004,13.09119987,12.10770035,12.78100014,11.82970047,12.06610012
,1.526460493,1.049025059,B2RY56,B2RY56,RNA-binding protein 25,Rbm25,,13,99.551,8,4,4,17.91860008,17.39089966,18.34370041,16.9598999,16.6651001,16.64249992,16.03700066,17.07239914
,0,NaN,B7ZMP1,B7ZMP1,Probable Xaa-Pro aminopeptidase 3,Xpnpep3,,5,56.677,3,3,0,15.50259972,16.08740044,16.46419907,NaN,NaN,NaN,NaN,NaN
+,1.819156724,1.320074797,B7ZNG4,B7ZNG4,Tastin,Troap,,7,71.958,8,4,4,15.7468996,15.93519974,15.63249969,15.4059,15.09840012,13.32299995,14.37479973,14.64400005
+,2.123880146,2.0093503,B9EJ86,B9EJ86,Oxysterol-binding protein,Osbpl8,,17,101.27,8,4,4,16.77350044,18.1977005,18.69779968,17.14459991,16.34289932,15.20219994,15.52509975,15.70600033
,1.0292812,0.7731747627,C0HKD9;C0HKD8,C0HKD9;C0HKD8,,,,7,51.954,8,4,4,17.37039948,17.65060043,17.91909981,17.14019966,16.77280045,17.35650063,15.76169968,17.09659958
