"FILE","MODEL","TOL","pLDDT","pTM","piTM","iScore","iRes","iCnt","FILE_MODEL","NUM_CLUSTERS","N_MONOMERS","ORIGIN","FILE_N","RANK","inv.RANK","VIS"
"ARL8B_MOUSE_x1_ARL8B_MOUSE_x1",1,2.76,78.99,0.6904,0.2099,0.0269,39,29,"ARL8B_MOUSE_x1_ARL8B_MOUSE_x1_x2_model_1",1,2,"MAJER","ARL8B_MOUSE_x1_ARL8B_MOUSE_x1_2",2,4,NA
"ARL8B_MOUSE_x1_ARL8B_MOUSE_x1",2,6.97,78.93,0.6811,0.0623,0.0029,23,16,"ARL8B_MOUSE_x1_ARL8B_MOUSE_x1_x2_model_2",1,2,"MAJER","ARL8B_MOUSE_x1_ARL8B_MOUSE_x1_2",4,2,NA
"ARL8B_MOUSE_x1_ARL8B_MOUSE_x1",3,3.08,77.23,0.6712,0.1043,0.0053,27,18,"ARL8B_MOUSE_x1_ARL8B_MOUSE_x1_x2_model_3",1,2,"MAJER","ARL8B_MOUSE_x1_ARL8B_MOUSE_x1_2",3,3,NA
"ARL8B_MOUSE_x1_ARL8B_MOUSE_x1",4,2.21,80.64,0.7718,0.4069,0.2543,45,39,"ARL8B_MOUSE_x1_ARL8B_MOUSE_x1_x2_model_4",1,2,"MAJER","ARL8B_MOUSE_x1_ARL8B_MOUSE_x1_2",1,5,NA
"ARL8B_MOUSE_x1_ARL8B_MOUSE_x1",5,3.85,77.67,0.6715,0.0979,0.0017,22,15,"ARL8B_MOUSE_x1_ARL8B_MOUSE_x1_x2_model_5",1,2,"MAJER","ARL8B_MOUSE_x1_ARL8B_MOUSE_x1_2",5,1,NA
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1",1,2.6,74.36,0.3986,0.2371,0.0516,50,39,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_x2_model_1",1,2,"MAJER","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_2",1,5,NA
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1",2,5.64,72.92,0.3666,0.2848,0.0427,65,60,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_x2_model_2",1,2,"MAJER","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_2",2,4,NA
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1",3,1.07,74.55,0.3516,0.175,0.0179,37,37,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_x2_model_3",1,2,"MAJER","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_2",4,2,NA
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1",4,2.63,75,0.3339,0.2777,0.0237,45,63,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_x2_model_4",1,2,"MAJER","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_2",3,3,NA
"ARL8B_MOUSE_x1_UN93B_MOUSE_x1",5,1.16,75.16,0.3293,0.2555,0.0127,31,61,"ARL8B_MOUSE_x1_UN93B_MOUSE_x1_x2_model_5",1,2,"MAJER","ARL8B_MOUSE_x1_UN93B_MOUSE_x1_2",5,1,NA
