Significant,-LOG(P-value),Difference,T:.Protein.IDs,T:.Majority.protein.IDs,T:.Protein.names,T:.Gene.names,Symbol.color,Symbol.type,Symbol.size,Show.label,C:.Only.identified.by.site,C:.Reverse,C:.Potential.contami1000t,N:.Peptides,N:.Mol..weight.[kDa],N:.Valid.values,N:.Valid.values.60.min,N:.Valid.values.unstim,60.min.FG199.neu,60.min.FG200.neu,60.min.FG201.neu,60.min.FG202.neu,unstim.FG196.neu,unstim.FG197.neu,unstim.FG198.neu,ORIGIN,PULLED_PROTEIN,KO
TRUE,1.87693462800573,-4.49759197235107,A2A4P0,A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,Color2 [DarkGray],1,4,NA,NA,NA,NA,24,142.57,8,4,4,12.2246999740601,11.516900062561,10.871000289917,13.0781002044678,16.7247009277344,18.44580078125,14.0902996063232,60,IRAK1,NONE
TRUE,1.81016663748846,-4.3481117884318,A2A6A1,A2A6A1,G patch domain-containing protein 8,Gpatch8,Color2 [DarkGray],1,4,NA,NA,NA,NA,6,164.99,8,4,4,10.0271406173706,8.31938076019287,8.29615020751953,9.91168022155762,15.1829996109009,14.2807998657227,10.9962997436523,60,IRAK1,NONE
TRUE,0.98004230187865,-2.79255004723867,A2APB8,A2APB8,Targeting protein for Xklp2,Tpx2,Color2 [DarkGray],1,4,NA,NA,NA,NA,8,85.893,8,4,4,11.3325996398926,11.9378995895386,7.94150018692017,10.8358001708984,13.9704999923706,14.8399000167847,11.103099822998,60,IRAK1,NONE
TRUE,1.60849301178375,-2.86388341585795,B1AZI6,B1AZI6,THO complex subunit 2,Thoc2,Color2 [DarkGray],1,4,NA,NA,NA,NA,20,182.77,8,4,4,12.182900428772,11.6346998214722,11.6105003356934,12.7020998001099,15.1793994903564,16.4927005767822,13.0172004699707,60,IRAK1,NONE
TRUE,1.86211961969907,-2.58831683794658,B2RY56,B2RY56,RNA-binding protein 25,Rbm25,Color2 [DarkGray],1,4,NA,NA,NA,NA,11,99.551,8,4,4,13.2568998336792,13.0812997817993,13.1194000244141,14.2181997299194,16.377799987793,17.0627002716064,14.5812997817993,60,IRAK1,NONE
TRUE,1.92919889975885,-3.82903361320496,C0HKD9;C0HKD8,C0HKD9;C0HKD8,NA,NA,Color2 [DarkGray],1,4,NA,NA,NA,NA,7,51.954,8,4,4,16.2341003417969,14.5244998931885,15.6442003250122,16.6639995574951,20.5356006622314,20.62380027771,17.627799987793,60,IRAK1,NONE
TRUE,0.857222436196095,-2.83312527338664,C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8R1M2;Q64523;Q8CGP7;Q8CGP5;Q8BFU2;Q6GSS7,C0HKE9;C0HKE8;C0HKE7;C0HKE6;C0HKE5;C0HKE4;C0HKE3;C0HKE2;C0HKE1;Q8CGP6;Q8R1M2;Q64523;Q8CGP7;Q8CGP5;Q8BFU2;Q6GSS7,Histone H2A type 1-H;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 1-K;Histone H2A type 1-F;Histone H2A type 3;Histone H2A type 2-A,Hist1h2ah;H2afj;Hist2h2ac;Hist1h2ak;Hist1h2af;Hist3h2a;Hist2h2aa1,Color2 [DarkGray],1,4,NA,NA,NA,NA,2,14.135,8,4,4,13.9616003036499,14.4137001037598,13.9124002456665,14.3062000274658,16.0200004577637,20.6769008636475,14.2479000091553,60,IRAK1,NONE
TRUE,0.958144024441348,1.94899988174438,CON__P00711,CON__P00711,NA,NA,Color2 [DarkGray],1,4,NA,NA,NA,+,3,14.186,7,4,3,15.2871999740601,18.028299331665,15.5527000427246,15.9033994674683,NA,14.5215997695923,13.9661998748779,60,IRAK1,NONE
TRUE,1.22275475093736,-4.60033384958903,CON__P00761,CON__P00761,NA,NA,Color2 [DarkGray],1,4,NA,NA,NA,+,2,24.409,8,4,4,17.8250999450684,17.4683990478516,17.9270992279053,24.0757999420166,24.1042995452881,23.2772006988525,24.3917999267578,60,IRAK1,NONE
TRUE,0.947159953494195,2.10793304443359,CON__P02666,CON__P02666,NA,NA,Color2 [DarkGray],1,4,NA,NA,NA,+,1,23.583,6,3,3,18.516300201416,21.622200012207,NA,20.513599395752,17.1851005554199,18.2047004699707,18.9384994506836,60,IRAK1,NONE
TRUE,1.43773941540248,1.69875860214233,CON__P48668,CON__P48668,NA,NA,Color2 [DarkGray],1,4,NA,NA,NA,+,24,60.024,8,4,4,18.0086002349854,18.3766994476318,16.6788005828857,18.6128005981445,15.9766998291016,16.9561004638672,15.7285995483398,60,IRAK1,NONE
TRUE,1.40190251514014,2.35151688257853,CON__Q04695;CON__Q9QWL7;Q9QWL7,CON__Q04695;CON__Q9QWL7;Q9QWL7,"Keratin, type I cytoskeletal 17",Krt17,Color2 [DarkGray],1,4,NA,NA,NA,+,13,48.105,8,4,4,13.6405000686646,14.8570003509521,13.5106000900269,15.3432998657227,13.4453001022339,10.728099822998,11.7855997085571,60,IRAK1,NONE
TRUE,2.58735418079704,-3.05996592839559,D0QMC3;P0DOV2,D0QMC3,Myeloid cell nuclear differentiation antigen-like protein,Mndal,Color2 [DarkGray],1,4,NA,NA,NA,NA,9,60.526,8,4,4,13.5192003250122,13.3044996261597,13.3318004608154,14.2313003540039,17.1408996582031,17.3307991027832,15.4982995986938,60,IRAK1,NONE
TRUE,1.44735458524074,-1.85223348935445,E9Q5C9,E9Q5C9,NA,Nolc1,Color2 [DarkGray],1,4,NA,NA,NA,NA,4,73.697,8,4,4,13.1800003051758,13.0946998596191,12.4640998840332,12.9471998214722,15.4062004089355,15.6206998825073,13.2943000793457,60,IRAK1,NONE
TRUE,2.33995514511519,-1.35303314526876,E9Q634;P70248,E9Q634,Unconventional myosin-Ie,Myo1e,Color2 [DarkGray],1,4,NA,NA,NA,NA,11,126.82,8,4,4,13.6499996185303,13.1733999252319,12.8571004867554,13.8163003921509,14.858099937439,14.8280000686646,14.4955997467041,60,IRAK1,NONE
