"FILE","MODEL","RECYCLE","TOL","pLDDT","pTM","piTM","iScore","iRes","iCnt","FILE_MODEL","NUM_CLUSTERS","N_MONOMERS","ORIGIN","FILE_RECYCLE","RANK"
"MYD88_A2A791_x1",1,"model_1_multimer_v2_p1_230328_225521",8.245,52.68,0.2982,0,0,0,0,"MYD88_A2A791_x1_1",2,2,"MYD88","MYD88_A2A791_x1_1_model_1_multimer_v2_p1_230328_225521",21
"MYD88_A2A791_x1",2,"model_2_multimer_v2_p1_230329_969045",20.793,49.65,0.3013,0,0,0,0,"MYD88_A2A791_x1_2",2,2,"MYD88","MYD88_A2A791_x1_2_model_2_multimer_v2_p1_230329_969045",21
"MYD88_A2A791_x1",3,"model_3_multimer_v2_p1_230330_991359",18.275,51.23,0.2983,0,0,0,0,"MYD88_A2A791_x1_3",2,2,"MYD88","MYD88_A2A791_x1_3_model_3_multimer_v2_p1_230330_991359",21
"MYD88_A2A791_x1",4,"model_4_multimer_v2_p1_230330_723988",20.598,54.39,0.3102,0.0784,1e-04,18,22,"MYD88_A2A791_x1_4",1,2,"MYD88","MYD88_A2A791_x1_4_model_4_multimer_v2_p1_230330_723988",12
"MYD88_A2A791_x1",5,"model_5_multimer_v2_p1_230330_254835",17.122,50.18,0.302,0.5839,0.0239,114,218,"MYD88_A2A791_x1_5",1,2,"MYD88","MYD88_A2A791_x1_5_model_5_multimer_v2_p1_230330_254835",2
"MYD88_A2A8L1_x1",1,"model_1_multimer_v2_p1_230328_637613",19.692,51.86,0.4141,0,0,0,0,"MYD88_A2A8L1_x1_1",2,2,"MYD88","MYD88_A2A8L1_x1_1_model_1_multimer_v2_p1_230328_637613",21
"MYD88_A2A8L1_x1",2,"model_2_multimer_v2_p1_230330_807238",16.273,44.79,0.4169,0,0,0,0,"MYD88_A2A8L1_x1_2",2,2,"MYD88","MYD88_A2A8L1_x1_2_model_2_multimer_v2_p1_230330_807238",21
"MYD88_A2A8L1_x1",3,"model_3_multimer_v2_p1_230330_241649",8.371,50.61,0.4148,0,0,0,0,"MYD88_A2A8L1_x1_3",2,2,"MYD88","MYD88_A2A8L1_x1_3_model_3_multimer_v2_p1_230330_241649",21
"MYD88_A2A8L1_x1",4,"model_4_multimer_v2_p1_230330_135085",7.372,51.62,0.4185,0,0,0,0,"MYD88_A2A8L1_x1_4",2,2,"MYD88","MYD88_A2A8L1_x1_4_model_4_multimer_v2_p1_230330_135085",21
"MYD88_A2A8L1_x1",5,"model_5_multimer_v2_p1_230330_987467",18.875,48.16,0.4265,0.022,1e-04,16,19,"MYD88_A2A8L1_x1_5",1,2,"MYD88","MYD88_A2A8L1_x1_5_model_5_multimer_v2_p1_230330_987467",6
"MYD88_B7ZMP1_x1",1,"model_1_multimer_v2_p1_230329_945970",3.263,83.29,0.6285,0.0668,0.0018,21,15,"MYD88_B7ZMP1_x1_1",1,2,"MYD88","MYD88_B7ZMP1_x1_1_model_1_multimer_v2_p1_230329_945970",5
"MYD88_B7ZMP1_x1",2,"model_2_multimer_v2_p1_230329_027308",2.308,84,0.6278,0.0653,0.0022,19,14,"MYD88_B7ZMP1_x1_2",1,2,"MYD88","MYD88_B7ZMP1_x1_2_model_2_multimer_v2_p1_230329_027308",8
"MYD88_B7ZMP1_x1",3,"model_3_multimer_v2_p1_230329_725634",1.109,85.1,0.6301,0.0191,8e-04,11,6,"MYD88_B7ZMP1_x1_3",2,2,"MYD88","MYD88_B7ZMP1_x1_3_model_3_multimer_v2_p1_230329_725634",5
"MYD88_B7ZMP1_x1",4,"model_4_multimer_v2_p1_230329_978438",0.7,85.26,0.6437,0,0,0,0,"MYD88_B7ZMP1_x1_4",2,2,"MYD88","MYD88_B7ZMP1_x1_4_model_4_multimer_v2_p1_230329_978438",21
"MYD88_B7ZMP1_x1",5,"model_5_multimer_v2_p1_230330_842390",1.144,84.71,0.7128,0.5798,0.3828,65,59,"MYD88_B7ZMP1_x1_5",1,2,"MYD88","MYD88_B7ZMP1_x1_5_model_5_multimer_v2_p1_230330_842390",2
"MYD88_D3Z6Q9_x1",1,"model_1_multimer_v2_p1_230328_912850",17.834,64.28,0.3532,0,0,0,0,"MYD88_D3Z6Q9_x1_1",2,2,"MYD88","MYD88_D3Z6Q9_x1_1_model_1_multimer_v2_p1_230328_912850",21
"MYD88_D3Z6Q9_x1",2,"model_2_multimer_v2_p1_230328_694311",8.577,63.95,0.3468,0,0,0,0,"MYD88_D3Z6Q9_x1_2",2,2,"MYD88","MYD88_D3Z6Q9_x1_2_model_2_multimer_v2_p1_230328_694311",21
"MYD88_D3Z6Q9_x1",3,"model_3_multimer_v2_p1_230328_289706",3.807,62.89,0.3373,0,0,0,0,"MYD88_D3Z6Q9_x1_3",2,2,"MYD88","MYD88_D3Z6Q9_x1_3_model_3_multimer_v2_p1_230328_289706",21
"MYD88_D3Z6Q9_x1",4,"model_4_multimer_v2_p1_230329_060172",9.483,64,0.3448,0.0014,0,2,1,"MYD88_D3Z6Q9_x1_4",2,2,"MYD88","MYD88_D3Z6Q9_x1_4_model_4_multimer_v2_p1_230329_060172",21
"MYD88_D3Z6Q9_x1",5,"model_5_multimer_v2_p1_230329_046308",10.656,62,0.3353,0,0,0,0,"MYD88_D3Z6Q9_x1_5",2,2,"MYD88","MYD88_D3Z6Q9_x1_5_model_5_multimer_v2_p1_230329_046308",21
"MYD88_E9PYK3_x1",1,"model_1_multimer_v2_p1_230328_489624",8.465,60.58,0.5064,0,0,0,0,"MYD88_E9PYK3_x1_1",2,2,"MYD88","MYD88_E9PYK3_x1_1_model_1_multimer_v2_p1_230328_489624",21
"MYD88_E9PYK3_x1",2,"model_2_multimer_v2_p1_230329_727383",28.513,57.45,0.5055,0.0152,0,10,9,"MYD88_E9PYK3_x1_2",2,2,"MYD88","MYD88_E9PYK3_x1_2_model_2_multimer_v2_p1_230329_727383",21
"MYD88_E9PYK3_x1",3,"model_3_multimer_v2_p1_230329_748010",16.764,59.64,0.5167,0,0,0,0,"MYD88_E9PYK3_x1_3",2,2,"MYD88","MYD88_E9PYK3_x1_3_model_3_multimer_v2_p1_230329_748010",21
"MYD88_E9PYK3_x1",4,"model_4_multimer_v2_p1_230329_712190",15.649,61.91,0.4926,0.4087,0.0048,41,78,"MYD88_E9PYK3_x1_4",1,2,"MYD88","MYD88_E9PYK3_x1_4_model_4_multimer_v2_p1_230329_712190",2
"MYD88_E9PYK3_x1",5,"model_5_multimer_v2_p1_230329_126009",18.762,58.04,0.5037,0.0289,1e-04,14,17,"MYD88_E9PYK3_x1_5",1,2,"MYD88","MYD88_E9PYK3_x1_5_model_5_multimer_v2_p1_230329_126009",9
"MYD88_MYD88_x1",1,"model_1_multimer_v2_p1_230329_922687",5.386,76.37,0.3549,0.0508,0.0029,15,14,"MYD88_MYD88_x1_1",1,2,"MYD88","MYD88_MYD88_x1_1_model_1_multimer_v2_p1_230329_922687",18
"MYD88_MYD88_x1",2,"model_2_multimer_v2_p1_230329_235018",6.101,72.4,0.3189,0.0014,0,2,1,"MYD88_MYD88_x1_2",2,2,"MYD88","MYD88_MYD88_x1_2_model_2_multimer_v2_p1_230329_235018",21
"MYD88_MYD88_x1",3,"model_3_multimer_v2_p1_230329_777456",0.316,74.97,0.3974,0.2313,0.0885,72,75,"MYD88_MYD88_x1_3",1,2,"MYD88","MYD88_MYD88_x1_3_model_3_multimer_v2_p1_230329_777456",4
"MYD88_MYD88_x1",4,"model_4_multimer_v2_p1_230329_005682",1.128,72.3,0.3401,0.1471,0.0298,30,39,"MYD88_MYD88_x1_4",1,2,"MYD88","MYD88_MYD88_x1_4_model_4_multimer_v2_p1_230329_005682",6
"MYD88_MYD88_x1",5,"model_5_multimer_v2_p1_230329_873460",0.249,75.04,0.4347,0.2991,0.1137,52,47,"MYD88_MYD88_x1_5",1,2,"MYD88","MYD88_MYD88_x1_5_model_5_multimer_v2_p1_230329_873460",4
"MYD88_O08529_x1",1,"model_1_multimer_v2_p1_230329_784333",0.352,85.28,0.7035,0.5831,0.3989,58,61,"MYD88_O08529_x1_1",1,2,"MYD88","MYD88_O08529_x1_1_model_1_multimer_v2_p1_230329_784333",1
"MYD88_O08529_x1",2,"model_2_multimer_v2_p1_230329_961436",2.407,82.7,0.644,0.3747,0.0088,36,55,"MYD88_O08529_x1_2",1,2,"MYD88","MYD88_O08529_x1_2_model_2_multimer_v2_p1_230329_961436",20
"MYD88_O08529_x1",3,"model_3_multimer_v2_p1_230329_764655",5.737,82.8,0.6708,0.1418,0.0186,28,25,"MYD88_O08529_x1_3",1,2,"MYD88","MYD88_O08529_x1_3_model_3_multimer_v2_p1_230329_764655",11
"MYD88_O08529_x1",4,"model_4_multimer_v2_p1_230330_085188",0.865,86.33,0.747,0.5574,0.3711,72,83,"MYD88_O08529_x1_4",1,2,"MYD88","MYD88_O08529_x1_4_model_4_multimer_v2_p1_230330_085188",14
"MYD88_O08529_x1",5,"model_5_multimer_v2_p1_230330_360390",2.868,82.38,0.6282,0.1553,0.0153,30,34,"MYD88_O08529_x1_5",1,2,"MYD88","MYD88_O08529_x1_5_model_5_multimer_v2_p1_230330_360390",18
"MYD88_O08749_x1",1,"model_1_multimer_v2_p1_230328_240867",1.665,86.22,0.6082,0,0,0,0,"MYD88_O08749_x1_1",2,2,"MYD88","MYD88_O08749_x1_1_model_1_multimer_v2_p1_230328_240867",21
"MYD88_O08749_x1",2,"model_2_multimer_v2_p1_230328_973128",3.34,86.31,0.619,0.0142,6e-04,9,5,"MYD88_O08749_x1_2",2,2,"MYD88","MYD88_O08749_x1_2_model_2_multimer_v2_p1_230328_973128",2
"MYD88_O08749_x1",3,"model_3_multimer_v2_p1_230328_324382",1.567,86.42,0.65,0.0559,0.0029,16,12,"MYD88_O08749_x1_3",1,2,"MYD88","MYD88_O08749_x1_3_model_3_multimer_v2_p1_230328_324382",13
"MYD88_O08749_x1",4,"model_4_multimer_v2_p1_230328_963937",0.769,87.21,0.6195,0,0,0,0,"MYD88_O08749_x1_4",2,2,"MYD88","MYD88_O08749_x1_4_model_4_multimer_v2_p1_230328_963937",21
"MYD88_O08749_x1",5,"model_5_multimer_v2_p1_230328_891508",2.76,84.55,0.6068,0.0096,1e-04,6,4,"MYD88_O08749_x1_5",2,2,"MYD88","MYD88_O08749_x1_5_model_5_multimer_v2_p1_230328_891508",16
"MYD88_O08750_x1",1,"model_1_multimer_v2_p1_230328_780170",12.134,52.53,0.2855,0,0,0,0,"MYD88_O08750_x1_1",2,2,"MYD88","MYD88_O08750_x1_1_model_1_multimer_v2_p1_230328_780170",21
"MYD88_O08750_x1",2,"model_2_multimer_v2_p1_230328_522863",22.901,52.29,0.2844,0,0,0,0,"MYD88_O08750_x1_2",2,2,"MYD88","MYD88_O08750_x1_2_model_2_multimer_v2_p1_230328_522863",21
"MYD88_O08750_x1",3,"model_3_multimer_v2_p1_230328_203088",19.254,52.76,0.2725,0,0,0,0,"MYD88_O08750_x1_3",2,2,"MYD88","MYD88_O08750_x1_3_model_3_multimer_v2_p1_230328_203088",21
"MYD88_O08750_x1",4,"model_4_multimer_v2_p1_230329_574144",10.412,53.69,0.2793,0,0,0,0,"MYD88_O08750_x1_4",2,2,"MYD88","MYD88_O08750_x1_4_model_4_multimer_v2_p1_230329_574144",21
"MYD88_O08750_x1",5,"model_5_multimer_v2_p1_230329_118815",6.359,51.74,0.2767,0,0,0,0,"MYD88_O08750_x1_5",2,2,"MYD88","MYD88_O08750_x1_5_model_5_multimer_v2_p1_230329_118815",21
"MYD88_O08796_x1",1,"model_1_multimer_v2_p1_230329_788941",4.768,69.09,0.5291,0.1792,0.008,31,29,"MYD88_O08796_x1_1",1,2,"MYD88","MYD88_O08796_x1_1_model_1_multimer_v2_p1_230329_788941",9
"MYD88_O08796_x1",2,"model_2_multimer_v2_p1_230330_434805",4.09,67.52,0.5158,0.0973,0.0018,22,27,"MYD88_O08796_x1_2",1,2,"MYD88","MYD88_O08796_x1_2_model_2_multimer_v2_p1_230330_434805",7
"MYD88_O08796_x1",3,"model_3_multimer_v2_p1_230330_014544",2.587,70.8,0.535,0.2049,0.0036,29,49,"MYD88_O08796_x1_3",1,2,"MYD88","MYD88_O08796_x1_3_model_3_multimer_v2_p1_230330_014544",14
"MYD88_O08796_x1",4,"model_4_multimer_v2_p1_230330_257019",2.796,70.78,0.5318,0.0064,0,5,3,"MYD88_O08796_x1_4",2,2,"MYD88","MYD88_O08796_x1_4_model_4_multimer_v2_p1_230330_257019",21
"MYD88_O08796_x1",5,"model_5_multimer_v2_p1_230330_914311",7.419,66.32,0.5137,0.3453,0.0152,34,35,"MYD88_O08796_x1_5",1,2,"MYD88","MYD88_O08796_x1_5_model_5_multimer_v2_p1_230330_914311",18
"MYD88_O09044_x1",1,"model_1_multimer_v2_p1_230328_145788",1.106,75.45,0.4542,0.0014,0,2,1,"MYD88_O09044_x1_1",2,2,"MYD88","MYD88_O09044_x1_1_model_1_multimer_v2_p1_230328_145788",21
"MYD88_O09044_x1",2,"model_2_multimer_v2_p1_230329_837071",2.718,70.57,0.3624,0.1681,0.0051,25,24,"MYD88_O09044_x1_2",1,2,"MYD88","MYD88_O09044_x1_2_model_2_multimer_v2_p1_230329_837071",2
"MYD88_O09044_x1",3,"model_3_multimer_v2_p1_230329_201150",0.754,72.33,0.3664,0.0014,0,2,1,"MYD88_O09044_x1_3",2,2,"MYD88","MYD88_O09044_x1_3_model_3_multimer_v2_p1_230329_201150",21
"MYD88_O09044_x1",4,"model_4_multimer_v2_p1_230330_387750",1.265,73.62,0.3795,0.0014,0,2,1,"MYD88_O09044_x1_4",2,2,"MYD88","MYD88_O09044_x1_4_model_4_multimer_v2_p1_230330_387750",21
"MYD88_O09044_x1",5,"model_5_multimer_v2_p1_230330_350862",1.965,70.73,0.3666,0.0283,0.001,13,8,"MYD88_O09044_x1_5",2,2,"MYD88","MYD88_O09044_x1_5_model_5_multimer_v2_p1_230330_350862",4
"MYD88_O09110_x1",1,"model_1_multimer_v2_p1_230328_416404",1.145,76.63,0.5437,0.2813,0.1756,48,47,"MYD88_O09110_x1_1",1,2,"MYD88","MYD88_O09110_x1_1_model_1_multimer_v2_p1_230328_416404",5
"MYD88_O09110_x1",2,"model_2_multimer_v2_p1_230328_247707",2.564,75.83,0.5159,0.2021,0.0546,38,36,"MYD88_O09110_x1_2",1,2,"MYD88","MYD88_O09110_x1_2_model_2_multimer_v2_p1_230328_247707",15
"MYD88_O09110_x1",3,"model_3_multimer_v2_p1_230328_985037",1.276,74.68,0.4948,0.189,0.0491,42,47,"MYD88_O09110_x1_3",1,2,"MYD88","MYD88_O09110_x1_3_model_3_multimer_v2_p1_230328_985037",19
"MYD88_O09110_x1",4,"model_4_multimer_v2_p1_230328_556395",0.863,75.68,0.4897,0.1521,0.0217,33,32,"MYD88_O09110_x1_4",1,2,"MYD88","MYD88_O09110_x1_4_model_4_multimer_v2_p1_230328_556395",3
"MYD88_O09110_x1",5,"model_5_multimer_v2_p1_230330_981491",2.867,75.02,0.4904,0.1902,0.0276,36,36,"MYD88_O09110_x1_5",1,2,"MYD88","MYD88_O09110_x1_5_model_5_multimer_v2_p1_230330_981491",3
"MYD88_O35316_x1",1,"model_1_multimer_v2_p1_230328_175155",1.265,78.51,0.6115,0.116,0.0146,35,46,"MYD88_O35316_x1_1",1,2,"MYD88","MYD88_O35316_x1_1_model_1_multimer_v2_p1_230328_175155",15
