"FILE","MODEL","RECYCLE","TOL","pLDDT","pTM","piTM","iScore","iRes","iCnt","FILE_MODEL","NUM_CLUSTERS","N_MONOMERS","ORIGIN","FILE_RECYCLE","RANK"
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206",0.426,57.82,0.4039,0.3142,0.1887,50,64,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206",61
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_00",9999,53.17,0.3732,0.1686,0.0519,28,32,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_00",81
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_01",35.46,52.73,0.3312,0.195,0.0422,41,44,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_01",82
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_02",1.44,52.72,0.3209,0.1923,0.0207,29,19,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_02",83
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_03",6.12,54.52,0.3487,0.2635,0.1027,48,54,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_03",78
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_04",1.34,55.66,0.3675,0.2823,0.1358,48,59,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_04",77
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_05",0.39,56.22,0.3752,0.2862,0.1534,53,64,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_05",76
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_06",0.52,57.19,0.393,0.303,0.1787,52,64,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_06",65
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_07",0.26,56.51,0.3797,0.294,0.1554,50,61,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_07",75
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_08",0.29,57.46,0.3988,0.3087,0.1858,52,64,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_08",63
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_09",0.36,57.1,0.3978,0.3041,0.1867,53,69,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_09",62
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_10",0.21,56.74,0.389,0.2978,0.1757,53,67,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_10",68
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_11",0.26,57.28,0.3953,0.3026,0.1772,53,66,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_11",67
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_12",0.2,56.8,0.3886,0.2977,0.1681,52,65,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_12",73
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_13",0.18,56.86,0.3909,0.2997,0.1682,51,63,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_13",72
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_14",0.22,56.96,0.3914,0.3038,0.1694,50,60,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_14",71
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_15",0.16,57.27,0.3978,0.3114,0.1744,48,60,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_15",70
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_16",0.2,56.96,0.3999,0.3131,0.1849,48,61,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_16",64
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_17",0.39,56.98,0.3945,0.3017,0.1775,52,65,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_17",66
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_18",0.3,57.17,0.3948,0.3,0.1744,54,69,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_18",70
"INS_INS_x1",1,"model_1_multimer_v3_p1_230417_450206_recycled_19",0.43,56.91,0.3864,0.2963,0.165,52,64,"INS_INS_x1_1",1,2,"INS_HUMAN","INS_INS_x1_1_model_1_multimer_v3_p1_230417_450206_recycled_19",74
"INS_INS_x1",2,"model_2_multimer_v3_p1_230417_830466",0.082,59.31,0.442,0.3571,0.266,41,46,"INS_INS_x1_2",1,2,"INS_HUMAN","INS_INS_x1_2_model_2_multimer_v3_p1_230417_830466",55
"INS_INS_x1",2,"model_2_multimer_v3_p1_230417_830466_recycled_00",9999,48.76,0.2849,0.1822,0.0118,34,32,"INS_INS_x1_2",1,2,"INS_HUMAN","INS_INS_x1_2_model_2_multimer_v3_p1_230417_830466_recycled_00",84
"INS_INS_x1",2,"model_2_multimer_v3_p1_230417_830466_recycled_01",37.34,52.75,0.3089,0.2681,0.0598,37,52,"INS_INS_x1_2",1,2,"INS_HUMAN","INS_INS_x1_2_model_2_multimer_v3_p1_230417_830466_recycled_01",80
"INS_INS_x1",2,"model_2_multimer_v3_p1_230417_830466_recycled_02",7.87,57.51,0.4175,0.3326,0.2272,33,42,"INS_INS_x1_2",1,2,"INS_HUMAN","INS_INS_x1_2_model_2_multimer_v3_p1_230417_830466_recycled_02",60
"INS_INS_x1",2,"model_2_multimer_v3_p1_230417_830466_recycled_03",2.68,57.86,0.4195,0.3427,0.2317,38,44,"INS_INS_x1_2",1,2,"INS_HUMAN","INS_INS_x1_2_model_2_multimer_v3_p1_230417_830466_recycled_03",59
"INS_INS_x1",2,"model_2_multimer_v3_p1_230417_830466_recycled_04",1.19,58.98,0.4337,0.3603,0.2609,38,45,"INS_INS_x1_2",1,2,"INS_HUMAN","INS_INS_x1_2_model_2_multimer_v3_p1_230417_830466_recycled_04",58
"INS_INS_x1",2,"model_2_multimer_v3_p1_230417_830466_recycled_05",0.51,59.24,0.4415,0.3622,0.2677,40,45,"INS_INS_x1_2",1,2,"INS_HUMAN","INS_INS_x1_2_model_2_multimer_v3_p1_230417_830466_recycled_05",54
"INS_INS_x1",2,"model_2_multimer_v3_p1_230417_830466_recycled_06",0.39,59.75,0.448,0.3657,0.2718,40,45,"INS_INS_x1_2",1,2,"INS_HUMAN","INS_INS_x1_2_model_2_multimer_v3_p1_230417_830466_recycled_06",53
"INS_INS_x1",2,"model_2_multimer_v3_p1_230417_830466_recycled_07",0.47,59.9,0.4527,0.367,0.2754,40,43,"INS_INS_x1_2",1,2,"INS_HUMAN","INS_INS_x1_2_model_2_multimer_v3_p1_230417_830466_recycled_07",51
"INS_INS_x1",2,"model_2_multimer_v3_p1_230417_830466_recycled_08",0.29,59.9,0.4522,0.3644,0.2754,40,43,"INS_INS_x1_2",1,2,"INS_HUMAN","INS_INS_x1_2_model_2_multimer_v3_p1_230417_830466_recycled_08",51
"INS_INS_x1",2,"model_2_multimer_v3_p1_230417_830466_recycled_09",0.32,59.6,0.4425,0.3567,0.2639,41,44,"INS_INS_x1_2",1,2,"INS_HUMAN","INS_INS_x1_2_model_2_multimer_v3_p1_230417_830466_recycled_09",56
"INS_INS_x1",2,"model_2_multimer_v3_p1_230417_830466_recycled_10",0.13,59.5,0.4428,0.3555,0.2631,42,45,"INS_INS_x1_2",1,2,"INS_HUMAN","INS_INS_x1_2_model_2_multimer_v3_p1_230417_830466_recycled_10",57
"INS_INS_x1",3,"model_3_multimer_v3_p1_230417_973724",0.209,61.59,0.5023,0.4292,0.3573,34,43,"INS_INS_x1_3",1,2,"INS_HUMAN","INS_INS_x1_3_model_3_multimer_v3_p1_230417_973724",26
"INS_INS_x1",3,"model_3_multimer_v3_p1_230417_973724_recycled_00",9999,54.71,0.379,0.2642,0.1011,33,37,"INS_INS_x1_3",1,2,"INS_HUMAN","INS_INS_x1_3_model_3_multimer_v3_p1_230417_973724_recycled_00",79
