"FILE","MODEL","RECYCLE","TOL","pLDDT","pTM","piTM","iScore","iRes","iCnt","FILE_MODEL","NUM_CLUSTERS","N_MONOMERS","ORIGIN","FILE_RECYCLE","RANK"
"ARL8B_UN93B_x1",1,"model_1_multimer_v2_p1_230118_036886",2.757,78.99,0.6904,0.2099,0.0269,39,29,"ARL8B_UN93B_x1_1",1,2,"MAJER","ARL8B_UN93B_x1_1_model_1_multimer_v2_p1_230118_036886",33
"ARL8B_UN93B_x1",1,"model_1_multimer_v2_p1_230118_036886_recycled_00",9999,77.3,0.6833,0.3608,0.05,47,68,"ARL8B_UN93B_x1_1",1,2,"MAJER","ARL8B_UN93B_x1_1_model_1_multimer_v2_p1_230118_036886_recycled_00",26
"ARL8B_UN93B_x1",1,"model_1_multimer_v2_p1_230118_036886_recycled_01",57.46,77.63,0.6637,0.2731,0.0109,31,29,"ARL8B_UN93B_x1_1",1,2,"MAJER","ARL8B_UN93B_x1_1_model_1_multimer_v2_p1_230118_036886_recycled_01",50
"ARL8B_UN93B_x1",1,"model_1_multimer_v2_p1_230118_036886_recycled_02",5.44,78.06,0.6652,0.2076,0.0115,36,35,"ARL8B_UN93B_x1_1",1,2,"MAJER","ARL8B_UN93B_x1_1_model_1_multimer_v2_p1_230118_036886_recycled_02",49
"ARL8B_UN93B_x1",1,"model_1_multimer_v2_p1_230118_036886_recycled_03",7.16,78.56,0.6659,0.0263,4e-04,14,9,"ARL8B_UN93B_x1_1",1,2,"MAJER","ARL8B_UN93B_x1_1_model_1_multimer_v2_p1_230118_036886_recycled_03",103
"ARL8B_UN93B_x1",1,"model_1_multimer_v2_p1_230118_036886_recycled_04",6.88,78.4,0.6723,0.2672,0.0397,35,29,"ARL8B_UN93B_x1_1",1,2,"MAJER","ARL8B_UN93B_x1_1_model_1_multimer_v2_p1_230118_036886_recycled_04",28
"ARL8B_UN93B_x1",1,"model_1_multimer_v2_p1_230118_036886_recycled_05",7.61,78.43,0.6726,0.1115,0.0042,27,22,"ARL8B_UN93B_x1_1",1,2,"MAJER","ARL8B_UN93B_x1_1_model_1_multimer_v2_p1_230118_036886_recycled_05",74
"ARL8B_UN93B_x1",1,"model_1_multimer_v2_p1_230118_036886_recycled_06",2.54,78.32,0.6682,0.0848,0.0026,23,17,"ARL8B_UN93B_x1_1",1,2,"MAJER","ARL8B_UN93B_x1_1_model_1_multimer_v2_p1_230118_036886_recycled_06",87
"ARL8B_UN93B_x1",1,"model_1_multimer_v2_p1_230118_036886_recycled_07",1.78,78.89,0.6747,0.3203,0.0863,43,39,"ARL8B_UN93B_x1_1",1,2,"MAJER","ARL8B_UN93B_x1_1_model_1_multimer_v2_p1_230118_036886_recycled_07",20
"ARL8B_UN93B_x1",1,"model_1_multimer_v2_p1_230118_036886_recycled_08",2.22,78.84,0.6737,0.0996,0.0032,23,18,"ARL8B_UN93B_x1_1",1,2,"MAJER","ARL8B_UN93B_x1_1_model_1_multimer_v2_p1_230118_036886_recycled_08",82
"ARL8B_UN93B_x1",1,"model_1_multimer_v2_p1_230118_036886_recycled_09",2.01,78.86,0.6749,0.1358,0.0093,30,21,"ARL8B_UN93B_x1_1",1,2,"MAJER","ARL8B_UN93B_x1_1_model_1_multimer_v2_p1_230118_036886_recycled_09",54
"ARL8B_UN93B_x1",1,"model_1_multimer_v2_p1_230118_036886_recycled_10",1.57,78.62,0.6813,0.2824,0.053,40,33,"ARL8B_UN93B_x1_1",1,2,"MAJER","ARL8B_UN93B_x1_1_model_1_multimer_v2_p1_230118_036886_recycled_10",25
