"FILE","MODEL","RECYCLE","TOL","pLDDT","pTM","piTM","iScore","iRes","iCnt","FILE_MODEL","NUM_CLUSTERS","N_MONOMERS","ORIGIN","FILE_RECYCLE","RANK"
"DHF119_TIR_T6BD_x2",1,"model_1_multimer_v3_p1_230516_210621",1.132,58.6,0.3161,0.2767,0.169,133,174,"DHF119_TIR_T6BD_x2_1",1,2,"DHF_ALL","DHF119_TIR_T6BD_x2_1_model_1_multimer_v3_p1_230516_210621",74
"DHF119_TIR_T6BD_x2",1,"model_1_multimer_v3_p1_230516_210621_recycled_00",9999,58.15,0.314,0.3814,0.0945,248,659,"DHF119_TIR_T6BD_x2_1",1,2,"DHF_ALL","DHF119_TIR_T6BD_x2_1_model_1_multimer_v3_p1_230516_210621_recycled_00",104
"DHF119_TIR_T6BD_x2",1,"model_1_multimer_v3_p1_230516_210621_recycled_01",53.42,57.94,0.3446,0.3678,0.2251,111,177,"DHF119_TIR_T6BD_x2_1",1,2,"DHF_ALL","DHF119_TIR_T6BD_x2_1_model_1_multimer_v3_p1_230516_210621_recycled_01",26
"DHF119_TIR_T6BD_x2",1,"model_1_multimer_v3_p1_230516_210621_recycled_02",12.3,57.66,0.3165,0.4268,0.2292,145,258,"DHF119_TIR_T6BD_x2_1",1,2,"DHF_ALL","DHF119_TIR_T6BD_x2_1_model_1_multimer_v3_p1_230516_210621_recycled_02",25
"DHF119_TIR_T6BD_x2",1,"model_1_multimer_v3_p1_230516_210621_recycled_03",8.55,57.83,0.3144,0.2555,0.1709,200,402,"DHF119_TIR_T6BD_x2_1",1,2,"DHF_ALL","DHF119_TIR_T6BD_x2_1_model_1_multimer_v3_p1_230516_210621_recycled_03",71
"DHF119_TIR_T6BD_x2",1,"model_1_multimer_v3_p1_230516_210621_recycled_04",7.37,58.25,0.3149,0.3135,0.1911,133,198,"DHF119_TIR_T6BD_x2_1",1,2,"DHF_ALL","DHF119_TIR_T6BD_x2_1_model_1_multimer_v3_p1_230516_210621_recycled_04",38
"DHF119_TIR_T6BD_x2",1,"model_1_multimer_v3_p1_230516_210621_recycled_05",2.73,58.81,0.315,0.2847,0.18,141,205,"DHF119_TIR_T6BD_x2_1",1,2,"DHF_ALL","DHF119_TIR_T6BD_x2_1_model_1_multimer_v3_p1_230516_210621_recycled_05",51
"DHF119_TIR_T6BD_x2",1,"model_1_multimer_v3_p1_230516_210621_recycled_06",2.53,58.6,0.3151,0.2796,0.1654,139,170,"DHF119_TIR_T6BD_x2_1",1,2,"DHF_ALL","DHF119_TIR_T6BD_x2_1_model_1_multimer_v3_p1_230516_210621_recycled_06",85
"DHF119_TIR_T6BD_x2",1,"model_1_multimer_v3_p1_230516_210621_recycled_07",1.78,58.78,0.3169,0.2996,0.1844,116,138,"DHF119_TIR_T6BD_x2_1",1,2,"DHF_ALL","DHF119_TIR_T6BD_x2_1_model_1_multimer_v3_p1_230516_210621_recycled_07",48
"DHF119_TIR_T6BD_x2",1,"model_1_multimer_v3_p1_230516_210621_recycled_08",1.23,58.39,0.3176,0.279,0.1667,141,183,"DHF119_TIR_T6BD_x2_1",1,2,"DHF_ALL","DHF119_TIR_T6BD_x2_1_model_1_multimer_v3_p1_230516_210621_recycled_08",82
