Significant,-LOG(P-value),Difference,Protein.IDs,Majority.protein.IDs,Protein.names,Gene.names,Potential.contaminant,Peptides,Mol..weight.[kDa],Valid.values,Valid.values.30.min,Valid.values.unstim,30.min_1.neu,30.min_2.neu,30.min_3.neu,30.min_4.neu,unstim_1.neu,unstim_2.neu,unstim_3.neu,unstim_4.neu,ORIGIN,PULLED_PROTEIN,KO
FALSE,0,1.4558002948761,A2A3V1,A2A3V1,A-kinase anchor protein 17B,Akap17b,NA,1,111.06,5,1,4,12.1267004013062,NA,NA,NA,11.2319002151489,10.688099861145,10.1286001205444,10.6350002288818,30,MYD88,NONE
FALSE,0.25831553713563,0.16647481918335,A2A4P0,A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,NA,26,142.57,8,4,4,17.0795993804932,16.9902992248535,17.2175006866455,16.4421005249023,16.8453998565674,16.7819995880127,16.2287006378174,17.2075004577637,30,MYD88,NONE
FALSE,0.0861916220819952,-0.0855247974395752,A2A6A1,A2A6A1,G patch domain-containing protein 8,Gpatch8,NA,4,164.99,8,4,4,14.3305006027222,13.9434003829956,15.0839996337891,13.4806003570557,14.2122001647949,14.5485000610352,14.002799987793,14.4170999526978,30,MYD88,NONE
FALSE,0.447652452770554,-0.649074792861938,A2A6Q5,A2A6Q5,Cell division cycle protein 27 homolog,Cdc27,NA,12,91.841,7,3,4,13.7829999923706,NA,14.7314004898071,12.4623003005981,14.5429000854492,14.4113998413086,13.5121002197266,14.7655000686646,30,MYD88,NONE
FALSE,0,1.84847474098206,A2A791,A2A791,Zinc finger MYM-type protein 4,Zmym4,NA,3,172.44,5,4,1,12.4069004058838,12.3587999343872,12.0675001144409,11.4271001815796,NA,10.2166004180908,NA,NA,30,MYD88,NONE
FALSE,1.16488079851085,0.959249893824259,A2A7S8,A2A7S8,Uncharacterized protein KIAA1522,Kiaa1522,NA,1,104.84,7,4,3,11.5848999023438,12.3860998153687,12.7670001983643,12.952600479126,11.9583005905151,11.2343997955322,11.1975002288818,NA,30,MYD88,NONE
FALSE,0,0.294366836547852,A2A8L1,A2A8L1,Chromodomain-helicase-DNA-binding protein 5,Chd5,NA,14,222.51,4,3,1,11.6619997024536,12.6305999755859,12.8788003921509,NA,NA,NA,12.0960998535156,NA,30,MYD88,NONE
FALSE,0.635928786803601,0.914258241653442,A2AAE1,A2AAE1,Uncharacterized protein KIAA1109,Kiaa1109,NA,3,555.36,7,3,4,11.3895998001099,11.6293001174927,13.5038003921509,NA,11.5604000091553,10.8360004425049,10.6500997543335,11.9934005737305,30,MYD88,NONE
FALSE,0.402431051665482,0.281650066375732,A2ADA5,A2ADA5,tRNA pseudouridine synthase-like 1,Pusl1,NA,5,31.992,8,4,4,17.0296993255615,17.5284996032715,18.0578994750977,16.7222003936768,16.8929004669189,17.1618995666504,16.8892993927002,17.267599105835,30,MYD88,NONE
TRUE,1.72881384547414,1.47874999046326,A2AG58,A2AG58,Uncharacterized protein CXorf23 homolog,NA,NA,5,90.11,8,4,4,16.0953998565674,15.3062000274658,15.1765003204346,14.2530002593994,13.0860004425049,14.3926000595093,13.6782999038696,13.7592000961304,30,MYD88,NONE
FALSE,1.43728426128186,0.815775632858276,A2AGT5,A2AGT5,Cytoskeleton-associated protein 5,Ckap5,NA,47,225.63,8,4,4,16.2441005706787,16.1312007904053,16.5925006866455,15.2940998077393,15.4411001205444,15.1128997802734,14.9521999359131,15.4925994873047,30,MYD88,NONE
TRUE,4.44159856227577,1.5147500038147,A2AHG0,A2AHG0,Leucine zipper putative tumor suppressor 3,Lzts3,NA,11,74.985,8,4,4,17.6093006134033,17.4969005584717,17.9163990020752,17.2609996795654,16.0862007141113,16.0606994628906,15.9692001342773,16.1084995269775,30,MYD88,NONE
FALSE,1.65616198299792,0.990125179290771,A2AI08,A2AI08,Taperin,Tprn,NA,18,80.088,8,4,4,19.1266994476318,19.6018009185791,19.7978992462158,18.3911991119385,18.0762004852295,18.1768989562988,18.2493991851807,18.4545993804932,30,MYD88,NONE
FALSE,0.929609686315871,0.640249729156494,A2AIV2,A2AIV2,Protein virilizer homolog,Kiaa1429,NA,16,201.44,8,4,4,16.4848003387451,15.9356994628906,16.7829990386963,16.1387996673584,15.7096996307373,15.6153001785278,15.0052995681763,16.451000213623,30,MYD88,NONE
FALSE,1.83687160181022,0.771474838256836,A2AJI0,A2AJI0,MAP7 domain-containing protein 1,Map7d1,NA,12,93.275,8,4,4,18.0440998077393,17.5879993438721,18.3694000244141,17.9015998840332,17.2309989929199,17.1867008209229,16.8108005523682,17.5886993408203,30,MYD88,NONE
TRUE,3.74397579418776,3.08789944648743,A2AKG8,A2AKG8,Focadhesin,Focad,NA,29,198.95,8,4,4,16.960599899292,18.0158996582031,17.6284999847412,16.5184001922607,14.6753005981445,13.9779005050659,13.8979005813599,14.2207002639771,30,MYD88,NONE
FALSE,1.66205624225615,0.897924900054932,A2AKX3,A2AKX3,Probable helicase senataxin,Setx,NA,12,297.59,8,4,4,14.8178997039795,14.5264005661011,14.7645998001099,13.7627000808716,13.8182001113892,13.3475999832153,13.2409000396729,13.8732004165649,30,MYD88,NONE
TRUE,1.50106957703233,-1.40219759941101,A2AL36,A2AL36,Centriolin,Cntrl,NA,7,268.88,8,4,4,12.4361000061035,11.4084005355835,10.5626096725464,10.4793996810913,13.0228004455566,12.0711002349854,12.8706998825073,12.5306997299194,30,MYD88,NONE
