Significant,-LOG(P-value),Difference,Protein IDs,Majority protein IDs,Protein names,Gene names,Potential contaminant,Mol. weight [kDa],Peptides,Valid values,Valid values 15 min,Valid values unstim,Myd88 15 min 1 neu,MyD88 15 min 2 neu,MyD88 15 min 3 neu,MyD88 15 min 4 neu,MyD88 unstim 2 neu,MyD88 unstim 3 neu,MyD88 unstim 4 neu
+,2.007520129,-2.745025158,A2A3V1,A2A3V1,A-kinase anchor protein 17B,Akap17b,,111.06,2,8,4,3,9.84118557,11.88228607,9.702185631,10.30298615,13.96578598,12.82608604,12.73968601
+,2.016669196,-1.491341511,A2A4P0,A2A4P0,ATP-dependent RNA helicase DHX8,Dhx8,,142.57,25,12,4,4,16.37748528,17.12778664,16.26758575,15.89438534,18.26028633,18.01668549,17.44748497
+,1.408066284,-1.257258415,A2A5Z6;Q9CUN6,A2A5Z6,E3 ubiquitin-protein ligase SMURF2,Smurf2,,86.174,3,11,4,3,11.58908558,12.70388603,11.33528614,12.02078629,12.57388592,13.74118614,13.19348621
+,2.197425147,-1.829341809,A2A6A1,A2A6A1,G patch domain-containing protein 8,Gpatch8,,164.99,7,11,4,3,13.5841856,13.93938541,12.42278576,13.13648605,14.88918591,15.38128567,15.02968597
,0.8883917852,-0.8395580451,A2A6Q5,A2A6Q5,Cell division cycle protein 27 homolog,Cdc27,,91.841,7,11,4,3,14.67608547,15.12108612,13.52858639,13.91488552,15.56678581,14.85378551,15.02858543
+,2.429798797,-2.011225065,A2A791,A2A791,Zinc finger MYM-type protein 4,Zmym4,,172.44,2,11,4,4,10.46298599,10.65608597,10.81148624,10.28048611,13.1337862,12.86108589,11.69708633
,0.9300526785,-0.7594665686,A2A7S8,A2A7S8,Uncharacterized protein KIAA1522,Kiaa1522,,104.84,4,11,4,3,12.98798561,12.98678589,13.61038589,13.47038555,13.23038578,14.67118549,14.16848564
+,0.6109275935,-1.843249718,A2A8L1,A2A8L1,Chromodomain-helicase-DNA-binding protein 5,Chd5,,222.51,14,9,4,3,11.15608597,12.03008556,6.782786369,11.03278637,12.33128548,11.77518559,12.1745863
,0.8448099605,-0.9985250632,A2A8U2,A2A8U2,Transmembrane protein 201,Tmem201,,72.499,3,11,4,3,13.34468555,14.55928612,12.92338562,12.36528587,14.36268616,14.5980854,13.929286
,0.4945303551,-0.9255628586,A2A9C3,A2A9C3,Protein SZT2,Szt2,,377.62,2,9,3,3,8.589506149,8.677386284,NaN,6.290136337,8.671515465,8.432915688,9.229286194
