"FILE","MODEL","RECYCLE","TOL","pLDDT","pTM","piTM","iScore","iRes","iCnt","FILE_MODEL","NUM_CLUSTERS","N_MONOMERS","ORIGIN","FILE_RECYCLE","RANK"
"DHF91_TIR_T6BD_x2",1,"model_1_multimer_v3_p1_230517_715082",0.919,49.78,0.2762,0.2487,0.0479,136,186,"DHF91_TIR_T6BD_x2_1",1,2,"DHF91","DHF91_TIR_T6BD_x2_1_model_1_multimer_v3_p1_230517_715082",5
"DHF91_TIR_T6BD_x2",2,"model_2_multimer_v3_p1_230517_205728",0.966,54.62,0.321,0.2682,0.1614,101,116,"DHF91_TIR_T6BD_x2_2",1,2,"DHF91","DHF91_TIR_T6BD_x2_2_model_2_multimer_v3_p1_230517_205728",2
"DHF91_TIR_T6BD_x2",3,"model_3_multimer_v3_p1_230517_269663",3.297,53.91,0.2869,0.4501,0.0783,119,231,"DHF91_TIR_T6BD_x2_3",1,2,"DHF91","DHF91_TIR_T6BD_x2_3_model_3_multimer_v3_p1_230517_269663",4
"DHF91_TIR_T6BD_x2",4,"model_4_multimer_v3_p1_230517_224644",2.538,54.24,0.3708,0.3163,0.2703,117,159,"DHF91_TIR_T6BD_x2_4",1,2,"DHF91","DHF91_TIR_T6BD_x2_4_model_4_multimer_v3_p1_230517_224644",1
"DHF91_TIR_T6BD_x2",5,"model_5_multimer_v3_p1_230517_507468",4.725,52.66,0.303,0.2609,0.131,100,137,"DHF91_TIR_T6BD_x2_5",1,2,"DHF91","DHF91_TIR_T6BD_x2_5_model_5_multimer_v3_p1_230517_507468",3
"DHF91_TIR_T6BD_x3",1,"model_1_multimer_v3_p1_230517_001449",4.051,44.94,0.2642,0.2016,0.0512,191,239,"DHF91_TIR_T6BD_x3_1",1,3,"DHF91","DHF91_TIR_T6BD_x3_1_model_1_multimer_v3_p1_230517_001449",5
"DHF91_TIR_T6BD_x3",2,"model_2_multimer_v3_p1_230517_178786",1.532,49.64,0.3238,0.2915,0.21,196,240,"DHF91_TIR_T6BD_x3_2",1,3,"DHF91","DHF91_TIR_T6BD_x3_2_model_2_multimer_v3_p1_230517_178786",2
"DHF91_TIR_T6BD_x3",3,"model_3_multimer_v3_p1_230517_958052",1.782,50.02,0.2962,0.2571,0.1333,257,440,"DHF91_TIR_T6BD_x3_3",1,3,"DHF91","DHF91_TIR_T6BD_x3_3_model_3_multimer_v3_p1_230517_958052",4
"DHF91_TIR_T6BD_x3",4,"model_4_multimer_v3_p1_230517_085910",3.794,52.02,0.3445,0.3862,0.31,156,203,"DHF91_TIR_T6BD_x3_4",1,3,"DHF91","DHF91_TIR_T6BD_x3_4_model_4_multimer_v3_p1_230517_085910",1
"DHF91_TIR_T6BD_x3",5,"model_5_multimer_v3_p1_230517_707216",3.954,48.13,0.2998,0.2757,0.1594,241,411,"DHF91_TIR_T6BD_x3_5",1,3,"DHF91","DHF91_TIR_T6BD_x3_5_model_5_multimer_v3_p1_230517_707216",3
"DHF91_TIR_T6BD_x4",1,"model_1_multimer_v3_p1_230517_742373",3.538,49.98,0.3568,0.41,0.3713,339,417,"DHF91_TIR_T6BD_x4_1",1,4,"DHF91","DHF91_TIR_T6BD_x4_1_model_1_multimer_v3_p1_230517_742373",2
"DHF91_TIR_T6BD_x4",2,"model_2_multimer_v3_p1_230517_753272",5.105,50,0.3486,0.3129,0.2851,351,447,"DHF91_TIR_T6BD_x4_2",1,4,"DHF91","DHF91_TIR_T6BD_x4_2_model_2_multimer_v3_p1_230517_753272",3
"DHF91_TIR_T6BD_x4",3,"model_3_multimer_v3_p1_230517_312743",4.977,45.28,0.2707,0.1955,0.1101,257,366,"DHF91_TIR_T6BD_x4_3",1,4,"DHF91","DHF91_TIR_T6BD_x4_3_model_3_multimer_v3_p1_230517_312743",5
"DHF91_TIR_T6BD_x4",4,"model_4_multimer_v3_p1_230517_690213",5.39,52.07,0.3888,0.4651,0.4477,276,343,"DHF91_TIR_T6BD_x4_4",1,4,"DHF91","DHF91_TIR_T6BD_x4_4_model_4_multimer_v3_p1_230517_690213",1
"DHF91_TIR_T6BD_x4",5,"model_5_multimer_v3_p1_230517_773251",3.86,43.78,0.2876,0.2068,0.1402,372,603,"DHF91_TIR_T6BD_x4_5",1,4,"DHF91","DHF91_TIR_T6BD_x4_5_model_5_multimer_v3_p1_230517_773251",4
"DHF91_TIR_T6BD_x5",1,"model_1_multimer_v3_p1_230517_766293",2.664,49.07,0.3843,0.4823,0.444,434,560,"DHF91_TIR_T6BD_x5_1",1,5,"DHF91","DHF91_TIR_T6BD_x5_1_model_1_multimer_v3_p1_230517_766293",1
"DHF91_TIR_T6BD_x5",2,"model_2_multimer_v3_p1_230517_912106",3.292,47.32,0.3674,0.3028,0.2753,508,659,"DHF91_TIR_T6BD_x5_2",1,5,"DHF91","DHF91_TIR_T6BD_x5_2_model_2_multimer_v3_p1_230517_912106",4
"DHF91_TIR_T6BD_x5",3,"model_3_multimer_v3_p1_230517_558779",17.996,41.47,0.2823,0.1915,0.1699,597,1074,"DHF91_TIR_T6BD_x5_3",1,5,"DHF91","DHF91_TIR_T6BD_x5_3_model_3_multimer_v3_p1_230517_558779",5
"DHF91_TIR_T6BD_x5",4,"model_4_multimer_v3_p1_230517_973091",3.966,50.34,0.3995,0.4248,0.3981,399,539,"DHF91_TIR_T6BD_x5_4",1,5,"DHF91","DHF91_TIR_T6BD_x5_4_model_4_multimer_v3_p1_230517_973091",3
"DHF91_TIR_T6BD_x5",5,"model_5_multimer_v3_p1_230517_995274",2.063,46.25,0.384,0.4612,0.4197,274,361,"DHF91_TIR_T6BD_x5_5",1,5,"DHF91","DHF91_TIR_T6BD_x5_5_model_5_multimer_v3_p1_230517_995274",2
"DHF91_TIR_T6BD_x6",1,"model_1_multimer_v3_p1_230517_000529",2.191,47.1,0.386,0.373,0.3793,736,941,"DHF91_TIR_T6BD_x6_1",1,6,"DHF91","DHF91_TIR_T6BD_x6_1_model_1_multimer_v3_p1_230517_000529",2
"DHF91_TIR_T6BD_x6",2,"model_2_multimer_v3_p1_230517_409191",6.81,45.14,0.3771,0.298,0.303,668,1309,"DHF91_TIR_T6BD_x6_2",1,6,"DHF91","DHF91_TIR_T6BD_x6_2_model_2_multimer_v3_p1_230517_409191",4
"DHF91_TIR_T6BD_x6",3,"model_3_multimer_v3_p1_230517_484635",5.062,43.32,0.3625,0.3116,0.3037,639,939,"DHF91_TIR_T6BD_x6_3",1,6,"DHF91","DHF91_TIR_T6BD_x6_3_model_3_multimer_v3_p1_230517_484635",3
"DHF91_TIR_T6BD_x6",4,"model_4_multimer_v3_p1_230517_667649",5.705,45.33,0.2865,0.2023,0.0883,363,454,"DHF91_TIR_T6BD_x6_4",1,6,"DHF91","DHF91_TIR_T6BD_x6_4_model_4_multimer_v3_p1_230517_667649",5
"DHF91_TIR_T6BD_x6",5,"model_5_multimer_v3_p1_230517_069516",5.104,45.89,0.3939,0.4092,0.41,500,586,"DHF91_TIR_T6BD_x6_5",1,6,"DHF91","DHF91_TIR_T6BD_x6_5_model_5_multimer_v3_p1_230517_069516",1
